# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for onion planted 04-01
#   under underpv_high (spring season, 130 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9750
# CROP: onion
# PLANTING_DATE: 04-01
# CONDITION: underpv_high
# SEASON_LENGTH: 130 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-01,initial,0.7,0.1,3.07,1.25,1.25,1.25,1.0,1.0,5.5,5.5,0.0
full_eto,001,2010,2,2010-04-02,initial,0.7,0.105,3.19,1.28,1.28,1.28,1.0,1.0,5.6,11.1,0.0
full_eto,001,2010,3,2010-04-03,initial,0.7,0.109,3.09,1.24,1.24,1.24,1.0,1.0,5.4,16.5,0.0
full_eto,001,2010,4,2010-04-04,initial,0.7,0.114,2.9,1.17,1.17,1.17,1.0,1.0,5.3,21.8,0.0
full_eto,001,2010,5,2010-04-05,initial,0.7,0.119,3.32,1.36,1.36,1.36,1.0,1.0,6.2,28.0,0.0
full_eto,001,2010,6,2010-04-06,initial,0.7,0.124,3.17,1.3,1.3,1.3,1.0,1.0,6.6,34.6,0.0
full_eto,001,2010,7,2010-04-07,initial,0.7,0.128,3.22,1.33,1.33,1.33,1.0,1.0,6.9,41.5,0.0
full_eto,001,2010,8,2010-04-08,initial,0.7,0.133,3.06,1.26,1.26,1.26,1.0,1.0,7.1,48.6,0.0
full_eto,001,2010,9,2010-04-09,initial,0.7,0.138,3.1,1.27,1.27,1.27,1.0,1.0,7.3,55.9,0.0
full_eto,001,2010,10,2010-04-10,initial,0.7,0.143,2.51,1.01,1.01,1.01,1.0,1.0,7.0,62.9,0.0
full_eto,001,2010,11,2010-04-11,initial,0.7,0.147,2.83,1.14,1.14,1.14,1.0,1.0,7.0,69.9,0.0
full_eto,001,2010,12,2010-04-12,initial,0.7,0.152,2.94,1.21,1.21,1.21,1.0,1.0,7.9,77.9,0.0
full_eto,001,2010,13,2010-04-13,initial,0.7,0.157,2.88,1.18,1.18,1.18,1.0,0.983,8.7,86.6,0.0
full_eto,001,2010,14,2010-04-14,initial,0.7,0.162,3.19,1.31,1.31,1.31,1.0,1.0,8.9,95.5,0.0
