# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for onion planted 04-01
#   under underpv_low (spring season, 130 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9750
# CROP: onion
# PLANTING_DATE: 04-01
# CONDITION: underpv_low
# SEASON_LENGTH: 130 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-01,initial,0.7,0.1,4.67,2.83,2.83,2.83,1.0,1.0,10.2,10.2,0.0
full_eto,001,2010,2,2010-04-02,initial,0.7,0.105,4.94,2.99,2.99,2.99,1.0,1.0,10.4,20.6,0.0
full_eto,001,2010,3,2010-04-03,initial,0.7,0.109,4.79,2.9,2.9,2.9,1.0,0.891,8.9,29.5,0.0
full_eto,001,2010,4,2010-04-04,initial,0.7,0.114,4.39,2.66,2.66,2.66,1.0,1.0,9.9,39.3,0.0
full_eto,001,2010,5,2010-04-05,initial,0.7,0.119,4.83,2.94,2.94,2.94,1.0,1.0,11.5,50.9,0.0
full_eto,001,2010,6,2010-04-06,initial,0.7,0.124,4.58,2.79,2.79,2.79,1.0,1.0,12.4,63.2,0.0
full_eto,001,2010,7,2010-04-07,initial,0.7,0.128,4.59,2.8,2.8,2.8,1.0,1.0,12.8,76.0,0.0
full_eto,001,2010,8,2010-04-08,initial,0.7,0.133,4.35,2.66,2.66,2.66,1.0,1.0,13.2,89.2,0.0
full_eto,001,2010,9,2010-04-09,initial,0.7,0.138,4.53,2.76,2.76,2.76,1.0,1.0,13.6,102.7,0.0
full_eto,001,2010,10,2010-04-10,initial,0.7,0.143,3.89,2.36,2.36,2.36,1.0,1.0,13.0,115.8,0.0
full_eto,001,2010,11,2010-04-11,initial,0.7,0.147,4.35,2.64,2.64,2.64,1.0,1.0,13.0,128.7,0.0
full_eto,001,2010,12,2010-04-12,initial,0.7,0.152,4.19,2.56,2.56,2.56,1.0,1.0,14.8,143.5,0.0
full_eto,001,2010,13,2010-04-13,initial,0.7,0.157,4.22,2.58,2.58,2.58,1.0,1.0,16.5,159.9,0.0
full_eto,001,2010,14,2010-04-14,initial,0.7,0.162,4.7,2.86,2.86,2.86,1.0,1.0,16.7,176.6,0.0
full_eto,001,2010,15,2010-04-15,initial,0.7,0.166,4.07,2.47,2.47,2.47,1.0,1.0,16.6,193.2,0.0
full_eto,001,2010,16,2010-04-16,initial,0.7,0.171,4.09,2.48,2.48,2.48,1.0,1.0,17.5,210.7,0.0
full_eto,001,2010,17,2010-04-17,initial,0.7,0.176,5.16,3.14,3.14,3.14,1.0,1.0,18.6,229.3,0.0
full_eto,001,2010,18,2010-04-18,initial,0.7,0.181,5.02,3.05,3.05,3.05,1.0,1.0,18.4,247.7,0.0
full_eto,001,2010,19,2010-04-19,initial,0.7,0.185,5.13,3.1,3.1,3.1,1.0,0.974,18.5,266.2,0.0
full_eto,001,2010,20,2010-04-20,initial,0.7,0.19,4.85,2.94,2.94,2.94,1.0,0.943,17.9,284.1,0.0
full_eto,001,2010,21,2010-04-21,development,0.7,0.19,4.65,2.83,2.83,2.83,1.0,1.0,17.0,301.1,0.0
full_eto,001,2010,22,2010-04-22,development,0.712,0.204,4.11,2.55,2.55,2.55,1.0,1.0,22.2,323.3,0.0
full_eto,001,2010,23,2010-04-23,development,0.724,0.218,4.27,2.69,2.69,2.69,1.0,1.0,22.1,345.4,0.0
full_eto,001,2010,24,2010-04-24,development,0.736,0.232,4.5,2.87,2.87,2.87,1.0,1.0,25.3,370.8,0.0
full_eto,001,2010,25,2010-04-25,development,0.748,0.247,4.65,3.01,3.01,3.01,1.0,1.0,25.5,396.3,0.0
full_eto,001,2010,26,2010-04-26,development,0.76,0.261,5.4,3.56,3.56,3.56,1.0,1.0,27.5,423.8,0.0
full_eto,001,2010,27,2010-04-27,development,0.772,0.275,4.53,3.03,3.03,3.03,1.0,1.0,29.4,453.2,0.0
full_eto,001,2010,28,2010-04-28,development,0.784,0.289,4.55,3.1,3.1,3.1,1.0,1.0,28.5,481.7,0.0
full_eto,001,2010,29,2010-04-29,development,0.797,0.303,3.76,2.6,2.6,2.6,1.0,1.0,26.1,507.9,0.0
full_eto,001,2010,30,2010-04-30,development,0.809,0.317,3.28,2.3,2.3,2.32,1.0,1.0,17.4,525.3,0.0
full_eto,001,2010,31,2010-05-01,development,0.821,0.331,3.58,2.55,2.55,2.65,1.0,1.0,25.9,551.2,0.0
full_eto,001,2010,32,2010-05-02,development,0.833,0.346,4.39,3.18,3.18,3.18,1.0,1.0,38.7,589.9,0.0
full_eto,001,2010,33,2010-05-03,development,0.845,0.36,4.6,3.37,3.37,3.37,1.0,1.0,40.8,630.7,0.0
full_eto,001,2010,34,2010-05-04,development,0.857,0.374,4.67,3.47,3.47,3.47,1.0,1.0,42.1,672.8,0.0
full_eto,001,2010,35,2010-05-05,development,0.869,0.388,5.02,3.78,3.78,3.78,1.0,1.0,44.1,716.9,0.0
full_eto,001,2010,36,2010-05-06,development,0.881,0.402,5.31,4.06,4.06,4.06,1.0,1.0,45.9,762.7,0.0
full_eto,001,2010,37,2010-05-07,development,0.893,0.416,4.82,3.73,3.73,3.73,1.0,0.989,45.7,808.5,0.0
full_eto,001,2010,38,2010-05-08,development,0.905,0.43,4.97,3.89,3.89,3.89,1.0,0.67,30.7,839.2,0.0
full_eto,001,2010,39,2010-05-09,development,0.917,0.444,4.78,3.79,3.79,3.79,1.0,0.612,26.2,865.4,0.0
full_eto,001,2010,40,2010-05-10,development,0.929,0.459,5.18,4.17,4.17,4.17,1.0,0.762,33.4,898.8,0.0
full_eto,001,2010,41,2010-05-11,development,0.941,0.473,4.94,4.04,4.04,4.04,1.0,1.0,50.0,948.8,0.0
full_eto,001,2010,42,2010-05-12,development,0.953,0.487,5.15,4.26,4.26,4.26,1.0,1.0,54.3,1003.1,0.0
