# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for onion planted 04-01
#   under underpv_medium (spring season, 130 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9750
# CROP: onion
# PLANTING_DATE: 04-01
# CONDITION: underpv_medium
# SEASON_LENGTH: 130 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-01,initial,0.7,0.1,11.47,6.67,6.67,1.0,1.0,7.9,7.9,0.0
full_eto,001,2010,2,2010-04-02,initial,0.7,0.105,13.0,7.53,7.53,1.0,1.0,8.0,15.9,0.0
full_eto,001,2010,3,2010-04-03,initial,0.7,0.109,12.58,7.28,7.28,1.0,0.978,7.5,23.3,0.0
full_eto,001,2010,4,2010-04-04,initial,0.7,0.114,10.32,5.98,5.98,1.0,1.0,7.6,30.9,0.0
full_eto,001,2010,5,2010-04-05,initial,0.7,0.119,9.85,5.73,5.73,1.0,1.0,8.9,39.8,0.0
full_eto,001,2010,6,2010-04-06,initial,0.7,0.124,8.9,5.18,5.18,1.0,1.0,9.5,49.3,0.0
full_eto,001,2010,7,2010-04-07,initial,0.7,0.128,8.54,4.97,4.97,1.0,1.0,9.8,59.1,0.0
full_eto,001,2010,8,2010-04-08,initial,0.7,0.133,8.06,4.69,4.69,1.0,1.0,10.2,69.2,0.0
full_eto,001,2010,9,2010-04-09,initial,0.7,0.138,9.32,5.43,5.43,1.0,1.0,10.4,79.7,0.0
full_eto,001,2010,10,2010-04-10,initial,0.7,0.143,11.27,6.54,6.54,1.0,1.0,10.1,89.7,0.0
full_eto,001,2010,11,2010-04-11,initial,0.7,0.147,10.41,6.03,6.03,1.0,1.0,10.0,99.7,0.0
full_eto,001,2010,12,2010-04-12,initial,0.7,0.152,7.72,4.5,4.5,1.0,1.0,11.4,111.1,0.0
full_eto,001,2010,13,2010-04-13,initial,0.7,0.157,8.56,4.99,4.99,1.0,1.0,12.7,123.7,0.0
full_eto,001,2010,14,2010-04-14,initial,0.7,0.162,9.87,5.74,5.74,1.0,1.0,12.8,136.5,0.0
full_eto,001,2010,15,2010-04-15,initial,0.7,0.166,10.7,6.22,6.22,1.0,1.0,12.8,149.3,0.0
full_eto,001,2010,16,2010-04-16,initial,0.7,0.171,10.34,6.0,6.0,1.0,1.0,13.5,162.8,0.0
full_eto,001,2010,17,2010-04-17,initial,0.7,0.176,10.5,6.1,6.1,1.0,1.0,14.3,177.1,0.0
full_eto,001,2010,18,2010-04-18,initial,0.7,0.181,11.38,6.6,6.6,1.0,1.0,14.2,191.2,0.0
full_eto,001,2010,19,2010-04-19,initial,0.7,0.185,12.63,7.31,7.31,1.0,1.0,14.6,205.8,0.0
full_eto,001,2010,20,2010-04-20,initial,0.7,0.19,11.55,6.69,6.69,1.0,1.0,14.6,220.5,0.0
full_eto,001,2010,21,2010-04-21,development,0.7,0.19,9.23,5.36,5.36,1.0,1.0,13.1,233.5,0.0
full_eto,001,2010,22,2010-04-22,development,0.712,0.204,7.13,4.23,4.23,1.0,1.0,17.1,250.6,0.0
full_eto,001,2010,23,2010-04-23,development,0.724,0.218,9.13,5.5,5.5,1.0,1.0,17.0,267.7,0.0
full_eto,001,2010,24,2010-04-24,development,0.736,0.232,11.32,6.92,6.92,1.0,1.0,19.5,287.2,0.0
full_eto,001,2010,25,2010-04-25,development,0.748,0.247,11.57,7.18,7.18,1.0,1.0,19.6,306.8,0.0
full_eto,001,2010,26,2010-04-26,development,0.76,0.261,11.36,7.16,7.16,1.0,1.0,21.2,328.0,0.0
full_eto,001,2010,27,2010-04-27,development,0.772,0.275,11.46,7.32,7.32,1.0,1.0,22.6,350.6,0.0
full_eto,001,2010,28,2010-04-28,development,0.784,0.289,8.34,5.42,5.42,1.0,1.0,21.9,372.6,0.0
full_eto,001,2010,29,2010-04-29,development,0.797,0.303,7.35,4.86,4.86,1.0,1.0,20.1,392.7,0.0
full_eto,001,2010,30,2010-04-30,development,0.809,0.317,8.04,5.4,5.42,1.0,1.0,13.4,406.1,0.0
full_eto,001,2010,31,2010-05-01,development,0.821,0.331,8.66,5.9,6.0,1.0,1.0,19.9,426.0,0.0
full_eto,001,2010,32,2010-05-02,development,0.833,0.346,8.38,5.8,5.8,1.0,1.0,29.7,455.8,0.0
full_eto,001,2010,33,2010-05-03,development,0.845,0.36,10.27,7.2,7.2,1.0,1.0,31.3,487.1,0.0
full_eto,001,2010,34,2010-05-04,development,0.857,0.374,11.12,7.91,7.91,1.0,1.0,32.4,519.5,0.0
full_eto,001,2010,35,2010-05-05,development,0.869,0.388,11.59,8.35,8.35,1.0,1.0,33.9,553.4,0.0
full_eto,001,2010,36,2010-05-06,development,0.881,0.402,11.89,8.68,8.68,1.0,1.0,35.3,588.7,0.0
full_eto,001,2010,37,2010-05-07,development,0.893,0.416,12.54,9.26,9.26,1.0,1.0,35.6,624.2,0.0
full_eto,001,2010,38,2010-05-08,development,0.905,0.43,12.42,9.28,9.28,1.0,0.758,26.8,651.0,0.0
full_eto,001,2010,39,2010-05-09,development,0.917,0.444,13.33,10.09,10.09,1.0,0.699,23.0,674.0,0.0
full_eto,001,2010,40,2010-05-10,development,0.929,0.459,12.42,9.53,9.53,1.0,0.849,28.6,702.6,0.0
full_eto,001,2010,41,2010-05-11,development,0.941,0.473,9.75,7.6,7.6,1.0,1.0,38.4,741.0,0.0
full_eto,001,2010,42,2010-05-12,development,0.953,0.487,10.73,8.48,8.48,1.0,1.0,41.8,782.8,0.0
full_eto,001,2010,43,2010-05-13,development,0.966,0.501,12.2,9.75,9.75,1.0,1.0,43.7,826.6,0.0
full_eto,001,2010,44,2010-05-14,development,0.978,0.515,14.44,11.66,11.66,1.0,0.917,41.4,867.9,0.0
full_eto,001,2010,45,2010-05-15,development,0.99,0.529,13.82,11.29,11.29,1.0,0.787,34.9,902.8,0.0
full_eto,001,2010,46,2010-05-16,development,1.002,0.543,17.14,14.16,14.16,1.0,0.511,22.1,924.9,0.0
full_eto,001,2010,47,2010-05-17,development,1.014,0.558,13.73,11.49,11.49,1.0,0.598,23.0,948.0,0.0
full_eto,001,2010,48,2010-05-18,development,1.026,0.572,9.34,7.92,7.92,1.0,1.0,42.1,990.1,0.0
full_eto,001,2010,49,2010-05-19,development,1.038,0.586,10.3,8.86,8.86,1.0,1.0,48.7,1038.8,0.0
full_eto,001,2010,50,2010-05-20,development,1.05,0.6,11.41,9.93,9.93,1.0,1.0,50.6,1089.4,0.0
full_eto,001,2010,51,2010-05-21,mid,1.05,0.6,12.39,10.78,10.78,1.0,1.0,51.8,1141.2,0.0
full_eto,001,2010,52,2010-05-22,mid,1.05,0.6,12.83,11.14,11.14,1.0,1.0,50.3,1191.4,0.0
full_eto,001,2010,53,2010-05-23,mid,1.05,0.6,9.72,8.46,8.46,1.0,1.0,51.5,1242.9,0.0
full_eto,001,2010,54,2010-05-24,mid,1.05,0.6,11.04,9.61,9.61,1.0,1.0,52.3,1295.2,0.0
full_eto,001,2010,55,2010-05-25,mid,1.05,0.6,11.82,10.28,10.28,1.0,1.0,51.8,1346.9,0.0
full_eto,001,2010,56,2010-05-26,mid,1.05,0.6,14.69,12.75,12.75,1.0,1.0,51.6,1398.6,0.0
full_eto,001,2010,57,2010-05-27,mid,1.05,0.6,11.84,10.28,10.28,1.0,0.894,40.1,1438.6,0.0
full_eto,001,2010,58,2010-05-28,mid,1.05,0.6,9.53,8.29,8.29,1.0,1.0,50.1,1488.8,0.0
full_eto,001,2010,59,2010-05-29,mid,1.05,0.6,12.01,10.44,10.44,1.0,1.0,52.3,1541.0,0.0
full_eto,001,2010,60,2010-05-30,mid,1.05,0.6,12.88,11.19,11.19,1.0,1.0,52.0,1593.0,0.0
full_eto,001,2010,61,2010-05-31,mid,1.05,0.6,12.99,11.27,11.27,1.0,0.955,49.9,1642.9,0.0
full_eto,001,2010,62,2010-06-01,mid,1.05,0.6,14.6,12.65,12.65,1.0,0.692,33.9,1676.9,0.0
full_eto,001,2010,63,2010-06-02,mid,1.05,0.6,11.07,9.6,9.6,1.0,0.879,44.2,1721.1,0.0
full_eto,001,2010,64,2010-06-03,mid,1.05,0.6,10.88,9.45,9.45,1.0,0.982,46.0,1767.0,0.0
full_eto,001,2010,65,2010-06-04,mid,1.05,0.6,11.53,10.01,10.01,1.0,1.0,51.0,1818.1,0.0
full_eto,001,2010,66,2010-06-05,mid,1.05,0.6,11.7,10.17,10.17,1.0,1.0,52.6,1870.7,0.0
full_eto,001,2010,67,2010-06-06,mid,1.05,0.6,15.5,13.43,13.43,1.0,0.71,36.1,1906.8,0.0
full_eto,001,2010,68,2010-06-07,mid,1.05,0.6,14.44,12.5,12.5,1.0,0.518,26.3,1933.1,0.0
full_eto,001,2010,69,2010-06-08,mid,1.05,0.6,11.24,9.75,9.75,1.0,0.996,49.2,1982.3,0.0
full_eto,001,2010,70,2010-06-09,mid,1.05,0.6,11.05,9.61,9.61,1.0,1.0,53.3,2035.6,0.0
full_eto,001,2010,71,2010-06-10,mid,1.05,0.6,12.79,11.11,11.11,1.0,1.0,53.4,2088.9,0.0
full_eto,001,2010,72,2010-06-11,mid,1.05,0.6,12.42,10.78,10.78,1.0,0.886,43.4,2132.4,0.0
full_eto,001,2010,73,2010-06-12,mid,1.05,0.6,11.43,9.93,9.93,1.0,1.0,50.6,2183.0,0.0
full_eto,001,2010,74,2010-06-13,mid,1.05,0.6,11.02,9.56,9.56,1.0,0.969,50.4,2233.4,0.0
full_eto,001,2010,75,2010-06-14,mid,1.05,0.6,11.36,9.86,9.86,1.0,0.966,49.6,2283.0,0.0
