# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for onion planted 04-11
#   under underpv_medium (spring season, 130 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9750
# CROP: onion
# PLANTING_DATE: 04-11
# CONDITION: underpv_medium
# SEASON_LENGTH: 130 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-11,initial,0.7,0.1,3.7,2.14,2.14,2.14,1.0,1.0,6.8,6.8,0.0
full_eto,001,2010,2,2010-04-12,initial,0.7,0.105,3.68,2.16,2.16,2.16,1.0,1.0,7.8,14.6,0.0
full_eto,001,2010,3,2010-04-13,initial,0.7,0.109,3.66,2.14,2.14,2.14,1.0,1.0,8.9,23.4,0.0
full_eto,001,2010,4,2010-04-14,initial,0.7,0.114,4.09,2.38,2.38,2.38,1.0,1.0,9.0,32.5,0.0
full_eto,001,2010,5,2010-04-15,initial,0.7,0.119,3.41,1.98,1.98,1.98,1.0,1.0,9.1,41.6,0.0
full_eto,001,2010,6,2010-04-16,initial,0.7,0.124,3.39,1.96,1.96,1.96,1.0,1.0,9.7,51.4,0.0
full_eto,001,2010,7,2010-04-17,initial,0.7,0.128,4.48,2.61,2.61,2.61,1.0,1.0,10.4,61.8,0.0
full_eto,001,2010,8,2010-04-18,initial,0.7,0.133,4.31,2.49,2.49,2.49,1.0,1.0,10.4,72.2,0.0
full_eto,001,2010,9,2010-04-19,initial,0.7,0.138,4.35,2.51,2.51,2.51,1.0,1.0,10.9,83.1,0.0
full_eto,001,2010,10,2010-04-20,initial,0.7,0.143,4.1,2.37,2.37,2.37,1.0,1.0,11.0,94.1,0.0
full_eto,001,2010,11,2010-04-21,initial,0.7,0.147,4.06,2.36,2.36,2.36,1.0,1.0,10.1,104.2,0.0
full_eto,001,2010,12,2010-04-22,initial,0.7,0.152,3.57,2.1,2.1,2.1,1.0,1.0,12.7,117.0,0.0
full_eto,001,2010,13,2010-04-23,initial,0.7,0.157,3.7,2.16,2.16,2.16,1.0,1.0,12.2,129.2,0.0
full_eto,001,2010,14,2010-04-24,initial,0.7,0.162,3.82,2.21,2.21,2.21,1.0,1.0,13.6,142.8,0.0
full_eto,001,2010,15,2010-04-25,initial,0.7,0.166,3.95,2.29,2.29,2.29,1.0,1.0,13.2,156.0,0.0
full_eto,001,2010,16,2010-04-26,initial,0.7,0.171,4.67,2.72,2.72,2.72,1.0,1.0,13.9,169.9,0.0
full_eto,001,2010,17,2010-04-27,initial,0.7,0.176,3.76,2.17,2.17,2.17,1.0,1.0,14.5,184.4,0.0
