# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for onion planted 12-01
#   under underpv_high (fall-winter season, 150 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10655
# CROP: onion
# PLANTING_DATE: 12-01
# CONDITION: underpv_high
# SEASON_LENGTH: 150 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-12-01,initial,0.7,0.1,5.55,2.27,2.27,1.0,1.0,3.2,3.2,0.0
full_eto,001,2010,2,2010-12-02,initial,0.7,0.105,5.67,2.32,2.32,1.0,1.0,3.4,6.6,0.0
full_eto,001,2010,3,2010-12-03,initial,0.7,0.109,5.59,2.29,2.29,1.0,1.0,3.3,9.9,0.0
full_eto,001,2010,4,2010-12-04,initial,0.7,0.114,5.62,2.3,2.3,1.0,1.0,3.5,13.3,0.0
full_eto,001,2010,5,2010-12-05,initial,0.7,0.119,5.11,2.09,2.09,1.0,1.0,3.6,17.0,0.0
full_eto,001,2010,6,2010-12-06,initial,0.7,0.124,4.51,1.86,1.86,1.0,1.0,3.7,20.7,0.0
full_eto,001,2010,7,2010-12-07,initial,0.7,0.128,4.35,1.8,1.8,1.0,0.935,3.6,24.3,0.0
full_eto,001,2010,8,2010-12-08,initial,0.7,0.133,4.06,1.67,1.67,1.0,0.951,3.5,27.8,0.0
full_eto,001,2010,9,2010-12-09,initial,0.7,0.138,4.62,1.9,1.9,1.0,1.0,3.7,31.5,0.0
full_eto,001,2010,10,2010-12-10,initial,0.7,0.143,3.98,1.64,1.66,1.0,0.99,4.0,35.5,0.0
full_eto,001,2010,11,2010-12-11,initial,0.7,0.147,4.7,1.94,1.98,1.0,0.98,3.2,38.7,0.0
full_eto,001,2010,12,2010-12-12,initial,0.7,0.152,3.14,1.31,1.31,1.0,0.521,1.8,40.6,0.0
full_eto,001,2010,13,2010-12-13,initial,0.7,0.157,3.29,1.37,1.37,1.0,0.454,1.9,42.5,0.0
full_eto,001,2010,14,2010-12-14,initial,0.7,0.162,3.22,1.34,1.34,1.0,0.665,2.9,45.4,0.0
full_eto,001,2010,15,2010-12-15,initial,0.7,0.166,4.24,1.75,1.75,1.0,0.823,3.0,48.4,0.0
full_eto,001,2010,16,2010-12-16,initial,0.7,0.171,4.15,1.7,1.7,1.0,1.0,4.9,53.3,0.0
full_eto,001,2010,17,2010-12-17,initial,0.7,0.176,4.52,1.86,1.86,1.0,1.0,5.1,58.4,0.0
full_eto,001,2010,18,2010-12-18,initial,0.7,0.181,3.57,1.47,1.47,1.0,0.836,4.2,62.6,0.0
full_eto,001,2010,19,2010-12-19,initial,0.7,0.185,3.98,1.65,1.65,1.0,0.689,3.7,66.3,0.0
full_eto,001,2010,20,2010-12-20,initial,0.7,0.19,5.04,2.08,2.08,1.0,0.917,4.8,71.1,0.0
full_eto,001,2010,21,2010-12-21,development,0.7,0.19,4.66,1.92,1.92,1.0,1.0,5.2,76.3,0.0
full_eto,001,2010,22,2010-12-22,development,0.712,0.204,4.39,1.84,1.84,1.0,1.0,5.3,81.6,0.0
full_eto,001,2010,23,2010-12-23,development,0.724,0.218,5.2,2.21,2.21,1.0,1.0,5.6,87.2,0.0
full_eto,001,2010,24,2010-12-24,development,0.736,0.232,5.48,2.38,2.38,1.0,1.0,6.9,94.0,0.0
full_eto,001,2010,25,2010-12-25,development,0.748,0.247,4.69,2.07,2.07,1.0,0.977,7.2,101.3,0.0
full_eto,001,2010,26,2010-12-26,development,0.76,0.261,4.71,2.1,2.1,1.0,1.0,7.8,109.1,0.0
full_eto,001,2010,27,2010-12-27,development,0.772,0.275,4.98,2.26,2.26,1.0,1.0,8.1,117.2,0.0
full_eto,001,2010,28,2010-12-28,development,0.784,0.289,5.02,2.31,2.31,1.0,1.0,8.5,125.7,0.0
full_eto,001,2010,29,2010-12-29,development,0.797,0.303,4.72,2.21,2.43,1.0,1.0,3.1,128.9,0.0
full_eto,001,2010,30,2010-12-30,development,0.809,0.317,3.37,1.61,1.77,1.0,0.875,4.5,133.4,0.0
