# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for onion planted 12-01
#   under underpv_medium (fall-winter season, 150 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10655
# CROP: onion
# PLANTING_DATE: 12-01
# CONDITION: underpv_medium
# SEASON_LENGTH: 150 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-12-01,initial,0.7,0.1,5.69,3.31,3.31,1.0,1.0,4.6,4.6,0.0
full_eto,001,2010,2,2010-12-02,initial,0.7,0.105,5.82,3.38,3.38,1.0,1.0,4.8,9.4,0.0
full_eto,001,2010,3,2010-12-03,initial,0.7,0.109,5.74,3.33,3.33,1.0,1.0,4.7,14.1,0.0
full_eto,001,2010,4,2010-12-04,initial,0.7,0.114,5.76,3.34,3.34,1.0,1.0,4.9,19.1,0.0
full_eto,001,2010,5,2010-12-05,initial,0.7,0.119,5.24,3.04,3.04,1.0,1.0,5.2,24.2,0.0
full_eto,001,2010,6,2010-12-06,initial,0.7,0.124,4.64,2.7,2.7,1.0,1.0,5.3,29.5,0.0
full_eto,001,2010,7,2010-12-07,initial,0.7,0.128,4.48,2.61,2.61,1.0,1.0,5.5,35.1,0.0
full_eto,001,2010,8,2010-12-08,initial,0.7,0.133,4.17,2.43,2.43,1.0,1.0,5.2,40.3,0.0
full_eto,001,2010,9,2010-12-09,initial,0.7,0.138,4.75,2.76,2.76,1.0,1.0,5.4,45.7,0.0
full_eto,001,2010,10,2010-12-10,initial,0.7,0.143,4.09,2.38,2.4,1.0,1.0,5.9,51.5,0.0
full_eto,001,2010,11,2010-12-11,initial,0.7,0.147,4.84,2.82,2.86,1.0,1.0,4.6,56.2,0.0
full_eto,001,2010,12,2010-12-12,initial,0.7,0.152,3.24,1.9,1.9,1.0,0.612,3.1,59.3,0.0
full_eto,001,2010,13,2010-12-13,initial,0.7,0.157,3.4,2.0,2.0,1.0,0.545,3.2,62.5,0.0
full_eto,001,2010,14,2010-12-14,initial,0.7,0.162,3.32,1.94,1.94,1.0,0.756,4.7,67.2,0.0
