# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for onion planted 12-11
#   under openfield (fall-winter season, 150 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10605
# CROP: onion
# PLANTING_DATE: 12-11
# CONDITION: openfield
# SEASON_LENGTH: 150 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-12-11,initial,0.7,0.1,3.24,2.27,2.27,2.31,1.0,1.0,6.3,6.3,0.0
full_eto,001,2010,2,2010-12-12,initial,0.7,0.105,2.59,1.81,1.81,1.81,1.0,0.748,5.2,11.5,0.0
full_eto,001,2010,3,2010-12-13,initial,0.7,0.109,2.34,1.64,1.64,1.64,1.0,0.681,5.6,17.1,0.0
full_eto,001,2010,4,2010-12-14,initial,0.7,0.114,1.7,1.19,1.19,1.19,1.0,0.893,7.9,25.0,0.0
full_eto,001,2010,5,2010-12-15,initial,0.7,0.119,2.04,1.43,1.43,1.43,1.0,1.0,7.5,32.5,0.0
full_eto,001,2010,6,2010-12-16,initial,0.7,0.124,2.32,1.63,1.63,1.63,1.0,1.0,10.1,42.6,0.0
full_eto,001,2010,7,2010-12-17,initial,0.7,0.128,2.42,1.7,1.7,1.7,1.0,1.0,10.5,53.1,0.0
full_eto,001,2010,8,2010-12-18,initial,0.7,0.133,2.85,1.99,1.99,1.99,1.0,1.0,10.7,63.8,0.0
full_eto,001,2010,9,2010-12-19,initial,0.7,0.138,2.84,1.99,1.99,1.99,1.0,0.916,10.5,74.3,0.0
full_eto,001,2010,10,2010-12-20,initial,0.7,0.143,2.94,2.06,2.06,2.06,1.0,1.0,11.2,85.5,0.0
full_eto,001,2010,11,2010-12-21,initial,0.7,0.147,2.82,1.97,1.97,1.97,1.0,1.0,11.5,97.0,0.0
full_eto,001,2010,12,2010-12-22,initial,0.7,0.152,2.92,2.04,2.04,2.04,1.0,1.0,11.2,108.2,0.0
full_eto,001,2010,13,2010-12-23,initial,0.7,0.157,3.55,2.48,2.48,2.48,1.0,1.0,11.4,119.6,0.0
full_eto,001,2010,14,2010-12-24,initial,0.7,0.162,3.18,2.23,2.23,2.23,1.0,1.0,13.7,133.3,0.0
full_eto,001,2010,15,2010-12-25,initial,0.7,0.166,2.69,1.88,1.88,1.88,1.0,1.0,14.2,147.6,0.0
full_eto,001,2010,16,2010-12-26,initial,0.7,0.171,2.44,1.71,1.71,1.71,1.0,1.0,14.6,162.2,0.0
full_eto,001,2010,17,2010-12-27,initial,0.7,0.176,2.92,2.04,2.04,2.04,1.0,1.0,14.9,177.0,0.0
full_eto,001,2010,18,2010-12-28,initial,0.7,0.181,3.24,2.27,2.27,2.27,1.0,1.0,15.2,192.2,0.0
full_eto,001,2010,19,2010-12-29,initial,0.7,0.185,2.84,1.99,1.99,2.19,1.0,1.0,5.5,197.7,0.0
full_eto,001,2010,20,2010-12-30,initial,0.7,0.19,2.54,1.78,1.78,1.96,1.0,1.0,8.9,206.6,0.0
full_eto,001,2010,21,2010-12-31,development,0.7,0.19,2.6,1.82,1.82,1.88,1.0,0.95,13.3,219.9,0.0
full_eto,001,2010,22,2011-01-01,development,0.712,0.204,2.35,1.67,1.67,1.67,1.0,0.935,15.7,235.6,0.0
full_eto,001,2010,23,2011-01-02,development,0.724,0.218,2.12,1.54,1.54,1.54,1.0,1.0,17.8,253.4,0.0
full_eto,001,2010,24,2011-01-03,development,0.736,0.232,1.93,1.42,1.42,1.42,1.0,1.0,14.4,267.7,0.0
full_eto,001,2010,25,2011-01-04,development,0.748,0.247,2.81,2.1,2.1,2.1,1.0,0.939,19.4,287.2,0.0
full_eto,001,2010,26,2011-01-05,development,0.76,0.261,2.87,2.18,2.18,2.18,1.0,0.902,20.4,307.6,0.0
full_eto,001,2010,27,2011-01-06,development,0.772,0.275,2.93,2.26,2.26,2.26,1.0,0.947,22.4,330.0,0.0
full_eto,001,2010,28,2011-01-07,development,0.784,0.289,3.29,2.58,2.58,2.58,1.0,0.983,24.2,354.2,0.0
full_eto,001,2010,29,2011-01-08,development,0.797,0.303,2.96,2.36,2.36,2.36,1.0,0.803,21.7,375.8,0.0
full_eto,001,2010,30,2011-01-09,development,0.809,0.317,2.78,2.25,2.25,2.25,1.0,0.754,21.5,397.3,0.0
full_eto,001,2010,31,2011-01-10,development,0.821,0.331,2.63,2.16,2.16,2.16,1.0,0.802,24.4,421.7,0.0
full_eto,001,2010,32,2011-01-11,development,0.833,0.346,2.45,2.04,2.04,2.04,1.0,0.905,27.1,448.7,0.0
full_eto,001,2010,33,2011-01-12,development,0.845,0.36,2.33,1.96,1.96,1.96,1.0,1.0,30.4,479.1,0.0
full_eto,001,2010,34,2011-01-13,development,0.857,0.374,2.49,2.14,2.14,2.14,1.0,1.0,33.9,513.1,0.0
full_eto,001,2010,35,2011-01-14,development,0.869,0.388,2.7,2.35,2.35,2.36,1.0,0.9,30.5,543.6,0.0
full_eto,001,2010,36,2011-01-15,development,0.881,0.402,2.57,2.26,2.26,2.39,1.0,0.792,24.6,568.3,0.0
full_eto,001,2010,37,2011-01-16,development,0.893,0.416,2.74,2.45,2.45,2.45,1.0,0.848,31.9,600.2,0.0
full_eto,001,2010,38,2011-01-17,development,0.905,0.43,2.17,1.97,1.97,2.16,1.0,0.903,30.7,630.9,0.0
full_eto,001,2010,39,2011-01-18,development,0.917,0.444,2.12,1.94,1.94,2.14,1.0,0.705,16.9,647.8,0.0
full_eto,001,2010,40,2011-01-19,development,0.929,0.459,2.36,2.2,2.2,2.2,1.0,0.936,37.0,684.8,0.0
full_eto,001,2010,41,2011-01-20,development,0.941,0.473,2.35,2.22,2.22,2.22,1.0,0.959,39.8,724.7,0.0
full_eto,001,2010,42,2011-01-21,development,0.953,0.487,2.6,2.48,2.48,2.48,1.0,0.97,43.5,768.2,0.0
full_eto,001,2010,43,2011-01-22,development,0.966,0.501,2.8,2.7,2.7,2.7,1.0,1.0,47.2,815.3,0.0
full_eto,001,2010,44,2011-01-23,development,0.978,0.515,2.71,2.65,2.65,2.65,1.0,0.996,48.9,864.3,0.0
full_eto,001,2010,45,2011-01-24,development,0.99,0.529,3.03,3.0,3.0,3.0,1.0,1.0,51.5,915.7,0.0
full_eto,001,2010,46,2011-01-25,development,1.002,0.543,2.61,2.62,2.62,2.62,1.0,0.898,38.2,953.9,0.0
full_eto,001,2010,47,2011-01-26,development,1.014,0.558,2.92,2.96,2.96,2.96,1.0,0.904,48.1,1002.0,0.0
full_eto,001,2010,48,2011-01-27,development,1.026,0.572,2.59,2.66,2.66,2.66,1.0,1.0,54.4,1056.4,0.0
