# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for onion planted 12-11
#   under underpv_high (fall-winter season, 150 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10605
# CROP: onion
# PLANTING_DATE: 12-11
# CONDITION: underpv_high
# SEASON_LENGTH: 150 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-12-11,initial,0.7,0.1,2.12,0.87,0.87,0.91,1.0,0.98,2.2,2.2,0.0
full_eto,001,2010,2,2010-12-12,initial,0.7,0.105,1.79,0.75,0.75,0.75,1.0,0.521,1.3,3.4,0.0
full_eto,001,2010,3,2010-12-13,initial,0.7,0.109,1.54,0.64,0.64,0.64,1.0,0.454,1.3,4.8,0.0
full_eto,001,2010,4,2010-12-14,initial,0.7,0.114,0.98,0.4,0.4,0.4,1.0,0.665,2.0,6.8,0.0
full_eto,001,2010,5,2010-12-15,initial,0.7,0.119,1.26,0.51,0.51,0.51,1.0,0.823,2.2,9.0,0.0
full_eto,001,2010,6,2010-12-16,initial,0.7,0.124,1.3,0.53,0.53,0.53,1.0,1.0,3.5,12.5,0.0
full_eto,001,2010,7,2010-12-17,initial,0.7,0.128,1.37,0.55,0.55,0.55,1.0,1.0,3.7,16.2,0.0
full_eto,001,2010,8,2010-12-18,initial,0.7,0.133,1.84,0.76,0.76,0.76,1.0,0.836,3.1,19.3,0.0
full_eto,001,2010,9,2010-12-19,initial,0.7,0.138,1.83,0.76,0.76,0.76,1.0,0.689,2.8,22.1,0.0
full_eto,001,2010,10,2010-12-20,initial,0.7,0.143,1.83,0.75,0.75,0.75,1.0,0.917,3.6,25.7,0.0
full_eto,001,2010,11,2010-12-21,initial,0.7,0.147,1.73,0.7,0.7,0.7,1.0,1.0,4.0,29.7,0.0
full_eto,001,2010,12,2010-12-22,initial,0.7,0.152,1.81,0.74,0.74,0.74,1.0,1.0,3.9,33.7,0.0
full_eto,001,2010,13,2010-12-23,initial,0.7,0.157,2.27,0.93,0.93,0.93,1.0,1.0,4.0,37.7,0.0
full_eto,001,2010,14,2010-12-24,initial,0.7,0.162,1.96,0.8,0.8,0.8,1.0,1.0,4.8,42.5,0.0
full_eto,001,2010,15,2010-12-25,initial,0.7,0.166,1.6,0.65,0.65,0.65,1.0,0.977,4.9,47.3,0.0
full_eto,001,2010,16,2010-12-26,initial,0.7,0.171,1.39,0.57,0.57,0.57,1.0,1.0,5.1,52.5,0.0
full_eto,001,2010,17,2010-12-27,initial,0.7,0.176,1.75,0.71,0.71,0.71,1.0,1.0,5.2,57.7,0.0
full_eto,001,2010,18,2010-12-28,initial,0.7,0.181,1.97,0.8,0.8,0.8,1.0,1.0,5.3,63.0,0.0
full_eto,001,2010,19,2010-12-29,initial,0.7,0.185,1.93,0.78,0.78,0.86,1.0,1.0,1.9,64.9,0.0
full_eto,001,2010,20,2010-12-30,initial,0.7,0.19,1.73,0.71,0.71,0.78,1.0,0.875,2.7,67.6,0.0
full_eto,001,2010,21,2010-12-31,development,0.7,0.19,1.7,0.7,0.7,0.76,1.0,0.723,3.5,71.2,0.0
full_eto,001,2010,22,2011-01-01,development,0.712,0.204,1.44,0.6,0.6,0.6,1.0,0.707,4.2,75.3,0.0
full_eto,001,2010,23,2011-01-02,development,0.724,0.218,1.23,0.52,0.52,0.52,1.0,0.825,5.2,80.5,0.0
full_eto,001,2010,24,2011-01-03,development,0.736,0.232,1.18,0.51,0.51,0.51,1.0,0.801,4.0,84.5,0.0
full_eto,001,2010,25,2011-01-04,development,0.748,0.247,1.8,0.79,0.79,0.79,1.0,0.711,5.2,89.6,0.0
full_eto,001,2010,26,2011-01-05,development,0.76,0.261,1.83,0.82,0.82,0.82,1.0,0.675,5.3,95.0,0.0
full_eto,001,2010,27,2011-01-06,development,0.772,0.275,1.84,0.84,0.84,0.84,1.0,0.72,5.9,100.9,0.0
full_eto,001,2010,28,2011-01-07,development,0.784,0.289,2.13,0.99,0.99,0.99,1.0,0.755,6.5,107.4,0.0
full_eto,001,2010,29,2011-01-08,development,0.797,0.303,1.95,0.92,0.92,0.92,1.0,0.576,5.4,112.9,0.0
full_eto,001,2010,30,2011-01-09,development,0.809,0.317,1.77,0.85,0.85,0.85,1.0,0.527,5.3,118.1,0.0
full_eto,001,2010,31,2011-01-10,development,0.821,0.331,1.63,0.79,0.79,0.79,1.0,0.575,6.1,124.3,0.0
full_eto,001,2010,32,2011-01-11,development,0.833,0.346,1.48,0.72,0.72,0.72,1.0,0.678,7.1,131.4,0.0
full_eto,001,2010,33,2011-01-12,development,0.845,0.36,1.33,0.65,0.65,0.65,1.0,0.892,9.5,140.9,0.0
full_eto,001,2010,34,2011-01-13,development,0.857,0.374,1.45,0.72,0.72,0.72,1.0,0.803,9.5,150.4,0.0
full_eto,001,2010,35,2011-01-14,development,0.869,0.388,1.7,0.87,0.87,0.88,1.0,0.672,8.0,158.4,0.0
full_eto,001,2010,36,2011-01-15,development,0.881,0.402,1.65,0.86,0.86,0.95,1.0,0.565,6.2,164.6,0.0
full_eto,001,2010,37,2011-01-16,development,0.893,0.416,1.69,0.89,0.89,0.89,1.0,0.62,8.2,172.8,0.0
full_eto,001,2010,38,2011-01-17,development,0.905,0.43,1.29,0.68,0.68,0.75,1.0,0.675,8.0,180.8,0.0
