# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for onion planted 01-05
#   under underpv_low (winter season, 150 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 11250
# CROP: onion
# PLANTING_DATE: 01-05
# CONDITION: underpv_low
# SEASON_LENGTH: 150 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-05,initial,0.7,0.1,2.56,1.56,1.56,1.56,1.0,1.0,5.8,5.8,0.0
full_eto,001,2010,2,2010-01-06,initial,0.7,0.105,2.44,1.48,1.48,1.48,1.0,1.0,5.8,11.6,0.0
full_eto,001,2010,3,2010-01-07,initial,0.7,0.109,2.27,1.38,1.38,1.38,1.0,1.0,6.2,17.8,0.0
full_eto,001,2010,4,2010-01-08,initial,0.7,0.114,2.28,1.39,1.39,1.39,1.0,1.0,6.7,24.5,0.0
full_eto,001,2010,5,2010-01-09,initial,0.7,0.119,2.44,1.48,1.48,1.48,1.0,1.0,7.2,31.6,0.0
full_eto,001,2010,6,2010-01-10,initial,0.7,0.124,2.17,1.32,1.32,1.32,1.0,1.0,7.6,39.2,0.0
full_eto,001,2010,7,2010-01-11,initial,0.7,0.128,2.17,1.32,1.32,1.32,1.0,1.0,7.6,46.8,0.0
full_eto,001,2010,8,2010-01-12,initial,0.7,0.133,1.91,1.16,1.16,1.16,1.0,1.0,7.2,54.0,0.0
full_eto,001,2010,9,2010-01-13,initial,0.7,0.138,1.95,1.18,1.18,1.18,1.0,1.0,4.9,58.9,0.0
full_eto,001,2010,10,2010-01-14,initial,0.7,0.143,2.23,1.36,1.36,1.36,1.0,1.0,8.3,67.2,0.0
full_eto,001,2010,11,2010-01-15,initial,0.7,0.147,2.28,1.39,1.39,1.39,1.0,1.0,8.8,76.0,0.0
full_eto,001,2010,12,2010-01-16,initial,0.7,0.152,2.09,1.27,1.27,1.27,1.0,1.0,7.9,83.9,0.0
full_eto,001,2010,13,2010-01-17,initial,0.7,0.157,2.43,1.48,1.48,1.62,1.0,1.0,6.7,90.6,0.0
full_eto,001,2010,14,2010-01-18,initial,0.7,0.162,2.9,1.77,1.77,1.95,1.0,0.985,7.5,98.1,0.0
