# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for onion planted 01-15
#   under underpv_high (winter season, 150 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 11250
# CROP: onion
# PLANTING_DATE: 01-15
# CONDITION: underpv_high
# SEASON_LENGTH: 150 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-15,initial,0.7,0.1,1.61,0.66,0.66,0.66,1.0,0.855,2.7,2.7,0.0
full_eto,001,2010,2,2010-01-16,initial,0.7,0.105,1.46,0.59,0.59,0.59,1.0,1.0,2.9,5.7,0.0
full_eto,001,2010,3,2010-01-17,initial,0.7,0.109,1.73,0.7,0.7,0.77,1.0,1.0,2.5,8.2,0.0
full_eto,001,2010,4,2010-01-18,initial,0.7,0.114,2.14,0.88,0.88,0.97,1.0,0.83,2.4,10.6,0.0
full_eto,001,2010,5,2010-01-19,initial,0.7,0.119,1.58,0.65,0.65,0.65,1.0,0.622,2.0,12.6,0.0
full_eto,001,2010,6,2010-01-20,initial,0.7,0.124,1.74,0.71,0.71,0.72,1.0,0.752,2.2,14.8,0.0
full_eto,001,2010,7,2010-01-21,initial,0.7,0.128,1.58,0.65,0.65,0.65,1.0,0.622,2.5,17.4,0.0
full_eto,001,2010,8,2010-01-22,initial,0.7,0.133,1.37,0.56,0.56,0.56,1.0,0.739,3.2,20.6,0.0
full_eto,001,2010,9,2010-01-23,initial,0.7,0.138,1.73,0.71,0.71,0.71,1.0,0.925,4.3,24.8,0.0
full_eto,001,2010,10,2010-01-24,initial,0.7,0.143,2.12,0.88,0.88,0.88,1.0,0.743,3.4,28.3,0.0
full_eto,001,2010,11,2010-01-25,initial,0.7,0.147,1.85,0.77,0.77,0.77,1.0,0.516,2.5,30.8,0.0
full_eto,001,2010,12,2010-01-26,initial,0.7,0.152,1.8,0.75,0.75,0.75,1.0,0.463,2.4,33.2,0.0
full_eto,001,2010,13,2010-01-27,initial,0.7,0.157,1.29,0.53,0.53,0.53,1.0,0.748,3.3,36.5,0.0
full_eto,001,2010,14,2010-01-28,initial,0.7,0.162,1.42,0.58,0.58,0.58,1.0,0.961,5.5,42.0,0.0
full_eto,001,2010,15,2010-01-29,initial,0.7,0.166,1.92,0.78,0.78,0.78,1.0,1.0,5.7,47.7,0.0
full_eto,001,2010,16,2010-01-30,initial,0.7,0.171,2.24,0.91,0.91,0.91,1.0,1.0,4.6,52.2,0.0
full_eto,001,2010,17,2010-01-31,initial,0.7,0.176,1.53,0.61,0.61,0.67,1.0,1.0,3.5,55.8,0.0
full_eto,001,2010,18,2010-02-01,initial,0.7,0.181,2.1,0.86,0.86,0.86,1.0,0.971,5.9,61.7,0.0
full_eto,001,2010,19,2010-02-02,initial,0.7,0.185,2.35,0.97,0.97,0.97,1.0,0.812,5.4,67.1,0.0
full_eto,001,2010,20,2010-02-03,initial,0.7,0.19,2.02,0.84,0.84,0.84,1.0,0.605,4.0,71.0,0.0
full_eto,001,2010,21,2010-02-04,development,0.7,0.19,1.93,0.81,0.81,0.81,1.0,0.41,2.8,73.8,0.0
full_eto,001,2010,22,2010-02-05,development,0.712,0.204,1.9,0.81,0.81,0.81,1.0,0.327,2.3,76.1,0.0
full_eto,001,2010,23,2010-02-06,development,0.724,0.218,1.86,0.8,0.8,0.8,1.0,0.375,2.9,79.0,0.0
full_eto,001,2010,24,2010-02-07,development,0.736,0.232,1.58,0.68,0.68,0.68,1.0,0.546,4.8,83.8,0.0
full_eto,001,2010,25,2010-02-08,development,0.748,0.247,1.74,0.76,0.76,0.76,1.0,0.813,7.1,90.9,0.0
full_eto,001,2010,26,2010-02-09,development,0.76,0.261,1.68,0.74,0.74,0.74,1.0,0.86,8.1,99.0,0.0
full_eto,001,2010,27,2010-02-10,development,0.772,0.275,1.67,0.75,0.75,0.75,1.0,0.941,9.6,108.6,0.0
full_eto,001,2010,28,2010-02-11,development,0.784,0.289,1.94,0.89,0.89,0.89,1.0,1.0,10.3,118.9,0.0
