# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for onion planted 01-15
#   under underpv_low (winter season, 150 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 11250
# CROP: onion
# PLANTING_DATE: 01-15
# CONDITION: underpv_low
# SEASON_LENGTH: 150 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-15,initial,0.7,0.1,4.73,2.88,2.88,1.0,1.0,6.0,6.0,0.0
full_eto,001,2010,2,2010-01-16,initial,0.7,0.105,4.89,2.97,2.97,1.0,1.0,5.5,11.4,0.0
full_eto,001,2010,3,2010-01-17,initial,0.7,0.109,4.77,2.9,3.19,1.0,1.0,4.7,16.1,0.0
full_eto,001,2010,4,2010-01-18,initial,0.7,0.114,4.64,2.83,3.11,1.0,0.985,5.3,21.4,0.0
full_eto,001,2010,5,2010-01-19,initial,0.7,0.119,4.21,2.56,2.56,1.0,0.776,4.7,26.1,0.0
full_eto,001,2010,6,2010-01-20,initial,0.7,0.124,4.53,2.76,2.77,1.0,0.907,4.9,31.0,0.0
full_eto,001,2010,7,2010-01-21,initial,0.7,0.128,4.05,2.46,2.46,1.0,0.777,5.9,36.8,0.0
full_eto,001,2010,8,2010-01-22,initial,0.7,0.133,4.07,2.48,2.48,1.0,0.893,7.3,44.1,0.0
full_eto,001,2010,9,2010-01-23,initial,0.7,0.138,5.25,3.19,3.19,1.0,1.0,8.6,52.7,0.0
full_eto,001,2010,10,2010-01-24,initial,0.7,0.143,4.9,2.98,2.98,1.0,0.898,7.7,60.4,0.0
full_eto,001,2010,11,2010-01-25,initial,0.7,0.147,3.97,2.42,2.42,1.0,0.671,6.1,66.5,0.0
full_eto,001,2010,12,2010-01-26,initial,0.7,0.152,4.6,2.81,2.81,1.0,0.618,5.9,72.4,0.0
full_eto,001,2010,13,2010-01-27,initial,0.7,0.157,4.68,2.85,2.85,1.0,0.902,7.5,79.8,0.0
full_eto,001,2010,14,2010-01-28,initial,0.7,0.162,5.31,3.23,3.23,1.0,1.0,10.6,90.4,0.0
full_eto,001,2010,15,2010-01-29,initial,0.7,0.166,5.98,3.63,3.63,1.0,1.0,10.6,101.0,0.0
full_eto,001,2010,16,2010-01-30,initial,0.7,0.171,5.49,3.34,3.34,1.0,1.0,8.5,109.5,0.0
full_eto,001,2010,17,2010-01-31,initial,0.7,0.176,5.55,3.37,3.58,1.0,1.0,6.6,116.1,0.0
full_eto,001,2010,18,2010-02-01,initial,0.7,0.181,5.34,3.25,3.25,1.0,1.0,11.4,127.4,0.0
full_eto,001,2010,19,2010-02-02,initial,0.7,0.185,5.75,3.5,3.5,1.0,0.966,11.8,139.3,0.0
full_eto,001,2010,20,2010-02-03,initial,0.7,0.19,4.24,2.58,2.58,1.0,0.76,9.3,148.6,0.0
full_eto,001,2010,21,2010-02-04,development,0.7,0.19,4.05,2.47,2.47,1.0,0.565,7.1,155.7,0.0
full_eto,001,2010,22,2010-02-05,development,0.712,0.204,4.43,2.75,2.75,1.0,0.481,6.2,161.9,0.0
full_eto,001,2010,23,2010-02-06,development,0.724,0.218,4.83,3.05,3.05,1.0,0.529,7.6,169.5,0.0
full_eto,001,2010,24,2010-02-07,development,0.736,0.232,4.99,3.2,3.2,1.0,0.7,11.4,181.0,0.0
full_eto,001,2010,25,2010-02-08,development,0.748,0.247,5.78,3.76,3.76,1.0,0.968,15.7,196.7,0.0
full_eto,001,2010,26,2010-02-09,development,0.76,0.261,6.81,4.5,4.5,1.0,1.0,17.5,214.2,0.0
full_eto,001,2010,27,2010-02-10,development,0.772,0.275,5.73,3.84,3.84,1.0,1.0,19.0,233.1,0.0
full_eto,001,2010,28,2010-02-11,development,0.784,0.289,5.96,4.06,4.06,1.0,1.0,19.1,252.3,0.0
full_eto,001,2010,29,2010-02-12,development,0.797,0.303,6.36,4.39,4.39,1.0,1.0,21.4,273.7,0.0
full_eto,001,2010,30,2010-02-13,development,0.809,0.317,7.21,5.05,5.05,1.0,1.0,22.3,296.0,0.0
full_eto,001,2010,31,2010-02-14,development,0.821,0.331,7.97,5.67,5.67,1.0,1.0,19.5,315.5,0.0
full_eto,001,2010,32,2010-02-15,development,0.833,0.346,6.06,4.37,4.37,1.0,1.0,20.4,335.9,0.0
full_eto,001,2010,33,2010-02-16,development,0.845,0.36,6.93,5.07,5.07,1.0,1.0,23.1,359.0,0.0
full_eto,001,2010,34,2010-02-17,development,0.857,0.374,6.97,5.17,5.17,1.0,1.0,26.3,385.3,0.0
full_eto,001,2010,35,2010-02-18,development,0.869,0.388,7.45,5.6,5.6,1.0,1.0,27.7,413.0,0.0
full_eto,001,2010,36,2010-02-19,development,0.881,0.402,7.46,5.69,5.69,1.0,1.0,29.8,442.8,0.0
full_eto,001,2010,37,2010-02-20,development,0.893,0.416,7.46,5.77,5.77,1.0,1.0,31.5,474.3,0.0
full_eto,001,2010,38,2010-02-21,development,0.905,0.43,7.52,5.89,5.89,1.0,1.0,33.3,507.6,0.0
full_eto,001,2010,39,2010-02-22,development,0.917,0.444,5.78,4.6,4.6,1.0,1.0,31.5,539.1,0.0
full_eto,001,2010,40,2010-02-23,development,0.929,0.459,6.17,4.98,4.99,1.0,1.0,33.7,572.8,0.0
full_eto,001,2010,41,2010-02-24,development,0.941,0.473,6.57,5.37,5.37,1.0,1.0,33.1,605.9,0.0
full_eto,001,2010,42,2010-02-25,development,0.953,0.487,6.92,5.73,5.88,1.0,1.0,27.5,633.4,0.0
full_eto,001,2010,43,2010-02-26,development,0.966,0.501,4.79,4.02,4.11,1.0,0.928,27.3,660.7,0.0
full_eto,001,2010,44,2010-02-27,development,0.978,0.515,5.92,5.03,5.03,1.0,0.951,37.9,698.6,0.0
full_eto,001,2010,45,2010-02-28,development,0.99,0.529,7.57,6.5,6.5,1.0,1.0,33.6,732.2,0.0
full_eto,001,2010,46,2010-03-01,development,1.002,0.543,6.74,5.87,5.89,1.0,0.92,39.0,771.1,0.0
full_eto,001,2010,47,2010-03-02,development,1.014,0.558,7.25,6.38,6.38,1.0,1.0,44.7,815.9,0.0
full_eto,001,2010,48,2010-03-03,development,1.026,0.572,7.63,6.79,6.79,1.0,1.0,42.8,858.7,0.0
