# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for onion planted 01-15
#   under underpv_medium (winter season, 150 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 11250
# CROP: onion
# PLANTING_DATE: 01-15
# CONDITION: underpv_medium
# SEASON_LENGTH: 150 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-15,initial,0.7,0.1,2.01,1.18,1.18,1.18,1.0,0.945,4.3,4.3,0.0
full_eto,001,2010,2,2010-01-16,initial,0.7,0.105,1.83,1.06,1.06,1.06,1.0,1.0,4.2,8.5,0.0
full_eto,001,2010,3,2010-01-17,initial,0.7,0.109,2.17,1.26,1.26,1.38,1.0,1.0,3.6,12.1,0.0
full_eto,001,2010,4,2010-01-18,initial,0.7,0.114,2.63,1.55,1.55,1.7,1.0,0.921,3.8,15.9,0.0
full_eto,001,2010,5,2010-01-19,initial,0.7,0.119,1.95,1.14,1.14,1.14,1.0,0.713,3.3,19.3,0.0
full_eto,001,2010,6,2010-01-20,initial,0.7,0.124,2.15,1.26,1.26,1.27,1.0,0.843,3.5,22.8,0.0
full_eto,001,2010,7,2010-01-21,initial,0.7,0.128,1.96,1.15,1.15,1.15,1.0,0.713,4.1,26.9,0.0
full_eto,001,2010,8,2010-01-22,initial,0.7,0.133,1.71,1.0,1.0,1.0,1.0,0.83,5.2,32.1,0.0
full_eto,001,2010,9,2010-01-23,initial,0.7,0.138,2.19,1.28,1.28,1.28,1.0,1.0,6.6,38.7,0.0
full_eto,001,2010,10,2010-01-24,initial,0.7,0.143,2.63,1.55,1.55,1.55,1.0,0.834,5.5,44.2,0.0
full_eto,001,2010,11,2010-01-25,initial,0.7,0.147,2.26,1.33,1.33,1.33,1.0,0.607,4.2,48.5,0.0
full_eto,001,2010,12,2010-01-26,initial,0.7,0.152,2.23,1.31,1.31,1.31,1.0,0.554,4.1,52.5,0.0
full_eto,001,2010,13,2010-01-27,initial,0.7,0.157,1.61,0.94,0.94,0.94,1.0,0.839,5.3,57.9,0.0
full_eto,001,2010,14,2010-01-28,initial,0.7,0.162,1.79,1.04,1.04,1.04,1.0,1.0,8.1,66.0,0.0
full_eto,001,2010,15,2010-01-29,initial,0.7,0.166,2.44,1.42,1.42,1.42,1.0,1.0,8.1,74.1,0.0
full_eto,001,2010,16,2010-01-30,initial,0.7,0.171,2.79,1.63,1.63,1.63,1.0,1.0,6.5,80.7,0.0
full_eto,001,2010,17,2010-01-31,initial,0.7,0.176,1.9,1.1,1.1,1.21,1.0,1.0,5.0,85.7,0.0
full_eto,001,2010,18,2010-02-01,initial,0.7,0.181,2.64,1.54,1.54,1.54,1.0,1.0,8.8,94.5,0.0
full_eto,001,2010,19,2010-02-02,initial,0.7,0.185,2.94,1.72,1.72,1.72,1.0,0.903,8.5,103.0,0.0
full_eto,001,2010,20,2010-02-03,initial,0.7,0.19,2.45,1.45,1.45,1.45,1.0,0.696,6.5,109.5,0.0
full_eto,001,2010,21,2010-02-04,development,0.7,0.19,2.34,1.38,1.38,1.38,1.0,0.501,4.9,114.4,0.0
full_eto,001,2010,22,2010-02-05,development,0.712,0.204,2.32,1.4,1.4,1.4,1.0,0.418,4.2,118.6,0.0
full_eto,001,2010,23,2010-02-06,development,0.724,0.218,2.3,1.4,1.4,1.4,1.0,0.465,5.1,123.7,0.0
full_eto,001,2010,24,2010-02-07,development,0.736,0.232,1.98,1.22,1.22,1.22,1.0,0.637,8.0,131.7,0.0
full_eto,001,2010,25,2010-02-08,development,0.748,0.247,2.2,1.37,1.37,1.37,1.0,0.904,11.3,143.0,0.0
full_eto,001,2010,26,2010-02-09,development,0.76,0.261,2.14,1.35,1.35,1.35,1.0,0.95,12.8,155.8,0.0
full_eto,001,2010,27,2010-02-10,development,0.772,0.275,2.12,1.36,1.36,1.36,1.0,1.0,14.6,170.4,0.0
full_eto,001,2010,28,2010-02-11,development,0.784,0.289,2.46,1.61,1.61,1.61,1.0,1.0,14.7,185.1,0.0
full_eto,001,2010,29,2010-02-12,development,0.797,0.303,2.22,1.47,1.47,1.47,1.0,1.0,16.5,201.6,0.0
full_eto,001,2010,30,2010-02-13,development,0.809,0.317,2.5,1.67,1.67,1.67,1.0,1.0,17.1,218.7,0.0
full_eto,001,2010,31,2010-02-14,development,0.821,0.331,2.34,1.58,1.58,1.58,1.0,1.0,15.0,233.7,0.0
full_eto,001,2010,32,2010-02-15,development,0.833,0.346,2.34,1.61,1.61,1.61,1.0,1.0,15.7,249.3,0.0
full_eto,001,2010,33,2010-02-16,development,0.845,0.36,2.09,1.46,1.46,1.46,1.0,1.0,17.7,267.1,0.0
full_eto,001,2010,34,2010-02-17,development,0.857,0.374,2.59,1.83,1.83,1.83,1.0,1.0,20.2,287.2,0.0
full_eto,001,2010,35,2010-02-18,development,0.869,0.388,2.63,1.89,1.89,1.89,1.0,1.0,21.2,308.5,0.0
full_eto,001,2010,36,2010-02-19,development,0.881,0.402,3.28,2.4,2.4,2.4,1.0,1.0,23.0,331.5,0.0
full_eto,001,2010,37,2010-02-20,development,0.893,0.416,2.88,2.13,2.13,2.13,1.0,1.0,24.2,355.7,0.0
full_eto,001,2010,38,2010-02-21,development,0.905,0.43,2.75,2.06,2.06,2.06,1.0,1.0,25.6,381.3,0.0
full_eto,001,2010,39,2010-02-22,development,0.917,0.444,2.97,2.28,2.28,2.28,1.0,1.0,24.2,405.5,0.0
full_eto,001,2010,40,2010-02-23,development,0.929,0.459,3.08,2.39,2.39,2.4,1.0,1.0,25.9,431.4,0.0
full_eto,001,2010,41,2010-02-24,development,0.941,0.473,2.86,2.24,2.24,2.24,1.0,1.0,25.5,456.9,0.0
full_eto,001,2010,42,2010-02-25,development,0.953,0.487,2.74,2.17,2.17,2.32,1.0,1.0,21.2,478.1,0.0
full_eto,001,2010,43,2010-02-26,development,0.966,0.501,2.42,1.96,1.96,2.05,1.0,0.865,19.6,497.6,0.0
full_eto,001,2010,44,2010-02-27,development,0.978,0.515,2.57,2.1,2.1,2.1,1.0,0.887,27.2,524.9,0.0
full_eto,001,2010,45,2010-02-28,development,0.99,0.529,3.37,2.78,2.78,2.78,1.0,1.0,25.8,550.6,0.0
full_eto,001,2010,46,2010-03-01,development,1.002,0.543,3.23,2.71,2.71,2.73,1.0,0.856,28.0,578.6,0.0
full_eto,001,2010,47,2010-03-02,development,1.014,0.558,2.94,2.48,2.48,2.48,1.0,1.0,34.5,613.1,0.0
full_eto,001,2010,48,2010-03-03,development,1.026,0.572,2.92,2.49,2.49,2.49,1.0,1.0,33.0,646.0,0.0
full_eto,001,2010,49,2010-03-04,development,1.038,0.586,3.67,3.18,3.18,3.18,1.0,1.0,38.0,684.1,0.0
full_eto,001,2010,50,2010-03-05,development,1.05,0.6,2.82,2.45,2.45,2.45,1.0,1.0,34.8,718.9,0.0
full_eto,001,2010,51,2010-03-06,mid,1.05,0.6,2.92,2.55,2.55,2.55,1.0,1.0,38.2,757.1,0.0
full_eto,001,2010,52,2010-03-07,mid,1.05,0.6,3.31,2.89,2.89,2.89,1.0,1.0,39.1,796.2,0.0
full_eto,001,2010,53,2010-03-08,mid,1.05,0.6,3.09,2.69,2.69,2.69,1.0,1.0,38.6,834.7,0.0
full_eto,001,2010,54,2010-03-09,mid,1.05,0.6,3.41,2.97,2.97,2.97,1.0,1.0,34.8,869.6,0.0
full_eto,001,2010,55,2010-03-10,mid,1.05,0.6,3.22,2.8,2.8,2.8,1.0,1.0,37.6,907.1,0.0
full_eto,001,2010,56,2010-03-11,mid,1.05,0.6,3.17,2.76,2.76,2.76,1.0,1.0,39.8,946.9,0.0
full_eto,001,2010,57,2010-03-12,mid,1.05,0.6,3.25,2.82,2.82,2.82,1.0,1.0,40.3,987.3,0.0
full_eto,001,2010,58,2010-03-13,mid,1.05,0.6,3.49,3.04,3.04,3.04,1.0,1.0,39.8,1027.1,0.0
full_eto,001,2010,59,2010-03-14,mid,1.05,0.6,3.13,2.73,2.73,2.73,1.0,1.0,33.1,1060.2,0.0
full_eto,001,2010,60,2010-03-15,mid,1.05,0.6,3.04,2.65,2.65,2.65,1.0,1.0,29.9,1090.0,0.0
