# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for onion planted 03-22
#   under openfield (spring season, 130 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9750
# CROP: onion
# PLANTING_DATE: 03-22
# CONDITION: openfield
# SEASON_LENGTH: 130 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-22,initial,0.7,0.1,5.07,3.55,3.55,3.55,1.0,1.0,13.3,13.3,0.0
full_eto,001,2010,2,2010-03-23,initial,0.7,0.105,4.88,3.42,3.42,3.42,1.0,1.0,14.2,27.6,0.0
full_eto,001,2010,3,2010-03-24,initial,0.7,0.109,4.44,3.11,3.11,3.11,1.0,1.0,15.1,42.6,0.0
full_eto,001,2010,4,2010-03-25,initial,0.7,0.114,5.18,3.63,3.63,3.63,1.0,1.0,15.2,57.8,0.0
full_eto,001,2010,5,2010-03-26,initial,0.7,0.119,4.42,3.1,3.1,3.1,1.0,1.0,16.3,74.1,0.0
full_eto,001,2010,6,2010-03-27,initial,0.7,0.124,4.28,2.99,2.99,3.02,1.0,1.0,15.4,89.4,0.0
full_eto,001,2010,7,2010-03-28,initial,0.7,0.128,4.27,2.99,2.99,2.99,1.0,1.0,17.9,107.4,0.0
full_eto,001,2010,8,2010-03-29,initial,0.7,0.133,4.6,3.22,3.22,3.22,1.0,1.0,18.5,125.9,0.0
full_eto,001,2010,9,2010-03-30,initial,0.7,0.138,5.04,3.53,3.53,3.53,1.0,1.0,20.9,146.8,0.0
full_eto,001,2010,10,2010-03-31,initial,0.7,0.143,5.14,3.6,3.6,3.6,1.0,1.0,22.6,169.3,0.0
full_eto,001,2010,11,2010-04-01,initial,0.7,0.147,5.94,4.15,4.15,4.15,1.0,1.0,23.2,192.5,0.0
full_eto,001,2010,12,2010-04-02,initial,0.7,0.152,6.32,4.43,4.43,4.43,1.0,0.934,21.7,214.2,0.0
full_eto,001,2010,13,2010-04-03,initial,0.7,0.157,6.13,4.29,4.29,4.29,1.0,0.791,17.3,231.5,0.0
full_eto,001,2010,14,2010-04-04,initial,0.7,0.162,5.54,3.88,3.88,3.88,1.0,1.0,21.5,253.0,0.0
full_eto,001,2010,15,2010-04-05,initial,0.7,0.166,5.88,4.11,4.11,4.11,1.0,1.0,24.8,277.8,0.0
full_eto,001,2010,16,2010-04-06,initial,0.7,0.171,5.6,3.92,3.92,3.92,1.0,1.0,26.3,304.1,0.0
full_eto,001,2010,17,2010-04-07,initial,0.7,0.176,5.56,3.89,3.89,3.89,1.0,1.0,26.9,331.0,0.0
full_eto,001,2010,18,2010-04-08,initial,0.7,0.181,5.31,3.72,3.72,3.72,1.0,1.0,27.6,358.5,0.0
full_eto,001,2010,19,2010-04-09,initial,0.7,0.185,5.57,3.9,3.9,3.9,1.0,1.0,28.0,386.5,0.0
full_eto,001,2010,20,2010-04-10,initial,0.7,0.19,5.12,3.58,3.58,3.58,1.0,1.0,26.8,413.3,0.0
full_eto,001,2010,21,2010-04-11,development,0.7,0.19,5.6,3.92,3.92,3.92,1.0,0.952,24.5,437.8,0.0
full_eto,001,2010,22,2010-04-12,development,0.712,0.204,5.13,3.65,3.65,3.65,1.0,1.0,30.5,468.2,0.0
full_eto,001,2010,23,2010-04-13,development,0.724,0.218,5.3,3.84,3.84,3.84,1.0,1.0,35.3,503.5,0.0
full_eto,001,2010,24,2010-04-14,development,0.736,0.232,5.82,4.29,4.29,4.29,1.0,1.0,36.8,540.3,0.0
full_eto,001,2010,25,2010-04-15,development,0.748,0.247,5.38,4.02,4.02,4.02,1.0,1.0,37.9,578.2,0.0
full_eto,001,2010,26,2010-04-16,development,0.76,0.261,5.58,4.25,4.25,4.25,1.0,1.0,41.1,619.3,0.0
full_eto,001,2010,27,2010-04-17,development,0.772,0.275,6.38,4.93,4.93,4.93,1.0,1.0,44.7,664.0,0.0
full_eto,001,2010,28,2010-04-18,development,0.784,0.289,6.36,4.99,4.99,4.99,1.0,1.0,45.3,709.3,0.0
full_eto,001,2010,29,2010-04-19,development,0.797,0.303,6.61,5.27,5.27,5.27,1.0,0.874,41.8,751.1,0.0
full_eto,001,2010,30,2010-04-20,development,0.809,0.317,6.33,5.12,5.12,5.12,1.0,0.843,41.2,792.3,0.0
full_eto,001,2010,31,2010-04-21,development,0.821,0.331,5.73,4.7,4.7,4.7,1.0,1.0,45.6,837.8,0.0
full_eto,001,2010,32,2010-04-22,development,0.833,0.346,5.17,4.31,4.31,4.31,1.0,1.0,57.9,895.7,0.0
full_eto,001,2010,33,2010-04-23,development,0.845,0.36,5.35,4.52,4.52,4.52,1.0,1.0,56.0,951.7,0.0
full_eto,001,2010,34,2010-04-24,development,0.857,0.374,5.89,5.05,5.05,5.05,1.0,1.0,62.8,1014.5,0.0
full_eto,001,2010,35,2010-04-25,development,0.869,0.388,6.01,5.22,5.22,5.22,1.0,1.0,61.8,1076.3,0.0
full_eto,001,2010,36,2010-04-26,development,0.881,0.402,6.72,5.92,5.92,5.92,1.0,1.0,65.3,1141.6,0.0
full_eto,001,2010,37,2010-04-27,development,0.893,0.416,6.17,5.51,5.51,5.51,1.0,0.903,61.9,1203.4,0.0
full_eto,001,2010,38,2010-04-28,development,0.905,0.43,5.68,5.14,5.14,5.14,1.0,1.0,65.3,1268.8,0.0
full_eto,001,2010,39,2010-04-29,development,0.917,0.444,4.78,4.39,4.39,4.39,1.0,1.0,59.0,1327.7,0.0
full_eto,001,2010,40,2010-04-30,development,0.929,0.459,3.97,3.69,3.69,3.71,1.0,1.0,38.8,1366.5,0.0
full_eto,001,2010,41,2010-05-01,development,0.941,0.473,4.6,4.33,4.33,4.43,1.0,1.0,56.9,1423.4,0.0
full_eto,001,2010,42,2010-05-02,development,0.953,0.487,5.63,5.36,5.36,5.36,1.0,1.0,83.8,1507.2,0.0
full_eto,001,2010,43,2010-05-03,development,0.966,0.501,6.05,5.84,5.84,5.84,1.0,1.0,87.4,1594.6,0.0
full_eto,001,2010,44,2010-05-04,development,0.978,0.515,6.17,6.04,6.04,6.04,1.0,1.0,89.3,1683.9,0.0
full_eto,001,2010,45,2010-05-05,development,0.99,0.529,6.55,6.48,6.48,6.48,1.0,1.0,92.5,1776.4,0.0
full_eto,001,2010,46,2010-05-06,development,1.002,0.543,6.81,6.83,6.83,6.83,1.0,1.0,95.3,1871.7,0.0
full_eto,001,2010,47,2010-05-07,development,1.014,0.558,6.52,6.61,6.61,6.61,1.0,0.889,84.8,1956.5,0.0
full_eto,001,2010,48,2010-05-08,development,1.026,0.572,6.73,6.91,6.91,6.91,1.0,0.57,53.5,2010.0,0.0
full_eto,001,2010,49,2010-05-09,development,1.038,0.586,6.41,6.65,6.65,6.65,1.0,0.512,44.4,2054.4,0.0
full_eto,001,2010,50,2010-05-10,development,1.05,0.6,6.66,6.99,6.99,6.99,1.0,0.662,58.4,2112.8,0.0
full_eto,001,2010,51,2010-05-11,mid,1.05,0.6,6.25,6.56,6.56,6.56,1.0,1.0,97.5,2210.3,0.0
full_eto,001,2010,52,2010-05-12,mid,1.05,0.6,6.58,6.91,6.91,6.91,1.0,1.0,102.9,2313.2,0.0
full_eto,001,2010,53,2010-05-13,mid,1.05,0.6,7.14,7.49,7.49,7.49,1.0,1.0,104.8,2418.0,0.0
full_eto,001,2010,54,2010-05-14,mid,1.05,0.6,8.2,8.61,8.61,8.61,1.0,0.73,76.7,2494.7,0.0
