# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for onion planted 03-22
#   under underpv_high (spring season, 130 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9750
# CROP: onion
# PLANTING_DATE: 03-22
# CONDITION: underpv_high
# SEASON_LENGTH: 130 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-22,initial,0.7,0.1,2.78,1.13,1.13,1.13,1.0,1.0,4.7,4.7,0.0
full_eto,001,2010,2,2010-03-23,initial,0.7,0.105,2.72,1.11,1.11,1.11,1.0,1.0,5.0,9.6,0.0
full_eto,001,2010,3,2010-03-24,initial,0.7,0.109,2.2,0.89,0.89,0.89,1.0,1.0,5.3,14.9,0.0
full_eto,001,2010,4,2010-03-25,initial,0.7,0.114,3.06,1.26,1.26,1.26,1.0,1.0,5.3,20.2,0.0
full_eto,001,2010,5,2010-03-26,initial,0.7,0.119,2.51,1.04,1.04,1.04,1.0,0.913,5.2,25.4,0.0
full_eto,001,2010,6,2010-03-27,initial,0.7,0.124,2.5,1.03,1.03,1.06,1.0,0.814,4.4,29.8,0.0
full_eto,001,2010,7,2010-03-28,initial,0.7,0.128,2.09,0.85,0.85,0.85,1.0,1.0,6.3,36.1,0.0
full_eto,001,2010,8,2010-03-29,initial,0.7,0.133,2.28,0.93,0.93,0.93,1.0,1.0,6.5,42.6,0.0
full_eto,001,2010,9,2010-03-30,initial,0.7,0.138,2.85,1.17,1.17,1.17,1.0,1.0,7.3,49.9,0.0
full_eto,001,2010,10,2010-03-31,initial,0.7,0.143,2.66,1.09,1.09,1.09,1.0,1.0,7.9,57.8,0.0
full_eto,001,2010,11,2010-04-01,initial,0.7,0.147,3.07,1.25,1.25,1.25,1.0,1.0,8.1,65.9,0.0
full_eto,001,2010,12,2010-04-02,initial,0.7,0.152,3.19,1.28,1.28,1.28,1.0,1.0,8.1,74.0,0.0
full_eto,001,2010,13,2010-04-03,initial,0.7,0.157,3.09,1.24,1.24,1.24,1.0,1.0,7.7,81.7,0.0
full_eto,001,2010,14,2010-04-04,initial,0.7,0.162,2.9,1.17,1.17,1.17,1.0,1.0,7.5,89.2,0.0
