# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for onion planted 03-22
#   under underpv_low (spring season, 130 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9750
# CROP: onion
# PLANTING_DATE: 03-22
# CONDITION: underpv_low
# SEASON_LENGTH: 130 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-22,initial,0.7,0.1,4.11,2.5,2.5,2.5,1.0,1.0,8.7,8.7,0.0
full_eto,001,2010,2,2010-03-23,initial,0.7,0.105,3.98,2.42,2.42,2.42,1.0,1.0,9.3,17.9,0.0
full_eto,001,2010,3,2010-03-24,initial,0.7,0.109,3.39,2.06,2.06,2.06,1.0,1.0,9.8,27.7,0.0
full_eto,001,2010,4,2010-03-25,initial,0.7,0.114,4.33,2.64,2.64,2.64,1.0,1.0,9.9,37.6,0.0
full_eto,001,2010,5,2010-03-26,initial,0.7,0.119,3.6,2.2,2.2,2.2,1.0,1.0,10.6,48.1,0.0
full_eto,001,2010,6,2010-03-27,initial,0.7,0.124,3.54,2.16,2.16,2.19,1.0,0.969,9.7,57.8,0.0
full_eto,001,2010,7,2010-03-28,initial,0.7,0.128,3.22,1.96,1.96,1.96,1.0,1.0,11.6,69.4,0.0
full_eto,001,2010,8,2010-03-29,initial,0.7,0.133,3.51,2.13,2.13,2.13,1.0,1.0,12.0,81.5,0.0
full_eto,001,2010,9,2010-03-30,initial,0.7,0.138,4.09,2.5,2.5,2.5,1.0,1.0,13.6,95.1,0.0
full_eto,001,2010,10,2010-03-31,initial,0.7,0.143,3.98,2.42,2.42,2.42,1.0,1.0,14.7,109.8,0.0
full_eto,001,2010,11,2010-04-01,initial,0.7,0.147,4.67,2.83,2.83,2.83,1.0,1.0,15.1,124.8,0.0
full_eto,001,2010,12,2010-04-02,initial,0.7,0.152,4.94,2.99,2.99,2.99,1.0,1.0,15.1,139.9,0.0
full_eto,001,2010,13,2010-04-03,initial,0.7,0.157,4.79,2.9,2.9,2.9,1.0,0.891,12.7,152.6,0.0
full_eto,001,2010,14,2010-04-04,initial,0.7,0.162,4.39,2.66,2.66,2.66,1.0,1.0,14.0,166.6,0.0
