# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for onion planted 03-22
#   under underpv_medium (spring season, 130 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9750
# CROP: onion
# PLANTING_DATE: 03-22
# CONDITION: underpv_medium
# SEASON_LENGTH: 130 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-22,initial,0.7,0.1,3.57,2.08,2.08,2.08,1.0,1.0,6.7,6.7,0.0
full_eto,001,2010,2,2010-03-23,initial,0.7,0.105,3.47,2.02,2.02,2.02,1.0,1.0,7.1,13.8,0.0
full_eto,001,2010,3,2010-03-24,initial,0.7,0.109,2.86,1.66,1.66,1.66,1.0,1.0,7.5,21.3,0.0
full_eto,001,2010,4,2010-03-25,initial,0.7,0.114,3.84,2.24,2.24,2.24,1.0,1.0,7.6,28.9,0.0
full_eto,001,2010,5,2010-03-26,initial,0.7,0.119,3.15,1.85,1.85,1.85,1.0,1.0,8.1,37.1,0.0
full_eto,001,2010,6,2010-03-27,initial,0.7,0.124,3.13,1.83,1.83,1.86,1.0,0.905,7.0,44.0,0.0
full_eto,001,2010,7,2010-03-28,initial,0.7,0.128,2.71,1.57,1.57,1.57,1.0,1.0,8.9,53.0,0.0
full_eto,001,2010,8,2010-03-29,initial,0.7,0.133,2.97,1.72,1.72,1.72,1.0,1.0,9.2,62.2,0.0
full_eto,001,2010,9,2010-03-30,initial,0.7,0.138,3.58,2.1,2.1,2.1,1.0,1.0,10.5,72.7,0.0
full_eto,001,2010,10,2010-03-31,initial,0.7,0.143,3.42,1.99,1.99,1.99,1.0,1.0,11.3,84.0,0.0
full_eto,001,2010,11,2010-04-01,initial,0.7,0.147,4.01,2.32,2.32,2.32,1.0,1.0,11.6,95.6,0.0
full_eto,001,2010,12,2010-04-02,initial,0.7,0.152,4.2,2.43,2.43,2.43,1.0,1.0,11.6,107.2,0.0
full_eto,001,2010,13,2010-04-03,initial,0.7,0.157,4.08,2.35,2.35,2.35,1.0,0.978,10.7,117.9,0.0
full_eto,001,2010,14,2010-04-04,initial,0.7,0.162,3.77,2.19,2.19,2.19,1.0,1.0,10.8,128.7,0.0
