# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for onion planted 11-21
#   under openfield (fall-winter season, 150 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10705
# CROP: onion
# PLANTING_DATE: 11-21
# CONDITION: openfield
# SEASON_LENGTH: 150 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-21,initial,0.7,0.1,3.63,2.54,2.54,2.54,1.0,1.0,8.9,8.9,0.0
full_eto,001,2010,2,2010-11-22,initial,0.7,0.105,3.65,2.55,2.55,2.55,1.0,1.0,9.5,18.4,0.0
full_eto,001,2010,3,2010-11-23,initial,0.7,0.109,3.19,2.23,2.23,2.23,1.0,1.0,9.9,28.3,0.0
full_eto,001,2010,4,2010-11-24,initial,0.7,0.114,2.91,2.04,2.04,2.04,1.0,1.0,8.7,37.1,0.0
full_eto,001,2010,5,2010-11-25,initial,0.7,0.119,3.27,2.29,2.29,2.29,1.0,1.0,10.0,47.1,0.0
full_eto,001,2010,6,2010-11-26,initial,0.7,0.124,3.33,2.33,2.33,2.33,1.0,1.0,10.4,57.5,0.0
full_eto,001,2010,7,2010-11-27,initial,0.7,0.128,3.46,2.42,2.42,2.42,1.0,1.0,10.7,68.2,0.0
full_eto,001,2010,8,2010-11-28,initial,0.7,0.133,3.1,2.17,2.17,2.17,1.0,1.0,11.3,79.6,0.0
full_eto,001,2010,9,2010-11-29,initial,0.7,0.138,3.27,2.29,2.29,2.29,1.0,1.0,12.3,91.8,0.0
full_eto,001,2010,10,2010-11-30,initial,0.7,0.143,2.96,2.07,2.07,2.07,1.0,1.0,13.0,104.8,0.0
full_eto,001,2010,11,2010-12-01,initial,0.7,0.147,3.08,2.16,2.16,2.16,1.0,1.0,13.5,118.3,0.0
full_eto,001,2010,12,2010-12-02,initial,0.7,0.152,3.17,2.22,2.22,2.22,1.0,1.0,14.0,132.2,0.0
full_eto,001,2010,13,2010-12-03,initial,0.7,0.157,2.99,2.1,2.1,2.1,1.0,1.0,13.6,145.8,0.0
full_eto,001,2010,14,2010-12-04,initial,0.7,0.162,3.06,2.14,2.14,2.14,1.0,1.0,14.0,159.8,0.0
full_eto,001,2010,15,2010-12-05,initial,0.7,0.166,3.04,2.13,2.13,2.13,1.0,1.0,14.5,174.3,0.0
full_eto,001,2010,16,2010-12-06,initial,0.7,0.171,3.62,2.54,2.54,2.54,1.0,1.0,14.6,188.8,0.0
full_eto,001,2010,17,2010-12-07,initial,0.7,0.176,3.0,2.1,2.1,2.1,1.0,1.0,15.1,204.0,0.0
full_eto,001,2010,18,2010-12-08,initial,0.7,0.181,2.62,1.84,1.84,1.84,1.0,1.0,14.3,218.2,0.0
full_eto,001,2010,19,2010-12-09,initial,0.7,0.185,3.14,2.2,2.2,2.2,1.0,1.0,14.4,232.6,0.0
full_eto,001,2010,20,2010-12-10,initial,0.7,0.19,2.95,2.07,2.07,2.09,1.0,1.0,15.6,248.2,0.0
full_eto,001,2010,21,2010-12-11,development,0.7,0.19,3.24,2.27,2.27,2.31,1.0,1.0,12.0,260.2,0.0
full_eto,001,2010,22,2010-12-12,development,0.712,0.204,2.59,1.84,1.84,1.84,1.0,0.748,10.1,270.3,0.0
