# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for potato planted 01-05
#   under underpv_high (winter-spring season, 110 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8250
# CROP: potato
# PLANTING_DATE: 01-05
# CONDITION: underpv_high
# SEASON_LENGTH: 110 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-05,initial,0.5,0.1,1.83,0.54,0.54,0.54,1.0,0.954,3.8,3.8,0.0
full_eto,001,2010,2,2010-01-06,initial,0.5,0.105,1.71,0.5,0.5,0.5,1.0,1.0,4.0,7.9,0.0
full_eto,001,2010,3,2010-01-07,initial,0.5,0.11,1.57,0.45,0.45,0.45,1.0,1.0,4.3,12.2,0.0
full_eto,001,2010,4,2010-01-08,initial,0.5,0.115,1.57,0.46,0.46,0.46,1.0,1.0,4.7,16.9,0.0
full_eto,001,2010,5,2010-01-09,initial,0.5,0.12,1.68,0.49,0.49,0.49,1.0,1.0,5.0,21.9,0.0
full_eto,001,2010,6,2010-01-10,initial,0.5,0.125,1.48,0.43,0.43,0.43,1.0,1.0,5.3,27.2,0.0
full_eto,001,2010,7,2010-01-11,initial,0.5,0.13,1.48,0.43,0.43,0.43,1.0,1.0,5.3,32.6,0.0
full_eto,001,2010,8,2010-01-12,initial,0.5,0.135,1.33,0.39,0.39,0.39,1.0,1.0,5.1,37.7,0.0
full_eto,001,2010,9,2010-01-13,initial,0.5,0.14,1.42,0.41,0.41,0.41,1.0,1.0,3.4,41.1,0.0
full_eto,001,2010,10,2010-01-14,initial,0.5,0.145,1.57,0.46,0.46,0.46,1.0,0.993,5.8,46.9,0.0
full_eto,001,2010,11,2010-01-15,initial,0.5,0.15,1.61,0.47,0.47,0.47,1.0,0.95,5.9,52.8,0.0
full_eto,001,2010,12,2010-01-16,initial,0.5,0.155,1.46,0.42,0.42,0.42,1.0,1.0,5.6,58.5,0.0
full_eto,001,2010,13,2010-01-17,initial,0.5,0.16,1.73,0.5,0.5,0.55,1.0,1.0,4.8,63.2,0.0
full_eto,001,2010,14,2010-01-18,initial,0.5,0.165,2.14,0.63,0.63,0.69,1.0,0.928,5.0,68.2,0.0
full_eto,001,2010,15,2010-01-19,initial,0.5,0.17,1.58,0.46,0.46,0.46,1.0,0.737,4.5,72.7,0.0
full_eto,001,2010,16,2010-01-20,initial,0.5,0.175,1.74,0.51,0.51,0.52,1.0,0.856,4.5,77.2,0.0
full_eto,001,2010,17,2010-01-21,initial,0.5,0.18,1.58,0.47,0.47,0.47,1.0,0.737,5.4,82.6,0.0
full_eto,001,2010,18,2010-01-22,initial,0.5,0.185,1.37,0.4,0.4,0.4,1.0,0.844,6.6,89.2,0.0
full_eto,001,2010,19,2010-01-23,initial,0.5,0.19,1.73,0.51,0.51,0.51,1.0,1.0,8.2,97.4,0.0
full_eto,001,2010,20,2010-01-24,initial,0.5,0.195,2.12,0.63,0.63,0.63,1.0,0.848,6.9,104.4,0.0
full_eto,001,2010,21,2010-01-25,initial,0.5,0.2,1.85,0.55,0.55,0.55,1.0,0.64,5.5,109.8,0.0
full_eto,001,2010,22,2010-01-26,initial,0.5,0.205,1.8,0.53,0.53,0.53,1.0,0.591,5.3,115.2,0.0
full_eto,001,2010,23,2010-01-27,initial,0.5,0.21,1.29,0.38,0.38,0.38,1.0,0.852,6.5,121.7,0.0
full_eto,001,2010,24,2010-01-28,initial,0.5,0.215,1.42,0.41,0.41,0.41,1.0,1.0,9.8,131.5,0.0
full_eto,001,2010,25,2010-01-29,initial,0.5,0.22,1.92,0.56,0.56,0.56,1.0,1.0,9.7,141.2,0.0
full_eto,001,2010,26,2010-01-30,development,0.5,0.22,2.24,0.65,0.65,0.65,1.0,1.0,7.6,148.8,0.0
full_eto,001,2010,27,2010-01-31,development,0.522,0.24,1.53,0.46,0.46,0.5,1.0,1.0,6.2,155.0,0.0
full_eto,001,2010,28,2010-02-01,development,0.545,0.26,2.1,0.67,0.67,0.67,1.0,1.0,11.4,166.4,0.0
full_eto,001,2010,29,2010-02-02,development,0.567,0.28,2.35,0.78,0.78,0.78,1.0,0.911,11.7,178.1,0.0
