# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for potato planted 01-05
#   under underpv_medium (winter-spring season, 110 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8250
# CROP: potato
# PLANTING_DATE: 01-05
# CONDITION: underpv_medium
# SEASON_LENGTH: 110 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-05,initial,0.5,0.1,2.29,0.96,0.96,0.96,1.0,1.0,5.7,5.7,0.0
full_eto,001,2010,2,2010-01-06,initial,0.5,0.105,2.16,0.9,0.9,0.9,1.0,1.0,5.8,11.5,0.0
full_eto,001,2010,3,2010-01-07,initial,0.5,0.11,1.98,0.82,0.82,0.82,1.0,1.0,6.2,17.7,0.0
full_eto,001,2010,4,2010-01-08,initial,0.5,0.115,1.99,0.82,0.82,0.82,1.0,1.0,6.7,24.4,0.0
full_eto,001,2010,5,2010-01-09,initial,0.5,0.12,2.14,0.89,0.89,0.89,1.0,1.0,7.2,31.6,0.0
full_eto,001,2010,6,2010-01-10,initial,0.5,0.125,1.87,0.78,0.78,0.78,1.0,1.0,7.6,39.2,0.0
full_eto,001,2010,7,2010-01-11,initial,0.5,0.13,1.87,0.78,0.78,0.78,1.0,1.0,7.6,46.8,0.0
full_eto,001,2010,8,2010-01-12,initial,0.5,0.135,1.67,0.69,0.69,0.69,1.0,1.0,7.3,54.1,0.0
full_eto,001,2010,9,2010-01-13,initial,0.5,0.14,1.75,0.72,0.72,0.72,1.0,1.0,4.9,59.0,0.0
full_eto,001,2010,10,2010-01-14,initial,0.5,0.145,1.97,0.82,0.82,0.82,1.0,1.0,8.3,67.4,0.0
full_eto,001,2010,11,2010-01-15,initial,0.5,0.15,2.01,0.84,0.84,0.84,1.0,1.0,8.9,76.2,0.0
full_eto,001,2010,12,2010-01-16,initial,0.5,0.155,1.83,0.76,0.76,0.76,1.0,1.0,8.0,84.3,0.0
full_eto,001,2010,13,2010-01-17,initial,0.5,0.16,2.17,0.9,0.9,0.99,1.0,1.0,6.8,91.1,0.0
full_eto,001,2010,14,2010-01-18,initial,0.5,0.165,2.63,1.1,1.1,1.21,1.0,1.0,7.7,98.8,0.0
full_eto,001,2010,15,2010-01-19,initial,0.5,0.17,1.95,0.82,0.82,0.82,1.0,0.82,7.1,105.8,0.0
full_eto,001,2010,16,2010-01-20,initial,0.5,0.175,2.15,0.9,0.9,0.91,1.0,0.94,7.1,113.0,0.0
full_eto,001,2010,17,2010-01-21,initial,0.5,0.18,1.96,0.82,0.82,0.82,1.0,0.82,8.6,121.6,0.0
full_eto,001,2010,18,2010-01-22,initial,0.5,0.185,1.71,0.71,0.71,0.71,1.0,0.927,10.4,132.0,0.0
full_eto,001,2010,19,2010-01-23,initial,0.5,0.19,2.19,0.91,0.91,0.91,1.0,1.0,11.8,143.7,0.0
full_eto,001,2010,20,2010-01-24,initial,0.5,0.195,2.63,1.1,1.1,1.1,1.0,0.931,10.9,154.6,0.0
full_eto,001,2010,21,2010-01-25,initial,0.5,0.2,2.26,0.95,0.95,0.95,1.0,0.723,8.8,163.5,0.0
full_eto,001,2010,22,2010-01-26,initial,0.5,0.205,2.23,0.94,0.94,0.94,1.0,0.675,8.7,172.1,0.0
full_eto,001,2010,23,2010-01-27,initial,0.5,0.21,1.61,0.67,0.67,0.67,1.0,0.935,10.3,182.4,0.0
full_eto,001,2010,24,2010-01-28,initial,0.5,0.215,1.79,0.74,0.74,0.74,1.0,1.0,14.0,196.4,0.0
full_eto,001,2010,25,2010-01-29,initial,0.5,0.22,2.44,1.01,1.01,1.01,1.0,1.0,13.9,210.3,0.0
full_eto,001,2010,26,2010-01-30,development,0.5,0.22,2.79,1.16,1.16,1.16,1.0,1.0,10.8,221.1,0.0
full_eto,001,2010,27,2010-01-31,development,0.522,0.24,1.9,0.82,0.82,0.9,1.0,1.0,8.9,230.0,0.0
full_eto,001,2010,28,2010-02-01,development,0.545,0.26,2.64,1.2,1.2,1.2,1.0,1.0,16.3,246.3,0.0
full_eto,001,2010,29,2010-02-02,development,0.567,0.28,2.94,1.39,1.39,1.39,1.0,0.994,18.3,264.6,0.0
full_eto,001,2010,30,2010-02-03,development,0.59,0.3,2.45,1.22,1.22,1.22,1.0,0.805,15.4,280.0,0.0
full_eto,001,2010,31,2010-02-04,development,0.612,0.32,2.34,1.21,1.21,1.21,1.0,0.626,13.2,293.3,0.0
full_eto,001,2010,32,2010-02-05,development,0.634,0.34,2.32,1.25,1.25,1.25,1.0,0.55,11.8,305.1,0.0
full_eto,001,2010,33,2010-02-06,development,0.657,0.36,2.3,1.27,1.27,1.27,1.0,0.593,14.0,319.1,0.0
