# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for potato planted 01-15
#   under openfield (winter-spring season, 110 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8250
# CROP: potato
# PLANTING_DATE: 01-15
# CONDITION: openfield
# SEASON_LENGTH: 110 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-15,initial,0.5,0.1,4.83,2.42,2.42,1.0,1.0,11.8,11.8,0.0
full_eto,001,2010,2,2010-01-16,initial,0.5,0.105,4.99,2.5,2.5,1.0,1.0,10.9,22.7,0.0
full_eto,001,2010,3,2010-01-17,initial,0.5,0.11,4.87,2.43,2.68,1.0,1.0,9.4,32.1,0.0
full_eto,001,2010,4,2010-01-18,initial,0.5,0.115,4.75,2.37,2.61,1.0,1.0,10.7,42.8,0.0
full_eto,001,2010,5,2010-01-19,initial,0.5,0.12,4.31,2.15,2.15,1.0,0.945,11.5,54.3,0.0
full_eto,001,2010,6,2010-01-20,initial,0.5,0.125,4.64,2.32,2.33,1.0,1.0,10.8,65.1,0.0
full_eto,001,2010,7,2010-01-21,initial,0.5,0.13,4.14,2.07,2.07,1.0,0.945,14.4,79.5,0.0
full_eto,001,2010,8,2010-01-22,initial,0.5,0.135,4.16,2.08,2.08,1.0,1.0,16.3,95.8,0.0
full_eto,001,2010,9,2010-01-23,initial,0.5,0.14,5.37,2.68,2.68,1.0,1.0,17.3,113.1,0.0
full_eto,001,2010,10,2010-01-24,initial,0.5,0.145,5.02,2.51,2.51,1.0,1.0,17.4,130.5,0.0
full_eto,001,2010,11,2010-01-25,initial,0.5,0.15,4.07,2.04,2.04,1.0,0.848,15.5,146.0,0.0
full_eto,001,2010,12,2010-01-26,initial,0.5,0.155,4.72,2.36,2.36,1.0,0.8,15.5,161.6,0.0
full_eto,001,2010,13,2010-01-27,initial,0.5,0.16,4.78,2.39,2.39,1.0,1.0,16.7,178.3,0.0
full_eto,001,2010,14,2010-01-28,initial,0.5,0.165,5.42,2.71,2.71,1.0,1.0,21.5,199.7,0.0
full_eto,001,2010,15,2010-01-29,initial,0.5,0.17,6.1,3.05,3.05,1.0,1.0,21.4,221.2,0.0
full_eto,001,2010,16,2010-01-30,initial,0.5,0.175,5.61,2.8,2.8,1.0,1.0,17.3,238.5,0.0
full_eto,001,2010,17,2010-01-31,initial,0.5,0.18,5.66,2.83,3.04,1.0,1.0,13.4,251.8,0.0
full_eto,001,2010,18,2010-02-01,initial,0.5,0.185,5.46,2.73,2.73,1.0,1.0,23.1,275.0,0.0
full_eto,001,2010,19,2010-02-02,initial,0.5,0.19,5.88,2.94,2.94,1.0,1.0,25.0,300.0,0.0
full_eto,001,2010,20,2010-02-03,initial,0.5,0.195,4.34,2.17,2.17,1.0,0.93,23.2,323.1,0.0
full_eto,001,2010,21,2010-02-04,initial,0.5,0.2,4.15,2.08,2.08,1.0,0.751,19.9,343.0,0.0
full_eto,001,2010,22,2010-02-05,initial,0.5,0.205,4.55,2.28,2.28,1.0,0.675,17.4,360.4,0.0
full_eto,001,2010,23,2010-02-06,initial,0.5,0.21,4.95,2.48,2.48,1.0,0.718,19.7,380.1,0.0
full_eto,001,2010,24,2010-02-07,initial,0.5,0.215,5.11,2.56,2.56,1.0,0.875,26.3,406.4,0.0
full_eto,001,2010,25,2010-02-08,initial,0.5,0.22,5.91,2.96,2.96,1.0,1.0,28.7,435.1,0.0
full_eto,001,2010,26,2010-02-09,development,0.5,0.22,6.96,3.48,3.48,1.0,1.0,29.4,464.5,0.0
