# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for potato planted 01-15
#   under underpv_high (winter-spring season, 110 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8250
# CROP: potato
# PLANTING_DATE: 01-15
# CONDITION: underpv_high
# SEASON_LENGTH: 110 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-15,initial,0.5,0.1,4.5,1.33,1.33,1.0,0.95,3.9,3.9,0.0
full_eto,001,2010,2,2010-01-16,initial,0.5,0.105,4.68,1.37,1.37,1.0,1.0,3.8,7.7,0.0
full_eto,001,2010,3,2010-01-17,initial,0.5,0.11,4.57,1.34,1.47,1.0,1.0,3.3,11.0,0.0
full_eto,001,2010,4,2010-01-18,initial,0.5,0.115,4.42,1.31,1.44,1.0,0.928,3.5,14.5,0.0
full_eto,001,2010,5,2010-01-19,initial,0.5,0.12,3.99,1.18,1.18,1.0,0.737,3.1,17.6,0.0
full_eto,001,2010,6,2010-01-20,initial,0.5,0.125,4.31,1.28,1.29,1.0,0.856,3.2,20.9,0.0
full_eto,001,2010,7,2010-01-21,initial,0.5,0.13,3.84,1.14,1.14,1.0,0.737,3.9,24.8,0.0
full_eto,001,2010,8,2010-01-22,initial,0.5,0.135,3.87,1.14,1.14,1.0,0.844,4.8,29.6,0.0
full_eto,001,2010,9,2010-01-23,initial,0.5,0.14,5.01,1.48,1.48,1.0,1.0,6.0,35.7,0.0
full_eto,001,2010,10,2010-01-24,initial,0.5,0.145,4.66,1.38,1.38,1.0,0.848,5.1,40.8,0.0
full_eto,001,2010,11,2010-01-25,initial,0.5,0.15,3.76,1.12,1.12,1.0,0.64,4.1,44.9,0.0
full_eto,001,2010,12,2010-01-26,initial,0.5,0.155,4.35,1.3,1.3,1.0,0.591,4.0,48.9,0.0
full_eto,001,2010,13,2010-01-27,initial,0.5,0.16,4.45,1.32,1.32,1.0,0.852,5.0,53.9,0.0
