# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for potato planted 01-15
#   under underpv_low (winter-spring season, 110 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8250
# CROP: potato
# PLANTING_DATE: 01-15
# CONDITION: underpv_low
# SEASON_LENGTH: 110 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-15,initial,0.5,0.1,4.73,2.05,2.05,1.0,1.0,7.7,7.7,0.0
full_eto,001,2010,2,2010-01-16,initial,0.5,0.105,4.89,2.12,2.12,1.0,1.0,7.1,14.7,0.0
full_eto,001,2010,3,2010-01-17,initial,0.5,0.11,4.77,2.07,2.28,1.0,1.0,6.1,20.8,0.0
full_eto,001,2010,4,2010-01-18,initial,0.5,0.115,4.64,2.02,2.22,1.0,1.0,7.0,27.8,0.0
full_eto,001,2010,5,2010-01-19,initial,0.5,0.12,4.21,1.83,1.83,1.0,0.878,6.9,34.8,0.0
full_eto,001,2010,6,2010-01-20,initial,0.5,0.125,4.53,1.97,1.98,1.0,0.998,7.0,41.8,0.0
full_eto,001,2010,7,2010-01-21,initial,0.5,0.13,4.05,1.76,1.76,1.0,0.879,8.7,50.5,0.0
full_eto,001,2010,8,2010-01-22,initial,0.5,0.135,4.07,1.77,1.77,1.0,0.985,10.5,60.9,0.0
full_eto,001,2010,9,2010-01-23,initial,0.5,0.14,5.25,2.28,2.28,1.0,1.0,11.2,72.2,0.0
full_eto,001,2010,10,2010-01-24,initial,0.5,0.145,4.9,2.13,2.13,1.0,0.99,11.2,83.4,0.0
full_eto,001,2010,11,2010-01-25,initial,0.5,0.15,3.97,1.73,1.73,1.0,0.782,9.3,92.7,0.0
full_eto,001,2010,12,2010-01-26,initial,0.5,0.155,4.6,2.01,2.01,1.0,0.733,9.2,101.9,0.0
full_eto,001,2010,13,2010-01-27,initial,0.5,0.16,4.68,2.03,2.03,1.0,0.994,10.8,112.7,0.0
full_eto,001,2010,14,2010-01-28,initial,0.5,0.165,5.31,2.3,2.3,1.0,1.0,14.0,126.7,0.0
full_eto,001,2010,15,2010-01-29,initial,0.5,0.17,5.98,2.59,2.59,1.0,1.0,13.9,140.6,0.0
full_eto,001,2010,16,2010-01-30,initial,0.5,0.175,5.49,2.38,2.38,1.0,1.0,11.2,151.9,0.0
full_eto,001,2010,17,2010-01-31,initial,0.5,0.18,5.55,2.41,2.62,1.0,1.0,8.7,160.6,0.0
