# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for potato planted 01-15
#   under underpv_medium (winter-spring season, 110 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8250
# CROP: potato
# PLANTING_DATE: 01-15
# CONDITION: underpv_medium
# SEASON_LENGTH: 110 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-15,initial,0.5,0.1,4.64,1.93,1.93,1.0,1.0,5.9,5.9,0.0
full_eto,001,2010,2,2010-01-16,initial,0.5,0.105,4.8,2.0,2.0,1.0,1.0,5.4,11.3,0.0
full_eto,001,2010,3,2010-01-17,initial,0.5,0.11,4.69,1.95,2.14,1.0,1.0,4.7,16.0,0.0
full_eto,001,2010,4,2010-01-18,initial,0.5,0.115,4.55,1.9,2.09,1.0,1.0,5.4,21.4,0.0
full_eto,001,2010,5,2010-01-19,initial,0.5,0.12,4.12,1.72,1.72,1.0,0.82,5.0,26.4,0.0
full_eto,001,2010,6,2010-01-20,initial,0.5,0.125,4.44,1.85,1.86,1.0,0.94,5.1,31.5,0.0
full_eto,001,2010,7,2010-01-21,initial,0.5,0.13,3.96,1.66,1.66,1.0,0.82,6.2,37.7,0.0
full_eto,001,2010,8,2010-01-22,initial,0.5,0.135,3.99,1.67,1.67,1.0,0.927,7.6,45.3,0.0
full_eto,001,2010,9,2010-01-23,initial,0.5,0.14,5.15,2.15,2.15,1.0,1.0,8.7,54.0,0.0
full_eto,001,2010,10,2010-01-24,initial,0.5,0.145,4.8,2.01,2.01,1.0,0.931,8.1,62.1,0.0
full_eto,001,2010,11,2010-01-25,initial,0.5,0.15,3.89,1.63,1.63,1.0,0.723,6.6,68.7,0.0
full_eto,001,2010,12,2010-01-26,initial,0.5,0.155,4.5,1.89,1.89,1.0,0.675,6.6,75.2,0.0
full_eto,001,2010,13,2010-01-27,initial,0.5,0.16,4.58,1.91,1.91,1.0,0.935,7.8,83.1,0.0
