# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for potato planted 01-25
#   under openfield (winter-spring season, 110 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8250
# CROP: potato
# PLANTING_DATE: 01-25
# CONDITION: openfield
# SEASON_LENGTH: 110 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-25,initial,0.5,0.1,2.86,1.43,1.43,1.43,1.0,0.848,10.4,10.4,0.0
full_eto,001,2010,2,2010-01-26,initial,0.5,0.105,2.88,1.44,1.44,1.44,1.0,0.8,10.5,20.9,0.0
full_eto,001,2010,3,2010-01-27,initial,0.5,0.11,2.26,1.13,1.13,1.13,1.0,1.0,11.5,32.4,0.0
full_eto,001,2010,4,2010-01-28,initial,0.5,0.115,2.67,1.34,1.34,1.34,1.0,1.0,15.0,47.3,0.0
full_eto,001,2010,5,2010-01-29,initial,0.5,0.12,3.32,1.66,1.66,1.66,1.0,1.0,15.1,62.5,0.0
full_eto,001,2010,6,2010-01-30,initial,0.5,0.125,3.56,1.78,1.78,1.78,1.0,1.0,12.4,74.8,0.0
full_eto,001,2010,7,2010-01-31,initial,0.5,0.13,2.53,1.27,1.27,1.39,1.0,1.0,9.6,84.5,0.0
full_eto,001,2010,8,2010-02-01,initial,0.5,0.135,3.49,1.75,1.75,1.75,1.0,1.0,16.9,101.4,0.0
full_eto,001,2010,9,2010-02-02,initial,0.5,0.14,3.77,1.89,1.89,1.89,1.0,1.0,18.4,119.8,0.0
full_eto,001,2010,10,2010-02-03,initial,0.5,0.145,3.12,1.56,1.56,1.56,1.0,0.93,17.2,137.0,0.0
full_eto,001,2010,11,2010-02-04,initial,0.5,0.15,2.95,1.48,1.48,1.48,1.0,0.751,14.9,151.9,0.0
full_eto,001,2010,12,2010-02-05,initial,0.5,0.155,2.94,1.47,1.47,1.47,1.0,0.675,13.2,165.1,0.0
full_eto,001,2010,13,2010-02-06,initial,0.5,0.16,2.98,1.49,1.49,1.49,1.0,0.718,15.0,180.1,0.0
full_eto,001,2010,14,2010-02-07,initial,0.5,0.165,2.79,1.4,1.4,1.4,1.0,0.875,20.2,200.3,0.0
