# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for potato planted 01-25
#   under underpv_low (winter-spring season, 110 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8250
# CROP: potato
# PLANTING_DATE: 01-25
# CONDITION: underpv_low
# SEASON_LENGTH: 110 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-25,initial,0.5,0.1,2.5,1.09,1.09,1.09,1.0,0.782,6.2,6.2,0.0
full_eto,001,2010,2,2010-01-26,initial,0.5,0.105,2.49,1.09,1.09,1.09,1.0,0.733,6.3,12.5,0.0
full_eto,001,2010,3,2010-01-27,initial,0.5,0.11,1.84,0.8,0.8,0.8,1.0,0.994,7.4,19.9,0.0
full_eto,001,2010,4,2010-01-28,initial,0.5,0.115,2.09,0.91,0.91,0.91,1.0,1.0,9.7,29.6,0.0
full_eto,001,2010,5,2010-01-29,initial,0.5,0.12,2.77,1.2,1.2,1.2,1.0,1.0,9.8,39.5,0.0
full_eto,001,2010,6,2010-01-30,initial,0.5,0.125,3.11,1.35,1.35,1.35,1.0,1.0,8.0,47.5,0.0
full_eto,001,2010,7,2010-01-31,initial,0.5,0.13,2.15,0.93,0.93,1.02,1.0,1.0,6.3,53.8,0.0
full_eto,001,2010,8,2010-02-01,initial,0.5,0.135,2.97,1.29,1.29,1.29,1.0,1.0,11.0,64.8,0.0
full_eto,001,2010,9,2010-02-02,initial,0.5,0.14,3.27,1.43,1.43,1.43,1.0,1.0,12.0,76.7,0.0
full_eto,001,2010,10,2010-02-03,initial,0.5,0.145,2.72,1.19,1.19,1.19,1.0,0.863,10.4,87.1,0.0
full_eto,001,2010,11,2010-02-04,initial,0.5,0.15,2.58,1.13,1.13,1.13,1.0,0.684,8.8,95.9,0.0
full_eto,001,2010,12,2010-02-05,initial,0.5,0.155,2.57,1.13,1.13,1.13,1.0,0.608,7.7,103.7,0.0
full_eto,001,2010,13,2010-02-06,initial,0.5,0.16,2.57,1.12,1.12,1.12,1.0,0.652,8.9,112.5,0.0
full_eto,001,2010,14,2010-02-07,initial,0.5,0.165,2.27,0.99,0.99,0.99,1.0,0.809,12.1,124.6,0.0
full_eto,001,2010,15,2010-02-08,initial,0.5,0.17,2.51,1.09,1.09,1.09,1.0,1.0,14.4,139.1,0.0
full_eto,001,2010,16,2010-02-09,initial,0.5,0.175,2.46,1.07,1.07,1.07,1.0,1.0,15.2,154.2,0.0
full_eto,001,2010,17,2010-02-10,initial,0.5,0.18,2.46,1.07,1.07,1.07,1.0,1.0,16.1,170.3,0.0
full_eto,001,2010,18,2010-02-11,initial,0.5,0.185,2.82,1.22,1.22,1.22,1.0,1.0,15.8,186.1,0.0
full_eto,001,2010,19,2010-02-12,initial,0.5,0.19,2.6,1.13,1.13,1.13,1.0,1.0,17.4,203.5,0.0
full_eto,001,2010,20,2010-02-13,initial,0.5,0.195,2.92,1.27,1.27,1.27,1.0,1.0,17.7,221.2,0.0
full_eto,001,2010,21,2010-02-14,initial,0.5,0.2,2.71,1.17,1.17,1.17,1.0,0.956,14.5,235.7,0.0
full_eto,001,2010,22,2010-02-15,initial,0.5,0.205,2.73,1.18,1.18,1.18,1.0,0.858,13.4,249.1,0.0
full_eto,001,2010,23,2010-02-16,initial,0.5,0.21,2.5,1.08,1.08,1.08,1.0,0.752,13.1,262.2,0.0
full_eto,001,2010,24,2010-02-17,initial,0.5,0.215,3.04,1.32,1.32,1.32,1.0,0.848,16.5,278.8,0.0
