# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for potato planted 11-05
#   under underpv_low (winter season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8685
# CROP: potato
# PLANTING_DATE: 11-05
# CONDITION: underpv_low
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-05,initial,0.5,0.1,3.3,1.43,1.43,1.43,1.0,0.507,4.1,4.1,0.0
full_eto,001,2010,2,2010-11-06,initial,0.5,0.105,3.39,1.47,1.47,1.47,1.0,0.648,5.2,9.3,0.0
full_eto,001,2010,3,2010-11-07,initial,0.5,0.11,3.26,1.42,1.42,1.42,1.0,1.0,8.8,18.0,0.0
full_eto,001,2010,4,2010-11-08,initial,0.5,0.115,3.07,1.33,1.33,1.33,1.0,1.0,9.5,27.5,0.0
full_eto,001,2010,5,2010-11-09,initial,0.5,0.12,2.72,1.18,1.18,1.18,1.0,0.936,7.5,35.1,0.0
full_eto,001,2010,6,2010-11-10,initial,0.5,0.125,2.92,1.27,1.27,1.27,1.0,0.864,8.4,43.5,0.0
full_eto,001,2010,7,2010-11-11,initial,0.5,0.13,3.04,1.32,1.32,1.32,1.0,0.78,7.9,51.4,0.0
full_eto,001,2010,8,2010-11-12,initial,0.5,0.135,2.73,1.18,1.18,1.18,1.0,0.705,7.4,58.8,0.0
full_eto,001,2010,9,2010-11-13,initial,0.5,0.14,2.3,0.99,0.99,0.99,1.0,0.672,5.6,64.4,0.0
full_eto,001,2010,10,2010-11-14,initial,0.5,0.145,2.79,1.21,1.21,1.21,1.0,0.536,5.9,70.3,0.0
full_eto,001,2010,11,2010-11-15,initial,0.5,0.15,2.39,1.03,1.03,1.03,1.0,0.621,5.1,75.4,0.0
full_eto,001,2010,12,2010-11-16,initial,0.5,0.155,2.87,1.25,1.25,1.28,1.0,0.863,9.2,84.6,0.0
full_eto,001,2010,13,2010-11-17,initial,0.5,0.16,2.68,1.16,1.16,1.16,1.0,0.879,10.2,94.8,0.0
full_eto,001,2010,14,2010-11-18,initial,0.5,0.165,2.71,1.17,1.17,1.17,1.0,0.682,8.4,103.2,0.0
full_eto,001,2010,15,2010-11-19,initial,0.5,0.17,2.94,1.28,1.28,1.28,1.0,0.724,9.3,112.5,0.0
full_eto,001,2010,16,2010-11-20,initial,0.5,0.175,3.12,1.35,1.35,1.35,1.0,0.831,10.8,123.3,0.0
full_eto,001,2010,17,2010-11-21,initial,0.5,0.18,3.05,1.33,1.33,1.33,1.0,1.0,13.5,136.8,0.0
full_eto,001,2010,18,2010-11-22,initial,0.5,0.185,3.11,1.35,1.35,1.35,1.0,1.0,14.1,150.9,0.0
full_eto,001,2010,19,2010-11-23,initial,0.5,0.19,2.63,1.14,1.14,1.14,1.0,1.0,14.5,165.4,0.0
full_eto,001,2010,20,2010-11-24,initial,0.5,0.195,2.41,1.04,1.04,1.04,1.0,1.0,12.5,177.8,0.0
full_eto,001,2010,21,2010-11-25,initial,0.5,0.2,2.7,1.17,1.17,1.17,1.0,1.0,14.1,192.0,0.0
