# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for potato planted 11-15
#   under openfield (winter season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8635
# CROP: potato
# PLANTING_DATE: 11-15
# CONDITION: openfield
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-15,initial,0.5,0.1,2.92,1.46,1.46,1.46,1.0,0.488,4.1,4.1,0.0
full_eto,001,2010,2,2010-11-16,initial,0.5,0.105,3.46,1.73,1.73,1.76,1.0,0.729,8.1,12.2,0.0
full_eto,001,2010,3,2010-11-17,initial,0.5,0.11,3.31,1.65,1.65,1.65,1.0,0.746,9.1,21.4,0.0
full_eto,001,2010,4,2010-11-18,initial,0.5,0.115,3.38,1.69,1.69,1.69,1.0,0.548,7.2,28.6,0.0
full_eto,001,2010,5,2010-11-19,initial,0.5,0.12,3.61,1.8,1.8,1.8,1.0,0.591,8.3,36.9,0.0
full_eto,001,2010,6,2010-11-20,initial,0.5,0.125,3.75,1.87,1.87,1.87,1.0,0.698,10.0,46.9,0.0
full_eto,001,2010,7,2010-11-21,initial,0.5,0.13,3.63,1.82,1.82,1.82,1.0,0.908,13.6,60.5,0.0
full_eto,001,2010,8,2010-11-22,initial,0.5,0.135,3.65,1.82,1.82,1.82,1.0,1.0,15.8,76.3,0.0
full_eto,001,2010,9,2010-11-23,initial,0.5,0.14,3.19,1.6,1.6,1.6,1.0,1.0,16.4,92.7,0.0
full_eto,001,2010,10,2010-11-24,initial,0.5,0.145,2.91,1.45,1.45,1.45,1.0,1.0,14.3,107.0,0.0
full_eto,001,2010,11,2010-11-25,initial,0.5,0.15,3.27,1.63,1.63,1.63,1.0,0.869,14.2,121.2,0.0
full_eto,001,2010,12,2010-11-26,initial,0.5,0.155,3.33,1.66,1.66,1.66,1.0,0.811,13.7,134.9,0.0
full_eto,001,2010,13,2010-11-27,initial,0.5,0.16,3.46,1.73,1.73,1.73,1.0,0.723,12.5,147.3,0.0
full_eto,001,2010,14,2010-11-28,initial,0.5,0.165,3.1,1.55,1.55,1.55,1.0,0.675,12.2,159.6,0.0
full_eto,001,2010,15,2010-11-29,initial,0.5,0.17,3.27,1.64,1.64,1.64,1.0,0.696,13.6,173.2,0.0
full_eto,001,2010,16,2010-11-30,initial,0.5,0.175,2.96,1.48,1.48,1.48,1.0,0.81,16.6,189.8,0.0
full_eto,001,2010,17,2010-12-01,initial,0.5,0.18,3.08,1.54,1.54,1.54,1.0,0.967,20.6,210.4,0.0
full_eto,001,2010,18,2010-12-02,initial,0.5,0.185,3.17,1.58,1.58,1.58,1.0,0.978,21.5,231.8,0.0
