# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for potato planted 11-15
#   under underpv_medium (winter season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8635
# CROP: potato
# PLANTING_DATE: 11-15
# CONDITION: underpv_medium
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-15,initial,0.5,0.1,2.08,0.86,0.86,0.86,1.0,0.738,3.1,3.1,0.0
full_eto,001,2010,2,2010-11-16,initial,0.5,0.105,2.52,1.05,1.05,1.08,1.0,0.979,5.5,8.6,0.0
full_eto,001,2010,3,2010-11-17,initial,0.5,0.11,2.33,0.97,0.97,0.97,1.0,0.996,6.1,14.7,0.0
full_eto,001,2010,4,2010-11-18,initial,0.5,0.115,2.33,0.96,0.96,0.96,1.0,0.798,5.3,19.9,0.0
full_eto,001,2010,5,2010-11-19,initial,0.5,0.12,2.56,1.06,1.06,1.06,1.0,0.841,5.9,25.8,0.0
full_eto,001,2010,6,2010-11-20,initial,0.5,0.125,2.74,1.13,1.13,1.13,1.0,0.948,6.8,32.6,0.0
full_eto,001,2010,7,2010-11-21,initial,0.5,0.13,2.7,1.12,1.12,1.12,1.0,1.0,7.5,40.1,0.0
full_eto,001,2010,8,2010-11-22,initial,0.5,0.135,2.76,1.15,1.15,1.15,1.0,1.0,7.9,48.0,0.0
full_eto,001,2010,9,2010-11-23,initial,0.5,0.14,2.3,0.96,0.96,0.96,1.0,1.0,8.2,56.1,0.0
full_eto,001,2010,10,2010-11-24,initial,0.5,0.145,2.12,0.88,0.88,0.88,1.0,1.0,7.1,63.3,0.0
full_eto,001,2010,11,2010-11-25,initial,0.5,0.15,2.37,0.98,0.98,0.98,1.0,1.0,8.2,71.4,0.0
full_eto,001,2010,12,2010-11-26,initial,0.5,0.155,2.42,1.0,1.0,1.0,1.0,1.0,8.5,79.9,0.0
full_eto,001,2010,13,2010-11-27,initial,0.5,0.16,2.54,1.05,1.05,1.05,1.0,0.973,8.4,88.3,0.0
full_eto,001,2010,14,2010-11-28,initial,0.5,0.165,2.17,0.9,0.9,0.9,1.0,0.925,8.4,96.7,0.0
full_eto,001,2010,15,2010-11-29,initial,0.5,0.17,2.3,0.95,0.95,0.95,1.0,0.946,9.2,105.9,0.0
full_eto,001,2010,16,2010-11-30,initial,0.5,0.175,2.02,0.84,0.84,0.84,1.0,1.0,10.3,116.2,0.0
full_eto,001,2010,17,2010-12-01,initial,0.5,0.18,2.18,0.91,0.91,0.91,1.0,1.0,10.6,126.8,0.0
full_eto,001,2010,18,2010-12-02,initial,0.5,0.185,2.28,0.94,0.94,0.94,1.0,1.0,11.0,137.8,0.0
full_eto,001,2010,19,2010-12-03,initial,0.5,0.19,2.14,0.89,0.89,0.89,1.0,1.0,10.6,148.4,0.0
full_eto,001,2010,20,2010-12-04,initial,0.5,0.195,2.18,0.9,0.9,0.9,1.0,1.0,10.9,159.3,0.0
full_eto,001,2010,21,2010-12-05,initial,0.5,0.2,2.18,0.9,0.9,0.9,1.0,1.0,11.2,170.5,0.0
full_eto,001,2010,22,2010-12-06,initial,0.5,0.205,2.89,1.21,1.21,1.21,1.0,1.0,11.3,181.9,0.0
full_eto,001,2010,23,2010-12-07,initial,0.5,0.21,2.32,0.97,0.97,0.97,1.0,1.0,11.7,193.6,0.0
full_eto,001,2010,24,2010-12-08,initial,0.5,0.215,1.98,0.83,0.83,0.83,1.0,1.0,10.9,204.5,0.0
full_eto,001,2010,25,2010-12-09,initial,0.5,0.22,2.44,1.02,1.02,1.02,1.0,1.0,11.1,215.6,0.0
full_eto,001,2010,26,2010-12-10,development,0.5,0.22,2.28,0.95,0.95,0.97,1.0,1.0,11.7,227.2,0.0
full_eto,001,2010,27,2010-12-11,development,0.522,0.24,2.64,1.15,1.15,1.19,1.0,1.0,9.8,237.0,0.0
full_eto,001,2010,28,2010-12-12,development,0.545,0.26,2.15,0.99,0.99,0.99,1.0,0.728,8.1,245.1,0.0
full_eto,001,2010,29,2010-12-13,development,0.567,0.28,1.88,0.9,0.9,0.9,1.0,0.666,9.0,254.2,0.0
full_eto,001,2010,30,2010-12-14,development,0.59,0.3,1.18,0.58,0.58,0.58,1.0,0.86,12.9,267.0,0.0
full_eto,001,2010,31,2010-12-15,development,0.612,0.32,1.55,0.79,0.79,0.79,1.0,1.0,13.0,280.0,0.0
full_eto,001,2010,32,2010-12-16,development,0.634,0.34,1.62,0.85,0.85,0.85,1.0,1.0,17.9,298.0,0.0
full_eto,001,2010,33,2010-12-17,development,0.657,0.36,1.71,0.93,0.93,0.93,1.0,1.0,19.1,317.1,0.0
full_eto,001,2010,34,2010-12-18,development,0.679,0.38,2.26,1.29,1.29,1.29,1.0,1.0,19.7,336.8,0.0
full_eto,001,2010,35,2010-12-19,development,0.702,0.4,2.26,1.33,1.33,1.33,1.0,0.881,18.9,355.7,0.0
