# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for potato planted 09-15
#   under openfield (fall season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8940
# CROP: potato
# PLANTING_DATE: 09-15
# CONDITION: openfield
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-15,initial,0.5,0.1,8.87,4.44,4.44,1.0,0.439,8.2,8.2,0.0
full_eto,001,2010,2,2010-09-16,initial,0.5,0.105,9.64,4.82,4.82,1.0,0.367,7.0,15.2,0.0
full_eto,001,2010,3,2010-09-17,initial,0.5,0.11,8.39,4.19,4.19,1.0,0.327,6.5,21.7,0.0
full_eto,001,2010,4,2010-09-18,initial,0.5,0.115,9.77,4.88,4.88,1.0,0.436,9.2,31.0,0.0
full_eto,001,2010,5,2010-09-19,initial,0.5,0.12,8.91,4.46,4.46,1.0,0.481,10.6,41.6,0.0
full_eto,001,2010,6,2010-09-20,initial,0.5,0.125,9.65,4.82,4.82,1.0,0.25,5.6,47.2,0.0
full_eto,001,2010,7,2010-09-21,initial,0.5,0.13,9.22,4.61,4.61,1.0,0.085,1.8,49.0,0.0
full_eto,001,2010,8,2010-09-22,initial,0.5,0.135,9.63,4.82,4.82,1.0,0.057,0.7,49.7,0.0
full_eto,001,2010,9,2010-09-23,initial,0.5,0.14,9.63,4.81,4.81,1.0,0.0,0.0,49.7,0.0
full_eto,001,2010,10,2010-09-24,initial,0.5,0.145,9.82,4.91,4.91,1.0,0.0,0.0,49.7,0.0
full_eto,001,2010,11,2010-09-25,initial,0.5,0.15,9.66,4.83,4.83,1.0,0.0,0.0,49.7,0.0
full_eto,001,2010,12,2010-09-26,initial,0.5,0.155,10.28,5.14,5.14,1.0,0.0,0.0,49.7,0.0
full_eto,001,2010,13,2010-09-27,initial,0.5,0.16,10.72,5.36,5.36,1.0,0.0,0.0,49.7,0.0
full_eto,001,2010,14,2010-09-28,initial,0.5,0.165,10.98,5.49,5.49,1.0,0.0,0.0,49.7,0.0
full_eto,001,2010,15,2010-09-29,initial,0.5,0.17,10.68,5.34,5.34,1.0,0.0,0.0,49.7,0.0
full_eto,001,2010,16,2010-09-30,initial,0.5,0.175,11.2,5.6,5.6,1.0,0.0,0.0,49.7,0.0
full_eto,001,2010,17,2010-10-01,initial,0.5,0.18,9.74,4.87,4.87,1.0,0.0,0.0,49.7,0.0
full_eto,001,2010,18,2010-10-02,initial,0.5,0.185,9.9,4.95,4.95,1.0,0.0,0.0,49.7,0.0
full_eto,001,2010,19,2010-10-03,initial,0.5,0.19,9.77,4.89,4.89,1.0,0.0,0.0,49.7,0.0
full_eto,001,2010,20,2010-10-04,initial,0.5,0.195,8.71,4.35,4.35,1.0,0.0,0.0,49.7,0.0
full_eto,001,2010,21,2010-10-05,initial,0.5,0.2,7.97,3.98,3.98,1.0,0.087,2.4,52.1,0.0
full_eto,001,2010,22,2010-10-06,initial,0.5,0.205,7.26,3.63,3.63,1.0,0.409,12.7,64.8,0.0
