# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for potato planted 09-15
#   under underpv_high (fall season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8940
# CROP: potato
# PLANTING_DATE: 09-15
# CONDITION: underpv_high
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-15,initial,0.5,0.1,8.38,2.44,2.44,1.0,0.856,5.6,5.6,0.0
full_eto,001,2010,2,2010-09-16,initial,0.5,0.105,9.11,2.65,2.65,1.0,0.784,5.2,10.8,0.0
full_eto,001,2010,3,2010-09-17,initial,0.5,0.11,7.93,2.31,2.31,1.0,0.743,5.2,16.0,0.0
full_eto,001,2010,4,2010-09-18,initial,0.5,0.115,9.23,2.69,2.69,1.0,0.852,6.3,22.3,0.0
full_eto,001,2010,5,2010-09-19,initial,0.5,0.12,8.42,2.45,2.45,1.0,0.898,6.9,29.3,0.0
full_eto,001,2010,6,2010-09-20,initial,0.5,0.125,9.13,2.65,2.65,1.0,0.667,5.2,34.5,0.0
full_eto,001,2010,7,2010-09-21,initial,0.5,0.13,8.74,2.54,2.54,1.0,0.502,3.7,38.2,0.0
full_eto,001,2010,8,2010-09-22,initial,0.5,0.135,9.12,2.65,2.65,1.0,0.474,2.2,40.3,0.0
full_eto,001,2010,9,2010-09-23,initial,0.5,0.14,9.13,2.65,2.65,1.0,0.372,2.9,43.3,0.0
full_eto,001,2010,10,2010-09-24,initial,0.5,0.145,9.31,2.7,2.7,1.0,0.362,2.7,46.0,0.0
full_eto,001,2010,11,2010-09-25,initial,0.5,0.15,9.15,2.66,2.66,1.0,0.376,3.0,49.0,0.0
full_eto,001,2010,12,2010-09-26,initial,0.5,0.155,9.74,2.83,2.83,1.0,0.4,3.4,52.4,0.0
full_eto,001,2010,13,2010-09-27,initial,0.5,0.16,10.18,2.95,2.95,1.0,0.145,1.2,53.6,0.0
