# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for potato planted 09-15
#   under underpv_medium (fall season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8940
# CROP: potato
# PLANTING_DATE: 09-15
# CONDITION: underpv_medium
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-15,initial,0.5,0.1,8.58,3.55,3.55,1.0,0.689,6.5,6.5,0.0
full_eto,001,2010,2,2010-09-16,initial,0.5,0.105,9.32,3.86,3.86,1.0,0.617,5.9,12.3,0.0
full_eto,001,2010,3,2010-09-17,initial,0.5,0.11,8.11,3.35,3.35,1.0,0.577,5.8,18.1,0.0
full_eto,001,2010,4,2010-09-18,initial,0.5,0.115,9.44,3.91,3.91,1.0,0.686,7.3,25.4,0.0
full_eto,001,2010,5,2010-09-19,initial,0.5,0.12,8.61,3.57,3.57,1.0,0.731,8.0,33.4,0.0
full_eto,001,2010,6,2010-09-20,initial,0.5,0.125,9.33,3.86,3.86,1.0,0.5,5.6,39.0,0.0
full_eto,001,2010,7,2010-09-21,initial,0.5,0.13,8.93,3.69,3.69,1.0,0.335,3.5,42.5,0.0
full_eto,001,2010,8,2010-09-22,initial,0.5,0.135,9.33,3.85,3.85,1.0,0.307,2.0,44.5,0.0
full_eto,001,2010,9,2010-09-23,initial,0.5,0.14,9.33,3.85,3.85,1.0,0.205,2.3,46.8,0.0
full_eto,001,2010,10,2010-09-24,initial,0.5,0.145,9.52,3.93,3.93,1.0,0.195,2.1,48.9,0.0
full_eto,001,2010,11,2010-09-25,initial,0.5,0.15,9.35,3.86,3.86,1.0,0.209,2.4,51.3,0.0
full_eto,001,2010,12,2010-09-26,initial,0.5,0.155,9.96,4.11,4.11,1.0,0.233,2.8,54.2,0.0
full_eto,001,2010,13,2010-09-27,initial,0.5,0.16,10.39,4.29,4.29,1.0,0.0,0.0,54.2,0.0
full_eto,001,2010,14,2010-09-28,initial,0.5,0.165,10.65,4.39,4.39,1.0,0.0,0.0,54.2,0.0
full_eto,001,2010,15,2010-09-29,initial,0.5,0.17,10.35,4.27,4.27,1.0,0.0,0.0,54.2,0.0
full_eto,001,2010,16,2010-09-30,initial,0.5,0.175,10.87,4.48,4.48,1.0,0.0,0.0,54.2,0.0
full_eto,001,2010,17,2010-10-01,initial,0.5,0.18,9.44,3.89,3.89,1.0,0.067,0.9,55.1,0.0
full_eto,001,2010,18,2010-10-02,initial,0.5,0.185,9.61,3.96,3.96,1.0,0.0,0.0,55.1,0.0
full_eto,001,2010,19,2010-10-03,initial,0.5,0.19,9.48,3.91,3.91,1.0,0.0,0.0,55.1,0.0
full_eto,001,2010,20,2010-10-04,initial,0.5,0.195,8.44,3.48,3.48,1.0,0.201,2.5,57.6,0.0
full_eto,001,2010,21,2010-10-05,initial,0.5,0.2,7.71,3.19,3.19,1.0,0.337,4.6,62.2,0.0
full_eto,001,2010,22,2010-10-06,initial,0.5,0.205,7.02,2.9,2.9,1.0,0.659,10.2,72.4,0.0
full_eto,001,2010,23,2010-10-07,initial,0.5,0.21,7.09,2.94,2.94,1.0,0.783,13.0,85.4,0.0
full_eto,001,2010,24,2010-10-08,initial,0.5,0.215,7.2,2.98,2.98,1.0,0.893,15.5,100.9,0.0
full_eto,001,2010,25,2010-10-09,initial,0.5,0.22,7.9,3.27,3.27,1.0,0.717,12.6,113.4,0.0
full_eto,001,2010,26,2010-10-10,development,0.5,0.22,7.25,3.0,3.0,1.0,0.516,8.5,121.9,0.0
full_eto,001,2010,27,2010-10-11,development,0.522,0.24,7.7,3.33,3.33,1.0,0.792,14.6,136.4,0.0
full_eto,001,2010,28,2010-10-12,development,0.545,0.26,7.07,3.19,3.19,1.0,0.8,16.2,152.7,0.0
full_eto,001,2010,29,2010-10-13,development,0.567,0.28,9.41,4.41,4.41,1.0,0.357,6.9,159.6,0.0
full_eto,001,2010,30,2010-10-14,development,0.59,0.3,8.0,3.89,3.89,1.0,0.265,6.0,165.5,0.0
full_eto,001,2010,31,2010-10-15,development,0.612,0.32,8.76,4.42,4.42,1.0,0.0,0.0,165.5,0.0
full_eto,001,2010,32,2010-10-16,development,0.634,0.34,8.01,4.19,4.19,1.0,0.0,0.0,165.5,0.0
