# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for potato planted 09-25
#   under underpv_high (fall season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8890
# CROP: potato
# PLANTING_DATE: 09-25
# CONDITION: underpv_high
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-25,initial,0.5,0.1,3.22,0.93,0.93,0.93,1.0,0.376,2.0,2.0,0.0
full_eto,001,2010,2,2010-09-26,initial,0.5,0.105,2.88,0.83,0.83,0.83,1.0,0.4,2.3,4.3,0.0
full_eto,001,2010,3,2010-09-27,initial,0.5,0.11,3.07,0.88,0.88,0.88,1.0,0.145,0.9,5.2,0.0
full_eto,001,2010,4,2010-09-28,initial,0.5,0.115,3.02,0.86,0.86,0.86,1.0,0.048,0.3,5.5,0.0
full_eto,001,2010,5,2010-09-29,initial,0.5,0.12,2.91,0.83,0.83,0.83,1.0,0.139,0.9,6.4,0.0
full_eto,001,2010,6,2010-09-30,initial,0.5,0.125,2.73,0.78,0.78,0.78,1.0,0.091,0.6,7.0,0.0
full_eto,001,2010,7,2010-10-01,initial,0.5,0.13,2.41,0.69,0.69,0.69,1.0,0.233,1.6,8.6,0.0
full_eto,001,2010,8,2010-10-02,initial,0.5,0.135,2.17,0.62,0.62,0.62,1.0,0.0,0.0,8.6,0.0
full_eto,001,2010,9,2010-10-03,initial,0.5,0.14,2.26,0.64,0.64,0.64,1.0,0.077,0.5,9.2,0.0
full_eto,001,2010,10,2010-10-04,initial,0.5,0.145,2.68,0.77,0.77,0.77,1.0,0.367,2.4,11.6,0.0
full_eto,001,2010,11,2010-10-05,initial,0.5,0.15,2.76,0.79,0.79,0.79,1.0,0.504,3.6,15.2,0.0
full_eto,001,2010,12,2010-10-06,initial,0.5,0.155,2.89,0.84,0.84,0.84,1.0,0.826,6.8,21.9,0.0
full_eto,001,2010,13,2010-10-07,initial,0.5,0.16,2.9,0.84,0.84,0.84,1.0,0.95,8.3,30.3,0.0
full_eto,001,2010,14,2010-10-08,initial,0.5,0.165,2.85,0.83,0.83,0.83,1.0,1.0,9.3,39.6,0.0
full_eto,001,2010,15,2010-10-09,initial,0.5,0.17,2.5,0.72,0.72,0.72,1.0,0.884,8.4,48.0,0.0
full_eto,001,2010,16,2010-10-10,initial,0.5,0.175,2.04,0.59,0.59,0.59,1.0,0.682,6.2,54.2,0.0
full_eto,001,2010,17,2010-10-11,initial,0.5,0.18,2.87,0.83,0.83,0.83,1.0,0.958,9.2,63.5,0.0
