# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for potato planted 09-25
#   under underpv_medium (fall season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8890
# CROP: potato
# PLANTING_DATE: 09-25
# CONDITION: underpv_medium
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-25,initial,0.5,0.1,4.19,1.73,1.73,1.73,1.0,0.209,1.6,1.6,0.0
full_eto,001,2010,2,2010-09-26,initial,0.5,0.105,3.79,1.56,1.56,1.56,1.0,0.233,1.9,3.5,0.0
full_eto,001,2010,3,2010-09-27,initial,0.5,0.11,4.04,1.66,1.66,1.66,1.0,0.0,0.0,3.5,0.0
full_eto,001,2010,4,2010-09-28,initial,0.5,0.115,3.99,1.64,1.64,1.64,1.0,0.0,0.0,3.5,0.0
full_eto,001,2010,5,2010-09-29,initial,0.5,0.12,3.86,1.59,1.59,1.59,1.0,0.0,0.0,3.5,0.0
full_eto,001,2010,6,2010-09-30,initial,0.5,0.125,3.63,1.49,1.49,1.49,1.0,0.0,0.0,3.5,0.0
full_eto,001,2010,7,2010-10-01,initial,0.5,0.13,3.2,1.32,1.32,1.32,1.0,0.067,0.7,4.2,0.0
full_eto,001,2010,8,2010-10-02,initial,0.5,0.135,2.9,1.19,1.19,1.19,1.0,0.0,0.0,4.2,0.0
full_eto,001,2010,9,2010-10-03,initial,0.5,0.14,3.0,1.23,1.23,1.23,1.0,0.0,0.0,4.2,0.0
full_eto,001,2010,10,2010-10-04,initial,0.5,0.145,3.5,1.44,1.44,1.44,1.0,0.201,1.9,6.1,0.0
full_eto,001,2010,11,2010-10-05,initial,0.5,0.15,3.57,1.47,1.47,1.47,1.0,0.337,3.4,9.5,0.0
full_eto,001,2010,12,2010-10-06,initial,0.5,0.155,3.69,1.53,1.53,1.53,1.0,0.659,7.7,17.2,0.0
full_eto,001,2010,13,2010-10-07,initial,0.5,0.16,3.7,1.54,1.54,1.54,1.0,0.783,9.9,27.1,0.0
full_eto,001,2010,14,2010-10-08,initial,0.5,0.165,3.64,1.51,1.51,1.51,1.0,0.893,11.9,39.0,0.0
