# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for tomato planted 04-01
#   under openfield (spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 04-01
# CONDITION: openfield
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-01,initial,0.6,0.1,5.94,3.56,3.56,3.56,1.0,1.0,21.0,21.0,0.0
full_eto,001,2010,2,2010-04-02,initial,0.6,0.104,6.32,3.79,3.79,3.79,1.0,1.0,21.2,42.2,0.0
full_eto,001,2010,3,2010-04-03,initial,0.6,0.109,6.13,3.68,3.68,3.68,1.0,0.904,18.3,60.5,0.0
full_eto,001,2010,4,2010-04-04,initial,0.6,0.113,5.54,3.32,3.32,3.32,1.0,1.0,20.1,80.6,0.0
full_eto,001,2010,5,2010-04-05,initial,0.6,0.118,5.88,3.53,3.53,3.53,1.0,1.0,23.3,104.0,0.0
full_eto,001,2010,6,2010-04-06,initial,0.6,0.122,5.6,3.36,3.36,3.36,1.0,1.0,25.0,128.9,0.0
full_eto,001,2010,7,2010-04-07,initial,0.6,0.126,5.56,3.34,3.34,3.34,1.0,1.0,25.8,154.7,0.0
full_eto,001,2010,8,2010-04-08,initial,0.6,0.131,5.31,3.19,3.19,3.19,1.0,1.0,26.6,181.3,0.0
full_eto,001,2010,9,2010-04-09,initial,0.6,0.135,5.57,3.34,3.34,3.34,1.0,1.0,27.3,208.6,0.0
full_eto,001,2010,10,2010-04-10,initial,0.6,0.14,5.12,3.07,3.07,3.07,1.0,1.0,26.2,234.8,0.0
full_eto,001,2010,11,2010-04-11,initial,0.6,0.144,5.6,3.36,3.36,3.36,1.0,1.0,26.0,260.7,0.0
full_eto,001,2010,12,2010-04-12,initial,0.6,0.148,5.13,3.08,3.08,3.08,1.0,1.0,29.5,290.3,0.0
full_eto,001,2010,13,2010-04-13,initial,0.6,0.153,5.3,3.18,3.18,3.18,1.0,1.0,32.9,323.2,0.0
full_eto,001,2010,14,2010-04-14,initial,0.6,0.157,5.82,3.49,3.49,3.49,1.0,1.0,33.2,356.4,0.0
full_eto,001,2010,15,2010-04-15,initial,0.6,0.162,5.38,3.23,3.23,3.23,1.0,1.0,33.1,389.5,0.0
full_eto,001,2010,16,2010-04-16,initial,0.6,0.166,5.58,3.35,3.35,3.35,1.0,1.0,34.9,424.3,0.0
full_eto,001,2010,17,2010-04-17,initial,0.6,0.17,6.38,3.83,3.83,3.83,1.0,1.0,36.9,461.3,0.0
full_eto,001,2010,18,2010-04-18,initial,0.6,0.175,6.36,3.82,3.82,3.82,1.0,1.0,36.5,497.8,0.0
full_eto,001,2010,19,2010-04-19,initial,0.6,0.179,6.61,3.97,3.97,3.97,1.0,0.999,37.7,535.5,0.0
full_eto,001,2010,20,2010-04-20,initial,0.6,0.184,6.33,3.8,3.8,3.8,1.0,0.964,36.3,571.8,0.0
full_eto,001,2010,21,2010-04-21,initial,0.6,0.188,5.73,3.44,3.44,3.44,1.0,1.0,34.4,606.2,0.0
full_eto,001,2010,22,2010-04-22,initial,0.6,0.192,5.17,3.1,3.1,3.1,1.0,1.0,43.0,649.2,0.0
full_eto,001,2010,23,2010-04-23,initial,0.6,0.197,5.35,3.21,3.21,3.21,1.0,1.0,40.8,690.0,0.0
full_eto,001,2010,24,2010-04-24,initial,0.6,0.201,5.89,3.54,3.54,3.54,1.0,1.0,45.0,735.1,0.0
full_eto,001,2010,25,2010-04-25,initial,0.6,0.206,6.01,3.61,3.61,3.61,1.0,1.0,43.6,778.7,0.0
full_eto,001,2010,26,2010-04-26,initial,0.6,0.21,6.72,4.03,4.03,4.03,1.0,1.0,45.4,824.1,0.0
full_eto,001,2010,27,2010-04-27,initial,0.6,0.214,6.17,3.7,3.7,3.7,1.0,1.0,47.0,871.2,0.0
full_eto,001,2010,28,2010-04-28,initial,0.6,0.219,5.68,3.41,3.41,3.41,1.0,1.0,44.3,915.4,0.0
full_eto,001,2010,29,2010-04-29,initial,0.6,0.223,4.78,2.87,2.87,2.87,1.0,1.0,39.5,954.9,0.0
full_eto,001,2010,30,2010-04-30,initial,0.6,0.228,3.97,2.38,2.38,2.4,1.0,1.0,25.7,980.6,0.0
full_eto,001,2010,31,2010-05-01,development,0.6,0.228,4.6,2.76,2.76,2.86,1.0,1.0,36.5,1017.1,0.0
full_eto,001,2010,32,2010-05-02,development,0.614,0.243,5.63,3.45,3.45,3.45,1.0,1.0,55.9,1072.9,0.0
full_eto,001,2010,33,2010-05-03,development,0.628,0.259,6.05,3.8,3.8,3.8,1.0,1.0,60.3,1133.3,0.0
full_eto,001,2010,34,2010-05-04,development,0.642,0.275,6.17,3.97,3.97,3.97,1.0,1.0,63.7,1196.9,0.0
full_eto,001,2010,35,2010-05-05,development,0.656,0.291,6.55,4.3,4.3,4.3,1.0,1.0,67.9,1264.8,0.0
full_eto,001,2010,36,2010-05-06,development,0.671,0.307,6.81,4.57,4.57,4.57,1.0,1.0,71.9,1336.7,0.0
full_eto,001,2010,37,2010-05-07,development,0.685,0.323,6.52,4.47,4.47,4.47,1.0,1.0,73.7,1410.4,0.0
full_eto,001,2010,38,2010-05-08,development,0.699,0.339,6.73,4.71,4.71,4.71,1.0,0.651,48.3,1458.8,0.0
full_eto,001,2010,39,2010-05-09,development,0.713,0.355,6.41,4.57,4.57,4.57,1.0,0.585,41.0,1499.8,0.0
full_eto,001,2010,40,2010-05-10,development,0.727,0.371,6.66,4.84,4.84,4.84,1.0,0.756,55.0,1554.8,0.0
full_eto,001,2010,41,2010-05-11,development,0.741,0.387,6.25,4.63,4.63,4.63,1.0,1.0,83.9,1638.7,0.0
full_eto,001,2010,42,2010-05-12,development,0.755,0.403,6.58,4.97,4.97,4.97,1.0,1.0,92.2,1730.9,0.0
full_eto,001,2010,43,2010-05-13,development,0.769,0.419,7.14,5.49,5.49,5.49,1.0,1.0,97.6,1828.4,0.0
full_eto,001,2010,44,2010-05-14,development,0.783,0.435,8.2,6.42,6.42,6.42,1.0,0.834,84.8,1913.2,0.0
full_eto,001,2010,45,2010-05-15,development,0.797,0.451,7.43,5.93,5.93,5.93,1.0,0.685,69.1,1982.3,0.0
full_eto,001,2010,46,2010-05-16,development,0.812,0.467,7.29,5.91,5.91,5.91,1.0,0.369,36.6,2018.9,0.0
full_eto,001,2010,47,2010-05-17,development,0.826,0.483,6.66,5.5,5.5,5.5,1.0,0.469,41.7,2060.7,0.0
full_eto,001,2010,48,2010-05-18,development,0.84,0.499,6.22,5.22,5.22,5.22,1.0,0.932,91.3,2151.9,0.0
full_eto,001,2010,49,2010-05-19,development,0.854,0.515,6.87,5.86,5.86,5.86,1.0,1.0,114.3,2266.2,0.0
full_eto,001,2010,50,2010-05-20,development,0.868,0.531,7.08,6.15,6.15,6.15,1.0,1.0,119.3,2385.5,0.0
full_eto,001,2010,51,2010-05-21,development,0.882,0.547,6.98,6.16,6.16,6.16,1.0,1.0,125.8,2511.3,0.0
full_eto,001,2010,52,2010-05-22,development,0.896,0.563,7.22,6.47,6.47,6.47,1.0,0.939,117.8,2629.1,0.0
full_eto,001,2010,53,2010-05-23,development,0.91,0.579,6.49,5.9,5.9,5.9,1.0,1.0,132.6,2761.8,0.0
full_eto,001,2010,54,2010-05-24,development,0.924,0.595,6.71,6.2,6.2,6.2,1.0,1.0,137.9,2899.7,0.0
full_eto,001,2010,55,2010-05-25,development,0.938,0.611,6.94,6.51,6.51,6.51,1.0,1.0,140.6,3040.3,0.0
full_eto,001,2010,56,2010-05-26,development,0.953,0.627,7.52,7.16,7.16,7.16,1.0,0.958,137.7,3178.0,0.0
full_eto,001,2010,57,2010-05-27,development,0.967,0.642,6.78,6.55,6.55,6.55,1.0,0.808,103.5,3281.5,0.0
full_eto,001,2010,58,2010-05-28,development,0.981,0.658,6.4,6.28,6.28,6.28,1.0,1.0,146.7,3428.2,0.0
full_eto,001,2010,59,2010-05-29,development,0.995,0.674,7.11,7.08,7.08,7.08,1.0,1.0,156.8,3585.1,0.0
full_eto,001,2010,60,2010-05-30,development,1.009,0.69,6.97,7.03,7.03,7.03,1.0,1.0,159.6,3744.6,0.0
full_eto,001,2010,61,2010-05-31,development,1.023,0.706,7.04,7.2,7.2,7.2,1.0,0.877,143.7,3888.3,0.0
full_eto,001,2010,62,2010-06-01,development,1.037,0.722,6.85,7.1,7.1,7.1,1.0,0.577,90.9,3979.3,0.0
full_eto,001,2010,63,2010-06-02,development,1.051,0.738,6.99,7.35,7.35,7.35,1.0,0.791,130.2,4109.5,0.0
