# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for tomato planted 04-01
#   under underpv_high (spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 04-01
# CONDITION: underpv_high
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-01,initial,0.6,0.1,3.07,1.07,1.07,1.07,1.0,1.0,7.3,7.3,0.0
full_eto,001,2010,2,2010-04-02,initial,0.6,0.104,3.19,1.1,1.1,1.1,1.0,1.0,7.4,14.8,0.0
full_eto,001,2010,3,2010-04-03,initial,0.6,0.109,3.09,1.06,1.06,1.06,1.0,1.0,7.1,21.9,0.0
full_eto,001,2010,4,2010-04-04,initial,0.6,0.113,2.9,1.0,1.0,1.0,1.0,1.0,7.0,28.9,0.0
full_eto,001,2010,5,2010-04-05,initial,0.6,0.118,3.32,1.16,1.16,1.16,1.0,1.0,8.2,37.1,0.0
full_eto,001,2010,6,2010-04-06,initial,0.6,0.122,3.17,1.12,1.12,1.12,1.0,0.933,8.1,45.2,0.0
full_eto,001,2010,7,2010-04-07,initial,0.6,0.126,3.22,1.14,1.14,1.14,1.0,0.932,8.4,53.6,0.0
full_eto,001,2010,8,2010-04-08,initial,0.6,0.131,3.06,1.08,1.08,1.08,1.0,0.888,8.3,61.9,0.0
full_eto,001,2010,9,2010-04-09,initial,0.6,0.135,3.1,1.09,1.09,1.09,1.0,0.92,8.8,70.7,0.0
full_eto,001,2010,10,2010-04-10,initial,0.6,0.14,2.51,0.87,0.87,0.87,1.0,1.0,9.2,79.9,0.0
full_eto,001,2010,11,2010-04-11,initial,0.6,0.144,2.83,0.97,0.97,0.97,1.0,1.0,9.1,88.9,0.0
full_eto,001,2010,12,2010-04-12,initial,0.6,0.148,2.94,1.04,1.04,1.04,1.0,0.905,9.3,98.3,0.0
full_eto,001,2010,13,2010-04-13,initial,0.6,0.153,2.88,1.01,1.01,1.01,1.0,0.781,9.0,107.3,0.0
full_eto,001,2010,14,2010-04-14,initial,0.6,0.157,3.19,1.12,1.12,1.12,1.0,0.962,11.2,118.5,0.0
