# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for tomato planted 04-01
#   under underpv_low (spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 04-01
# CONDITION: underpv_low
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-01,initial,0.6,0.1,4.67,2.43,2.43,2.43,1.0,1.0,13.6,13.6,0.0
full_eto,001,2010,2,2010-04-02,initial,0.6,0.104,4.94,2.56,2.56,2.56,1.0,1.0,13.8,27.4,0.0
full_eto,001,2010,3,2010-04-03,initial,0.6,0.109,4.79,2.49,2.49,2.49,1.0,1.0,13.2,40.6,0.0
full_eto,001,2010,4,2010-04-04,initial,0.6,0.113,4.39,2.28,2.28,2.28,1.0,1.0,13.0,53.7,0.0
full_eto,001,2010,5,2010-04-05,initial,0.6,0.118,4.83,2.52,2.52,2.52,1.0,1.0,15.2,68.8,0.0
full_eto,001,2010,6,2010-04-06,initial,0.6,0.122,4.58,2.4,2.4,2.4,1.0,1.0,16.3,85.1,0.0
full_eto,001,2010,7,2010-04-07,initial,0.6,0.126,4.59,2.4,2.4,2.4,1.0,1.0,16.7,101.8,0.0
full_eto,001,2010,8,2010-04-08,initial,0.6,0.131,4.35,2.28,2.28,2.28,1.0,1.0,17.3,119.1,0.0
full_eto,001,2010,9,2010-04-09,initial,0.6,0.135,4.53,2.36,2.36,2.36,1.0,1.0,17.7,136.8,0.0
full_eto,001,2010,10,2010-04-10,initial,0.6,0.14,3.89,2.02,2.02,2.02,1.0,1.0,17.0,153.8,0.0
full_eto,001,2010,11,2010-04-11,initial,0.6,0.144,4.35,2.26,2.26,2.26,1.0,1.0,16.9,170.7,0.0
full_eto,001,2010,12,2010-04-12,initial,0.6,0.148,4.19,2.19,2.19,2.19,1.0,1.0,19.2,189.9,0.0
full_eto,001,2010,13,2010-04-13,initial,0.6,0.153,4.22,2.21,2.21,2.21,1.0,0.952,20.3,210.2,0.0
full_eto,001,2010,14,2010-04-14,initial,0.6,0.157,4.7,2.45,2.45,2.45,1.0,1.0,21.6,231.8,0.0
