# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 04-11
#   under underpv_medium (spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 04-11
# CONDITION: underpv_medium
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-11,initial,0.6,0.1,3.7,1.83,1.83,1.83,1.0,1.0,9.0,9.0,0.0
full_eto,001,2010,2,2010-04-12,initial,0.6,0.104,3.68,1.85,1.85,1.85,1.0,1.0,10.4,19.4,0.0
full_eto,001,2010,3,2010-04-13,initial,0.6,0.109,3.66,1.84,1.84,1.84,1.0,0.881,10.3,29.7,0.0
full_eto,001,2010,4,2010-04-14,initial,0.6,0.113,4.09,2.04,2.04,2.04,1.0,1.0,12.0,41.7,0.0
full_eto,001,2010,5,2010-04-15,initial,0.6,0.118,3.41,1.69,1.69,1.69,1.0,1.0,12.0,53.7,0.0
full_eto,001,2010,6,2010-04-16,initial,0.6,0.122,3.39,1.68,1.68,1.68,1.0,1.0,12.8,66.5,0.0
full_eto,001,2010,7,2010-04-17,initial,0.6,0.126,4.48,2.24,2.24,2.24,1.0,1.0,13.7,80.2,0.0
full_eto,001,2010,8,2010-04-18,initial,0.6,0.131,4.31,2.14,2.14,2.14,1.0,1.0,13.7,93.9,0.0
full_eto,001,2010,9,2010-04-19,initial,0.6,0.135,4.35,2.15,2.15,2.15,1.0,1.0,14.2,108.1,0.0
full_eto,001,2010,10,2010-04-20,initial,0.6,0.14,4.1,2.03,2.03,2.03,1.0,1.0,14.3,122.5,0.0
full_eto,001,2010,11,2010-04-21,initial,0.6,0.144,4.06,2.02,2.02,2.02,1.0,1.0,13.2,135.7,0.0
full_eto,001,2010,12,2010-04-22,initial,0.6,0.148,3.57,1.8,1.8,1.8,1.0,0.982,16.3,151.9,0.0
full_eto,001,2010,13,2010-04-23,initial,0.6,0.153,3.7,1.85,1.85,1.85,1.0,0.944,15.0,166.9,0.0
full_eto,001,2010,14,2010-04-24,initial,0.6,0.157,3.82,1.9,1.9,1.9,1.0,1.0,17.6,184.5,0.0
full_eto,001,2010,15,2010-04-25,initial,0.6,0.162,3.95,1.96,1.96,1.96,1.0,1.0,17.2,201.7,0.0
full_eto,001,2010,16,2010-04-26,initial,0.6,0.166,4.67,2.33,2.33,2.33,1.0,1.0,18.0,219.7,0.0
full_eto,001,2010,17,2010-04-27,initial,0.6,0.17,3.76,1.86,1.86,1.86,1.0,1.0,18.7,238.4,0.0
full_eto,001,2010,18,2010-04-28,initial,0.6,0.175,3.95,1.97,1.97,1.97,1.0,1.0,17.7,256.0,0.0
full_eto,001,2010,19,2010-04-29,initial,0.6,0.179,3.24,1.62,1.62,1.62,1.0,1.0,15.8,271.9,0.0
full_eto,001,2010,20,2010-04-30,initial,0.6,0.184,2.88,1.43,1.43,1.45,1.0,1.0,10.4,282.2,0.0
full_eto,001,2010,21,2010-05-01,initial,0.6,0.188,3.06,1.52,1.52,1.62,1.0,1.0,15.1,297.3,0.0
full_eto,001,2010,22,2010-05-02,initial,0.6,0.192,3.77,1.89,1.89,1.89,1.0,1.0,22.1,319.4,0.0
full_eto,001,2010,23,2010-05-03,initial,0.6,0.197,3.9,1.94,1.94,1.94,1.0,1.0,22.8,342.2,0.0
full_eto,001,2010,24,2010-05-04,initial,0.6,0.201,3.95,1.96,1.96,1.96,1.0,1.0,23.2,365.5,0.0
full_eto,001,2010,25,2010-05-05,initial,0.6,0.206,4.27,2.12,2.12,2.12,1.0,1.0,24.0,389.4,0.0
full_eto,001,2010,26,2010-05-06,initial,0.6,0.21,4.54,2.26,2.26,2.26,1.0,1.0,24.5,414.0,0.0
full_eto,001,2010,27,2010-05-07,initial,0.6,0.214,4.01,1.98,1.98,1.98,1.0,1.0,24.4,438.4,0.0
full_eto,001,2010,28,2010-05-08,initial,0.6,0.219,4.12,2.04,2.04,2.04,1.0,0.866,20.7,459.1,0.0
full_eto,001,2010,29,2010-05-09,initial,0.6,0.223,3.99,1.97,1.97,1.97,1.0,0.799,17.6,476.7,0.0
full_eto,001,2010,30,2010-05-10,initial,0.6,0.228,4.41,2.18,2.18,2.18,1.0,0.971,21.6,498.3,0.0
full_eto,001,2010,31,2010-05-11,development,0.6,0.228,4.26,2.12,2.12,2.12,1.0,1.0,24.7,523.0,0.0
full_eto,001,2010,32,2010-05-12,development,0.614,0.243,4.4,2.24,2.24,2.24,1.0,1.0,27.9,550.9,0.0
full_eto,001,2010,33,2010-05-13,development,0.628,0.259,4.82,2.51,2.51,2.51,1.0,1.0,30.2,581.1,0.0
full_eto,001,2010,34,2010-05-14,development,0.642,0.275,5.64,2.99,2.99,2.99,1.0,1.0,32.1,613.2,0.0
full_eto,001,2010,35,2010-05-15,development,0.656,0.291,4.84,2.62,2.62,2.62,1.0,0.899,29.3,642.5,0.0
full_eto,001,2010,36,2010-05-16,development,0.671,0.307,4.61,2.53,2.53,2.53,1.0,0.584,19.0,661.5,0.0
full_eto,001,2010,37,2010-05-17,development,0.685,0.323,4.35,2.44,2.44,2.44,1.0,0.684,20.3,681.9,0.0
full_eto,001,2010,38,2010-05-18,development,0.699,0.339,4.25,2.47,2.47,2.47,1.0,1.0,33.3,715.1,0.0
full_eto,001,2010,39,2010-05-19,development,0.713,0.355,4.93,2.93,2.93,2.93,1.0,1.0,39.4,754.5,0.0
full_eto,001,2010,40,2010-05-20,development,0.727,0.371,5.1,3.09,3.09,3.09,1.0,1.0,41.8,796.3,0.0
full_eto,001,2010,41,2010-05-21,development,0.741,0.387,4.73,2.91,2.91,2.91,1.0,1.0,44.5,840.8,0.0
full_eto,001,2010,42,2010-05-22,development,0.755,0.403,4.83,3.01,3.01,3.01,1.0,1.0,45.0,885.8,0.0
full_eto,001,2010,43,2010-05-23,development,0.769,0.419,4.59,2.95,2.95,2.95,1.0,1.0,48.0,933.8,0.0
full_eto,001,2010,44,2010-05-24,development,0.783,0.435,4.69,3.06,3.06,3.06,1.0,1.0,50.5,984.3,0.0
full_eto,001,2010,45,2010-05-25,development,0.797,0.451,4.8,3.18,3.18,3.18,1.0,1.0,51.9,1036.2,0.0
full_eto,001,2010,46,2010-05-26,development,0.812,0.467,5.02,3.36,3.36,3.36,1.0,1.0,53.6,1089.8,0.0
full_eto,001,2010,47,2010-05-27,development,0.826,0.483,4.57,3.12,3.12,3.12,1.0,1.0,48.1,1137.8,0.0
full_eto,001,2010,48,2010-05-28,development,0.84,0.499,4.44,3.11,3.11,3.11,1.0,1.0,55.6,1193.4,0.0
full_eto,001,2010,49,2010-05-29,development,0.854,0.515,4.82,3.41,3.41,3.41,1.0,1.0,59.8,1253.2,0.0
full_eto,001,2010,50,2010-05-30,development,0.868,0.531,4.56,3.27,3.27,3.27,1.0,1.0,61.3,1314.5,0.0
full_eto,001,2010,51,2010-05-31,development,0.882,0.547,4.43,3.22,3.22,3.22,1.0,1.0,63.5,1378.0,0.0
full_eto,001,2010,52,2010-06-01,development,0.896,0.563,4.17,3.07,3.07,3.07,1.0,0.791,48.5,1426.5,0.0
full_eto,001,2010,53,2010-06-02,development,0.91,0.579,4.55,3.43,3.43,3.43,1.0,1.0,64.6,1491.2,0.0
full_eto,001,2010,54,2010-06-03,development,0.924,0.595,4.39,3.36,3.36,3.36,1.0,1.0,61.8,1553.0,0.0
full_eto,001,2010,55,2010-06-04,development,0.938,0.611,4.82,3.75,3.75,3.75,1.0,1.0,69.2,1622.2,0.0
full_eto,001,2010,56,2010-06-05,development,0.953,0.627,4.94,3.9,3.9,3.9,1.0,1.0,73.3,1695.5,0.0
full_eto,001,2010,57,2010-06-06,development,0.967,0.642,5.33,4.24,4.24,4.24,1.0,0.811,59.0,1754.4,0.0
full_eto,001,2010,58,2010-06-07,development,0.981,0.658,4.09,3.3,3.3,3.3,1.0,0.592,44.0,1798.4,0.0
full_eto,001,2010,59,2010-06-08,development,0.995,0.674,5.01,4.14,4.14,4.14,1.0,1.0,74.0,1872.4,0.0
full_eto,001,2010,60,2010-06-09,development,1.009,0.69,5.05,4.24,4.24,4.24,1.0,1.0,81.7,1954.1,0.0
full_eto,001,2010,61,2010-06-10,development,1.023,0.706,4.97,4.21,4.21,4.21,1.0,1.0,83.8,2037.9,0.0
full_eto,001,2010,62,2010-06-11,development,1.037,0.722,4.2,3.59,3.59,3.59,1.0,1.0,78.7,2116.6,0.0
full_eto,001,2010,63,2010-06-12,development,1.051,0.738,4.31,3.75,3.75,3.75,1.0,1.0,83.1,2199.7,0.0
full_eto,001,2010,64,2010-06-13,development,1.065,0.754,4.38,3.86,3.86,3.86,1.0,1.0,87.2,2286.8,0.0
full_eto,001,2010,65,2010-06-14,development,1.079,0.77,4.78,4.27,4.27,4.27,1.0,1.0,87.9,2374.8,0.0
full_eto,001,2010,66,2010-06-15,development,1.094,0.786,5.28,4.78,4.78,4.78,1.0,1.0,91.9,2466.7,0.0
full_eto,001,2010,67,2010-06-16,development,1.108,0.802,4.74,4.33,4.33,4.33,1.0,1.0,94.9,2561.6,0.0
full_eto,001,2010,68,2010-06-17,development,1.122,0.818,5.08,4.7,4.7,4.7,1.0,0.811,76.8,2638.5,0.0
