# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for tomato planted 08-01
#   under openfield (nili season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9000
# CROP: tomato
# PLANTING_DATE: 08-01
# CONDITION: openfield
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-08-01,initial,0.6,0.1,12.13,7.28,7.28,1.0,0.466,9.2,9.2,0.0
full_eto,001,2010,2,2010-08-02,initial,0.6,0.104,12.65,7.59,7.59,1.0,0.38,8.2,17.3,0.0
full_eto,001,2010,3,2010-08-03,initial,0.6,0.109,12.7,7.62,7.62,1.0,0.434,9.9,27.2,0.0
full_eto,001,2010,4,2010-08-04,initial,0.6,0.113,12.34,7.41,7.41,1.0,0.459,11.2,38.4,0.0
full_eto,001,2010,5,2010-08-05,initial,0.6,0.118,13.27,7.96,7.96,1.0,0.22,5.7,44.0,0.0
full_eto,001,2010,6,2010-08-06,initial,0.6,0.122,12.81,7.69,7.69,1.0,0.154,4.0,48.1,0.0
full_eto,001,2010,7,2010-08-07,initial,0.6,0.126,13.41,8.05,8.05,1.0,0.111,2.9,51.0,0.0
full_eto,001,2010,8,2010-08-08,initial,0.6,0.131,12.75,7.65,7.65,1.0,0.33,8.9,59.9,0.0
full_eto,001,2010,9,2010-08-09,initial,0.6,0.135,11.58,6.95,6.95,1.0,0.523,14.9,74.8,0.0
full_eto,001,2010,10,2010-08-10,initial,0.6,0.14,11.87,7.12,7.12,1.0,0.649,19.7,94.5,0.0
full_eto,001,2010,11,2010-08-11,initial,0.6,0.144,12.18,7.31,7.31,1.0,0.613,18.8,113.4,0.0
full_eto,001,2010,12,2010-08-12,initial,0.6,0.148,11.87,7.12,7.12,1.0,0.621,18.9,132.3,0.0
full_eto,001,2010,13,2010-08-13,initial,0.6,0.153,11.91,7.15,7.15,1.0,0.571,17.7,150.0,0.0
