# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for tomato planted 08-01
#   under underpv_high (nili season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9000
# CROP: tomato
# PLANTING_DATE: 08-01
# CONDITION: underpv_high
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-08-01,initial,0.6,0.1,11.51,4.0,4.0,1.0,0.823,5.7,5.7,0.0
full_eto,001,2010,2,2010-08-02,initial,0.6,0.104,12.01,4.17,4.17,1.0,0.737,5.6,11.2,0.0
full_eto,001,2010,3,2010-08-03,initial,0.6,0.109,12.06,4.19,4.19,1.0,0.791,6.3,17.5,0.0
full_eto,001,2010,4,2010-08-04,initial,0.6,0.113,11.72,4.07,4.07,1.0,0.816,7.0,24.5,0.0
full_eto,001,2010,5,2010-08-05,initial,0.6,0.118,12.62,4.38,4.38,1.0,0.577,5.2,29.7,0.0
full_eto,001,2010,6,2010-08-06,initial,0.6,0.122,12.19,4.23,4.23,1.0,0.511,4.7,34.4,0.0
full_eto,001,2010,7,2010-08-07,initial,0.6,0.126,12.77,4.43,4.43,1.0,0.469,4.3,38.7,0.0
full_eto,001,2010,8,2010-08-08,initial,0.6,0.131,12.12,4.21,4.21,1.0,0.687,6.5,45.2,0.0
full_eto,001,2010,9,2010-08-09,initial,0.6,0.135,10.99,3.82,3.82,1.0,0.88,8.8,53.9,0.0
full_eto,001,2010,10,2010-08-10,initial,0.6,0.14,11.25,3.92,3.92,1.0,1.0,10.7,64.6,0.0
full_eto,001,2010,11,2010-08-11,initial,0.6,0.144,11.55,4.02,4.02,1.0,0.97,10.4,75.0,0.0
full_eto,001,2010,12,2010-08-12,initial,0.6,0.148,11.25,3.92,3.92,1.0,0.978,10.4,85.4,0.0
full_eto,001,2010,13,2010-08-13,initial,0.6,0.153,11.3,3.93,3.93,1.0,0.929,10.0,95.5,0.0
full_eto,001,2010,14,2010-08-14,initial,0.6,0.157,11.28,3.92,3.92,1.0,0.919,10.3,105.8,0.0
full_eto,001,2010,15,2010-08-15,initial,0.6,0.162,12.32,4.28,4.28,1.0,0.738,8.5,114.3,0.0
full_eto,001,2010,16,2010-08-16,initial,0.6,0.166,12.16,4.22,4.22,1.0,0.759,9.0,123.4,0.0
full_eto,001,2010,17,2010-08-17,initial,0.6,0.17,11.06,3.84,3.84,1.0,0.641,7.2,130.6,0.0
full_eto,001,2010,18,2010-08-18,initial,0.6,0.175,11.75,4.08,4.08,1.0,0.597,7.2,137.8,0.0
full_eto,001,2010,19,2010-08-19,initial,0.6,0.179,12.14,4.21,4.21,1.0,0.616,7.7,145.4,0.0
full_eto,001,2010,20,2010-08-20,initial,0.6,0.184,12.33,4.28,4.28,1.0,0.536,6.7,152.1,0.0
full_eto,001,2010,21,2010-08-21,initial,0.6,0.188,11.05,3.83,3.83,1.0,0.611,8.1,160.2,0.0
full_eto,001,2010,22,2010-08-22,initial,0.6,0.192,11.03,3.83,3.83,1.0,0.789,11.0,171.2,0.0
full_eto,001,2010,23,2010-08-23,initial,0.6,0.197,10.46,3.64,3.64,1.0,0.875,12.2,183.4,0.0
full_eto,001,2010,24,2010-08-24,initial,0.6,0.201,10.54,3.66,3.66,1.0,0.884,12.5,195.9,0.0
full_eto,001,2010,25,2010-08-25,initial,0.6,0.206,10.08,3.51,3.51,1.0,0.979,14.3,210.2,0.0
full_eto,001,2010,26,2010-08-26,initial,0.6,0.21,9.64,3.36,3.36,1.0,1.0,14.9,225.1,0.0
full_eto,001,2010,27,2010-08-27,initial,0.6,0.214,10.27,3.58,3.58,1.0,1.0,15.5,240.7,0.0
full_eto,001,2010,28,2010-08-28,initial,0.6,0.219,10.41,3.62,3.62,1.0,1.0,15.4,256.1,0.0
full_eto,001,2010,29,2010-08-29,initial,0.6,0.223,11.86,4.12,4.12,1.0,0.861,13.5,269.6,0.0
full_eto,001,2010,30,2010-08-30,initial,0.6,0.228,11.78,4.1,4.1,1.0,0.994,16.4,286.1,0.0
full_eto,001,2010,31,2010-08-31,development,0.6,0.228,10.61,3.7,3.7,1.0,1.0,16.9,302.9,0.0
full_eto,001,2010,32,2010-09-01,development,0.614,0.243,11.12,3.96,3.96,1.0,1.0,17.2,320.1,0.0
full_eto,001,2010,33,2010-09-02,development,0.628,0.259,9.86,3.6,3.6,1.0,1.0,18.4,338.4,0.0
full_eto,001,2010,34,2010-09-03,development,0.642,0.275,10.75,4.01,4.01,1.0,1.0,19.5,357.9,0.0
full_eto,001,2010,35,2010-09-04,development,0.656,0.291,10.96,4.17,4.17,1.0,1.0,20.1,378.0,0.0
full_eto,001,2010,36,2010-09-05,development,0.671,0.307,10.01,3.9,3.9,1.0,1.0,20.7,398.7,0.0
full_eto,001,2010,37,2010-09-06,development,0.685,0.323,11.39,4.52,4.52,1.0,0.979,22.6,421.3,0.0
full_eto,001,2010,38,2010-09-07,development,0.699,0.339,12.64,5.12,5.12,1.0,0.903,20.9,442.2,0.0
full_eto,001,2010,39,2010-09-08,development,0.713,0.355,10.67,4.41,4.41,1.0,1.0,24.0,466.2,0.0
full_eto,001,2010,40,2010-09-09,development,0.727,0.371,9.81,4.14,4.14,1.0,1.0,25.0,491.2,0.0
full_eto,001,2010,41,2010-09-10,development,0.741,0.387,10.14,4.36,4.36,1.0,1.0,26.1,517.3,0.0
full_eto,001,2010,42,2010-09-11,development,0.755,0.403,9.59,4.21,4.21,1.0,1.0,27.3,544.6,0.0
full_eto,001,2010,43,2010-09-12,development,0.769,0.419,11.02,4.91,4.91,1.0,0.971,27.4,572.1,0.0
full_eto,001,2010,44,2010-09-13,development,0.783,0.435,10.29,4.68,4.68,1.0,1.0,28.7,600.8,0.0
full_eto,001,2010,45,2010-09-14,development,0.797,0.451,9.23,4.29,4.29,1.0,1.0,30.2,631.0,0.0
full_eto,001,2010,46,2010-09-15,development,0.812,0.467,8.38,3.96,3.96,1.0,1.0,31.6,662.6,0.0
full_eto,001,2010,47,2010-09-16,development,0.826,0.483,9.11,4.38,4.38,1.0,1.0,31.5,694.1,0.0
full_eto,001,2010,48,2010-09-17,development,0.84,0.499,7.93,3.87,3.87,1.0,1.0,32.7,726.8,0.0
full_eto,001,2010,49,2010-09-18,development,0.854,0.515,9.23,4.59,4.59,1.0,1.0,34.3,761.1,0.0
full_eto,001,2010,50,2010-09-19,development,0.868,0.531,8.42,4.25,4.25,1.0,1.0,35.2,796.3,0.0
full_eto,001,2010,51,2010-09-20,development,0.882,0.547,9.13,4.68,4.68,1.0,1.0,35.4,831.7,0.0
full_eto,001,2010,52,2010-09-21,development,0.896,0.563,8.74,4.55,4.55,1.0,1.0,32.8,864.5,0.0
full_eto,001,2010,53,2010-09-22,development,0.91,0.579,9.12,4.82,4.82,1.0,1.0,20.2,884.7,0.0
full_eto,001,2010,54,2010-09-23,development,0.924,0.595,9.13,4.9,4.9,1.0,1.0,34.5,919.2,0.0
full_eto,001,2010,55,2010-09-24,development,0.938,0.611,9.31,5.07,5.07,1.0,1.0,32.6,951.8,0.0
full_eto,001,2010,56,2010-09-25,development,0.953,0.627,9.15,5.06,5.06,1.0,1.0,34.8,986.6,0.0
full_eto,001,2010,57,2010-09-26,development,0.967,0.642,9.74,5.46,5.46,1.0,1.0,36.2,1022.8,0.0
full_eto,001,2010,58,2010-09-27,development,0.981,0.658,10.18,5.78,5.78,1.0,0.839,30.4,1053.2,0.0
full_eto,001,2010,59,2010-09-28,development,0.995,0.674,10.43,6.01,6.01,1.0,0.755,27.6,1080.8,0.0
full_eto,001,2010,60,2010-09-29,development,1.009,0.69,10.14,5.93,5.93,1.0,0.834,32.5,1113.3,0.0
full_eto,001,2010,61,2010-09-30,development,1.023,0.706,10.64,6.3,6.3,1.0,0.792,32.3,1145.6,0.0
full_eto,001,2010,62,2010-10-01,development,1.037,0.722,9.24,5.55,5.55,1.0,0.914,36.7,1182.3,0.0
full_eto,001,2010,63,2010-10-02,development,1.051,0.738,9.42,5.73,5.73,1.0,0.667,26.4,1208.7,0.0
full_eto,001,2010,64,2010-10-03,development,1.065,0.754,9.28,5.73,5.73,1.0,0.781,30.0,1238.7,0.0
full_eto,001,2010,65,2010-10-04,development,1.079,0.77,8.25,5.17,5.17,1.0,1.0,36.0,1274.7,0.0
full_eto,001,2010,66,2010-10-05,development,1.094,0.786,7.54,4.79,4.79,1.0,1.0,38.7,1313.4,0.0
full_eto,001,2010,67,2010-10-06,development,1.108,0.802,6.86,4.42,4.42,1.0,1.0,43.7,1357.0,0.0
full_eto,001,2010,68,2010-10-07,development,1.122,0.818,6.93,4.53,4.53,1.0,1.0,46.4,1403.4,0.0
full_eto,001,2010,69,2010-10-08,development,1.136,0.834,7.03,4.66,4.66,1.0,1.0,48.7,1452.1,0.0
full_eto,001,2010,70,2010-10-09,development,1.15,0.85,7.72,5.17,5.17,1.0,1.0,48.9,1501.0,0.0
full_eto,001,2010,71,2010-10-10,mid,1.15,0.85,7.09,4.74,4.74,1.0,1.0,45.8,1546.8,0.0
full_eto,001,2010,72,2010-10-11,mid,1.15,0.85,7.53,5.04,5.04,1.0,1.0,47.0,1593.8,0.0
full_eto,001,2010,73,2010-10-12,mid,1.15,0.85,6.9,4.62,4.62,1.0,1.0,47.9,1641.7,0.0
full_eto,001,2010,74,2010-10-13,mid,1.15,0.85,9.2,6.15,6.15,1.0,1.0,42.5,1684.3,0.0
full_eto,001,2010,75,2010-10-14,mid,1.15,0.85,7.82,5.22,5.22,1.0,1.0,46.1,1730.3,0.0
full_eto,001,2010,76,2010-10-15,mid,1.15,0.85,8.57,5.71,5.71,1.0,0.849,38.3,1768.6,0.0
full_eto,001,2010,77,2010-10-16,mid,1.15,0.85,7.84,5.23,5.23,1.0,0.849,35.9,1804.5,0.0
full_eto,001,2010,78,2010-10-17,mid,1.15,0.85,7.16,4.77,4.77,1.0,1.0,42.3,1846.8,0.0
full_eto,001,2010,79,2010-10-18,mid,1.15,0.85,8.44,5.63,5.63,1.0,1.0,43.2,1890.1,0.0
full_eto,001,2010,80,2010-10-19,mid,1.15,0.85,8.78,5.84,5.84,1.0,0.721,31.9,1922.0,0.0
full_eto,001,2010,81,2010-10-20,mid,1.15,0.85,7.68,5.12,5.12,1.0,0.93,41.3,1963.3,0.0
full_eto,001,2010,82,2010-10-21,mid,1.15,0.85,7.74,5.17,5.17,1.0,1.0,43.5,2006.7,0.0
full_eto,001,2010,83,2010-10-22,mid,1.15,0.85,7.55,5.04,5.04,1.0,1.0,42.5,2049.3,0.0
full_eto,001,2010,84,2010-10-23,mid,1.15,0.85,6.57,4.4,4.4,1.0,1.0,43.5,2092.8,0.0
full_eto,001,2010,85,2010-10-24,mid,1.15,0.85,6.59,4.42,4.42,1.0,1.0,43.0,2135.8,0.0
full_eto,001,2010,86,2010-10-25,mid,1.15,0.85,6.72,4.51,4.51,1.0,1.0,43.7,2179.5,0.0
full_eto,001,2010,87,2010-10-26,mid,1.15,0.85,6.71,4.5,4.5,1.0,1.0,44.2,2223.6,0.0
full_eto,001,2010,88,2010-10-27,mid,1.15,0.85,8.13,5.44,5.44,1.0,1.0,44.2,2267.8,0.0
full_eto,001,2010,89,2010-10-28,mid,1.15,0.85,7.42,4.95,4.95,1.0,1.0,42.8,2310.6,0.0
full_eto,001,2010,90,2010-10-29,mid,1.15,0.85,5.27,3.54,3.54,1.0,1.0,40.2,2350.8,0.0
full_eto,001,2010,91,2010-10-30,mid,1.15,0.85,5.09,3.42,3.42,1.0,1.0,40.4,2391.2,0.0
full_eto,001,2010,92,2010-10-31,mid,1.15,0.85,5.21,3.51,3.51,1.0,1.0,40.7,2431.9,0.0
full_eto,001,2010,93,2010-11-01,mid,1.15,0.85,5.77,3.88,3.88,1.0,1.0,42.1,2473.9,0.0
full_eto,001,2010,94,2010-11-02,mid,1.15,0.85,6.64,4.46,4.46,1.0,1.0,41.8,2515.8,0.0
full_eto,001,2010,95,2010-11-03,mid,1.15,0.85,7.04,4.72,4.72,1.0,1.0,40.0,2555.7,0.0
full_eto,001,2010,96,2010-11-04,mid,1.15,0.85,7.12,4.77,4.77,1.0,1.0,38.1,2593.8,0.0
full_eto,001,2010,97,2010-11-05,mid,1.15,0.85,6.37,4.26,4.26,1.0,1.0,37.8,2631.6,0.0
full_eto,001,2010,98,2010-11-06,mid,1.15,0.85,6.06,4.06,4.06,1.0,1.0,36.2,2667.8,0.0
full_eto,001,2010,99,2010-11-07,mid,1.15,0.85,5.23,3.52,3.52,1.0,1.0,37.6,2705.4,0.0
full_eto,001,2010,100,2010-11-08,mid,1.15,0.85,5.58,3.75,3.75,1.0,1.0,39.2,2744.7,0.0
full_eto,001,2010,101,2010-11-09,mid,1.15,0.85,5.94,3.99,3.99,1.0,1.0,31.7,2776.4,0.0
full_eto,001,2010,102,2010-11-10,mid,1.15,0.85,6.19,4.16,4.16,1.0,1.0,36.7,2813.0,0.0
full_eto,001,2010,103,2010-11-11,mid,1.15,0.85,5.84,3.92,3.92,1.0,1.0,36.7,2849.7,0.0
full_eto,001,2010,104,2010-11-12,mid,1.15,0.85,5.99,4.01,4.01,1.0,1.0,36.9,2886.6,0.0
full_eto,001,2010,105,2010-11-13,mid,1.15,0.85,5.74,3.84,3.84,1.0,1.0,28.2,2914.8,0.0
full_eto,001,2010,106,2010-11-14,mid,1.15,0.85,6.27,4.2,4.2,1.0,1.0,36.0,2950.8,0.0
full_eto,001,2010,107,2010-11-15,mid,1.15,0.85,5.49,3.68,3.68,1.0,1.0,25.9,2976.6,0.0
full_eto,001,2010,108,2010-11-16,mid,1.15,0.85,4.79,3.22,3.25,1.0,1.0,32.7,3009.3,0.0
full_eto,001,2010,109,2010-11-17,mid,1.15,0.85,5.21,3.5,3.5,1.0,1.0,34.1,3043.4,0.0
full_eto,001,2010,110,2010-11-18,mid,1.15,0.85,6.02,4.04,4.04,1.0,1.0,35.3,3078.6,0.0
full_eto,001,2010,111,2010-11-19,late,1.15,0.85,6.3,4.22,4.22,1.0,1.0,36.0,3114.6,0.0
