# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for tomato planted 08-01
#   under underpv_low (nili season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9000
# CROP: tomato
# PLANTING_DATE: 08-01
# CONDITION: underpv_low
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-08-01,initial,0.6,0.1,5.36,2.78,2.78,2.78,1.0,0.58,7.4,7.4,0.0
full_eto,001,2010,2,2010-08-02,initial,0.6,0.104,6.25,3.25,3.25,3.25,1.0,0.494,6.9,14.3,0.0
full_eto,001,2010,3,2010-08-03,initial,0.6,0.109,6.17,3.21,3.21,3.21,1.0,0.549,8.1,22.4,0.0
full_eto,001,2010,4,2010-08-04,initial,0.6,0.113,5.74,2.98,2.98,2.98,1.0,0.573,9.1,31.5,0.0
full_eto,001,2010,5,2010-08-05,initial,0.6,0.118,4.99,2.59,2.59,2.59,1.0,0.334,5.6,37.1,0.0
full_eto,001,2010,6,2010-08-06,initial,0.6,0.122,4.85,2.51,2.51,2.51,1.0,0.268,4.6,41.6,0.0
full_eto,001,2010,7,2010-08-07,initial,0.6,0.126,6.07,3.15,3.15,3.15,1.0,0.226,3.8,45.5,0.0
full_eto,001,2010,8,2010-08-08,initial,0.6,0.131,6.1,3.17,3.17,3.17,1.0,0.444,7.8,53.3,0.0
full_eto,001,2010,9,2010-08-09,initial,0.6,0.135,5.86,3.05,3.05,3.05,1.0,0.637,11.8,65.1,0.0
full_eto,001,2010,10,2010-08-10,initial,0.6,0.14,5.97,3.11,3.11,3.11,1.0,0.763,15.1,80.2,0.0
full_eto,001,2010,11,2010-08-11,initial,0.6,0.144,5.76,3.0,3.0,3.0,1.0,0.727,14.5,94.7,0.0
full_eto,001,2010,12,2010-08-12,initial,0.6,0.148,5.75,2.99,2.99,2.99,1.0,0.735,14.6,109.3,0.0
full_eto,001,2010,13,2010-08-13,initial,0.6,0.153,5.85,3.04,3.04,3.04,1.0,0.686,13.8,123.1,0.0
full_eto,001,2010,14,2010-08-14,initial,0.6,0.157,5.82,3.02,3.02,3.02,1.0,0.676,14.0,137.1,0.0
full_eto,001,2010,15,2010-08-15,initial,0.6,0.162,5.91,3.07,3.07,3.07,1.0,0.495,10.7,147.8,0.0
full_eto,001,2010,16,2010-08-16,initial,0.6,0.166,5.89,3.06,3.06,3.06,1.0,0.516,11.4,159.2,0.0
full_eto,001,2010,17,2010-08-17,initial,0.6,0.17,5.44,2.83,2.83,2.83,1.0,0.398,8.3,167.5,0.0
full_eto,001,2010,18,2010-08-18,initial,0.6,0.175,5.24,2.72,2.72,2.72,1.0,0.354,7.9,175.4,0.0
full_eto,001,2010,19,2010-08-19,initial,0.6,0.179,5.41,2.81,2.81,2.81,1.0,0.374,8.6,184.0,0.0
full_eto,001,2010,20,2010-08-20,initial,0.6,0.184,6.04,3.13,3.13,3.13,1.0,0.294,6.8,190.8,0.0
full_eto,001,2010,21,2010-08-21,initial,0.6,0.188,6.16,3.2,3.2,3.2,1.0,0.369,9.1,199.8,0.0
full_eto,001,2010,22,2010-08-22,initial,0.6,0.192,6.01,3.12,3.12,3.12,1.0,0.546,14.1,213.9,0.0
full_eto,001,2010,23,2010-08-23,initial,0.6,0.197,5.49,2.85,2.85,2.85,1.0,0.632,16.4,230.3,0.0
full_eto,001,2010,24,2010-08-24,initial,0.6,0.201,5.46,2.84,2.84,2.84,1.0,0.641,16.9,247.2,0.0
full_eto,001,2010,25,2010-08-25,initial,0.6,0.206,5.51,2.87,2.87,2.87,1.0,0.736,20.0,267.2,0.0
full_eto,001,2010,26,2010-08-26,initial,0.6,0.21,5.28,2.75,2.75,2.75,1.0,0.893,24.8,292.0,0.0
full_eto,001,2010,27,2010-08-27,initial,0.6,0.214,4.9,2.55,2.55,2.55,1.0,0.83,24.0,316.0,0.0
full_eto,001,2010,28,2010-08-28,initial,0.6,0.219,5.07,2.64,2.64,2.64,1.0,0.774,22.2,338.2,0.0
full_eto,001,2010,29,2010-08-29,initial,0.6,0.223,6.0,3.12,3.12,3.12,1.0,0.618,18.1,356.2,0.0
full_eto,001,2010,30,2010-08-30,initial,0.6,0.228,6.18,3.21,3.21,3.21,1.0,0.751,23.1,379.3,0.0
