# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for tomato planted 08-01
#   under underpv_medium (nili season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9000
# CROP: tomato
# PLANTING_DATE: 08-01
# CONDITION: underpv_medium
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-08-01,initial,0.6,0.1,11.76,5.82,5.82,1.0,0.68,6.7,6.7,0.0
full_eto,001,2010,2,2010-08-02,initial,0.6,0.104,12.27,6.07,6.07,1.0,0.594,6.4,13.1,0.0
full_eto,001,2010,3,2010-08-03,initial,0.6,0.109,12.32,6.1,6.1,1.0,0.649,7.4,20.4,0.0
full_eto,001,2010,4,2010-08-04,initial,0.6,0.113,11.97,5.93,5.93,1.0,0.673,8.2,28.7,0.0
full_eto,001,2010,5,2010-08-05,initial,0.6,0.118,12.88,6.37,6.37,1.0,0.434,5.6,34.3,0.0
full_eto,001,2010,6,2010-08-06,initial,0.6,0.122,12.44,6.15,6.15,1.0,0.368,4.8,39.1,0.0
full_eto,001,2010,7,2010-08-07,initial,0.6,0.126,13.02,6.44,6.44,1.0,0.326,4.2,43.3,0.0
full_eto,001,2010,8,2010-08-08,initial,0.6,0.131,12.37,6.12,6.12,1.0,0.544,7.4,50.7,0.0
full_eto,001,2010,9,2010-08-09,initial,0.6,0.135,11.23,5.56,5.56,1.0,0.737,10.5,61.2,0.0
full_eto,001,2010,10,2010-08-10,initial,0.6,0.14,11.5,5.7,5.7,1.0,0.863,13.1,74.3,0.0
full_eto,001,2010,11,2010-08-11,initial,0.6,0.144,11.8,5.85,5.85,1.0,0.827,12.7,87.0,0.0
full_eto,001,2010,12,2010-08-12,initial,0.6,0.148,11.5,5.7,5.7,1.0,0.835,12.7,99.8,0.0
full_eto,001,2010,13,2010-08-13,initial,0.6,0.153,11.55,5.72,5.72,1.0,0.786,12.1,111.9,0.0
