# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 08-11
#   under openfield (nili season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9000
# CROP: tomato
# PLANTING_DATE: 08-11
# CONDITION: openfield
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-08-11,initial,0.6,0.1,7.34,4.41,4.41,4.41,1.0,0.613,13.1,13.1,0.0
full_eto,001,2010,2,2010-08-12,initial,0.6,0.104,7.25,4.35,4.35,4.35,1.0,0.621,13.3,26.4,0.0
full_eto,001,2010,3,2010-08-13,initial,0.6,0.109,7.33,4.4,4.4,4.4,1.0,0.571,12.6,39.0,0.0
full_eto,001,2010,4,2010-08-14,initial,0.6,0.113,7.31,4.39,4.39,4.39,1.0,0.562,12.9,51.9,0.0
full_eto,001,2010,5,2010-08-15,initial,0.6,0.118,7.54,4.52,4.52,4.52,1.0,0.381,9.2,61.1,0.0
full_eto,001,2010,6,2010-08-16,initial,0.6,0.122,7.5,4.5,4.5,4.5,1.0,0.401,10.0,71.1,0.0
full_eto,001,2010,7,2010-08-17,initial,0.6,0.126,6.99,4.19,4.19,4.19,1.0,0.284,6.8,77.9,0.0
full_eto,001,2010,8,2010-08-18,initial,0.6,0.131,6.94,4.16,4.16,4.16,1.0,0.24,6.2,84.1,0.0
full_eto,001,2010,9,2010-08-19,initial,0.6,0.135,7.09,4.26,4.26,4.26,1.0,0.259,6.9,91.0,0.0
full_eto,001,2010,10,2010-08-20,initial,0.6,0.14,7.65,4.59,4.59,4.59,1.0,0.179,4.8,95.9,0.0
full_eto,001,2010,11,2010-08-21,initial,0.6,0.144,7.72,4.63,4.63,4.63,1.0,0.254,7.4,103.2,0.0
full_eto,001,2010,12,2010-08-22,initial,0.6,0.148,7.55,4.53,4.53,4.53,1.0,0.432,13.3,116.5,0.0
full_eto,001,2010,13,2010-08-23,initial,0.6,0.153,7.02,4.21,4.21,4.21,1.0,0.518,16.1,132.5,0.0
full_eto,001,2010,14,2010-08-24,initial,0.6,0.157,6.98,4.19,4.19,4.19,1.0,0.526,16.7,149.2,0.0
full_eto,001,2010,15,2010-08-25,initial,0.6,0.162,6.96,4.18,4.18,4.18,1.0,0.621,20.4,169.6,0.0
full_eto,001,2010,16,2010-08-26,initial,0.6,0.166,6.67,4.0,4.0,4.0,1.0,0.779,26.3,195.9,0.0
