# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 08-11
#   under underpv_high (nili season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9000
# CROP: tomato
# PLANTING_DATE: 08-11
# CONDITION: underpv_high
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-08-11,initial,0.6,0.1,3.77,1.3,1.3,1.3,1.0,0.97,7.2,7.2,0.0
full_eto,001,2010,2,2010-08-12,initial,0.6,0.104,3.79,1.31,1.31,1.31,1.0,0.978,7.3,14.6,0.0
full_eto,001,2010,3,2010-08-13,initial,0.6,0.109,3.88,1.34,1.34,1.34,1.0,0.929,7.2,21.7,0.0
full_eto,001,2010,4,2010-08-14,initial,0.6,0.113,3.85,1.33,1.33,1.33,1.0,0.919,7.4,29.2,0.0
full_eto,001,2010,5,2010-08-15,initial,0.6,0.118,3.82,1.31,1.31,1.31,1.0,0.738,6.2,35.4,0.0
full_eto,001,2010,6,2010-08-16,initial,0.6,0.122,3.81,1.31,1.31,1.31,1.0,0.759,6.7,42.0,0.0
full_eto,001,2010,7,2010-08-17,initial,0.6,0.126,3.52,1.21,1.21,1.21,1.0,0.641,5.4,47.4,0.0
full_eto,001,2010,8,2010-08-18,initial,0.6,0.131,3.29,1.13,1.13,1.13,1.0,0.597,5.4,52.7,0.0
full_eto,001,2010,9,2010-08-19,initial,0.6,0.135,3.42,1.17,1.17,1.17,1.0,0.616,5.8,58.5,0.0
full_eto,001,2010,10,2010-08-20,initial,0.6,0.14,3.91,1.34,1.34,1.34,1.0,0.536,5.1,63.6,0.0
full_eto,001,2010,11,2010-08-21,initial,0.6,0.144,4.06,1.4,1.4,1.4,1.0,0.611,6.2,69.8,0.0
full_eto,001,2010,12,2010-08-22,initial,0.6,0.148,3.97,1.37,1.37,1.37,1.0,0.789,8.5,78.3,0.0
full_eto,001,2010,13,2010-08-23,initial,0.6,0.153,3.58,1.23,1.23,1.23,1.0,0.875,9.5,87.8,0.0
full_eto,001,2010,14,2010-08-24,initial,0.6,0.157,3.56,1.23,1.23,1.23,1.0,0.884,9.8,97.5,0.0
full_eto,001,2010,15,2010-08-25,initial,0.6,0.162,3.64,1.26,1.26,1.26,1.0,0.979,11.2,108.8,0.0
full_eto,001,2010,16,2010-08-26,initial,0.6,0.166,3.5,1.21,1.21,1.21,1.0,1.0,11.8,120.6,0.0
full_eto,001,2010,17,2010-08-27,initial,0.6,0.17,3.11,1.07,1.07,1.07,1.0,1.0,12.3,132.9,0.0
full_eto,001,2010,18,2010-08-28,initial,0.6,0.175,3.26,1.12,1.12,1.12,1.0,1.0,12.3,145.2,0.0
full_eto,001,2010,19,2010-08-29,initial,0.6,0.179,3.94,1.36,1.36,1.36,1.0,0.861,10.9,156.1,0.0
full_eto,001,2010,20,2010-08-30,initial,0.6,0.184,4.11,1.42,1.42,1.42,1.0,0.994,13.3,169.4,0.0
full_eto,001,2010,21,2010-08-31,initial,0.6,0.188,3.94,1.37,1.37,1.37,1.0,1.0,13.9,183.3,0.0
full_eto,001,2010,22,2010-09-01,initial,0.6,0.192,3.74,1.29,1.29,1.29,1.0,1.0,13.6,196.9,0.0
full_eto,001,2010,23,2010-09-02,initial,0.6,0.197,3.57,1.24,1.24,1.24,1.0,1.0,13.9,210.8,0.0
full_eto,001,2010,24,2010-09-03,initial,0.6,0.201,3.63,1.26,1.26,1.26,1.0,1.0,14.2,225.0,0.0
full_eto,001,2010,25,2010-09-04,initial,0.6,0.206,3.74,1.29,1.29,1.29,1.0,1.0,14.1,239.2,0.0
full_eto,001,2010,26,2010-09-05,initial,0.6,0.21,3.52,1.22,1.22,1.22,1.0,1.0,14.2,253.3,0.0
full_eto,001,2010,27,2010-09-06,initial,0.6,0.214,3.92,1.36,1.36,1.36,1.0,0.979,15.0,268.3,0.0
full_eto,001,2010,28,2010-09-07,initial,0.6,0.219,4.11,1.42,1.42,1.42,1.0,0.903,13.5,281.8,0.0
full_eto,001,2010,29,2010-09-08,initial,0.6,0.223,3.66,1.26,1.26,1.26,1.0,1.0,15.1,296.8,0.0
full_eto,001,2010,30,2010-09-09,initial,0.6,0.228,3.54,1.23,1.23,1.23,1.0,1.0,15.3,312.2,0.0
full_eto,001,2010,31,2010-09-10,development,0.6,0.228,3.52,1.22,1.22,1.22,1.0,1.0,15.3,327.5,0.0
full_eto,001,2010,32,2010-09-11,development,0.614,0.243,3.52,1.25,1.25,1.25,1.0,1.0,16.5,344.0,0.0
full_eto,001,2010,33,2010-09-12,development,0.628,0.259,3.55,1.28,1.28,1.28,1.0,0.971,17.0,361.0,0.0
full_eto,001,2010,34,2010-09-13,development,0.642,0.275,3.79,1.41,1.41,1.41,1.0,1.0,18.2,379.2,0.0
full_eto,001,2010,35,2010-09-14,development,0.656,0.291,3.51,1.34,1.34,1.34,1.0,1.0,19.5,398.7,0.0
full_eto,001,2010,36,2010-09-15,development,0.671,0.307,3.19,1.24,1.24,1.24,1.0,1.0,20.8,419.5,0.0
full_eto,001,2010,37,2010-09-16,development,0.685,0.323,3.3,1.31,1.31,1.31,1.0,1.0,21.1,440.6,0.0
full_eto,001,2010,38,2010-09-17,development,0.699,0.339,3.28,1.33,1.33,1.33,1.0,1.0,22.2,462.8,0.0
full_eto,001,2010,39,2010-09-18,development,0.713,0.355,3.5,1.45,1.45,1.45,1.0,1.0,23.7,486.5,0.0
full_eto,001,2010,40,2010-09-19,development,0.727,0.371,2.6,1.09,1.09,1.09,1.0,1.0,24.6,511.1,0.0
full_eto,001,2010,41,2010-09-20,development,0.741,0.387,2.4,1.02,1.02,1.02,1.0,1.0,25.0,536.2,0.0
full_eto,001,2010,42,2010-09-21,development,0.755,0.403,2.79,1.21,1.21,1.21,1.0,1.0,23.5,559.7,0.0
full_eto,001,2010,43,2010-09-22,development,0.769,0.419,2.62,1.15,1.15,1.15,1.0,1.0,14.6,574.3,0.0
