# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 02-05
#   under underpv_high (winter-spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 02-05
# CONDITION: underpv_high
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-05,initial,0.6,0.1,1.9,0.68,0.68,0.68,1.0,0.059,0.3,0.3,0.0
full_eto,001,2010,2,2010-02-06,initial,0.6,0.104,1.86,0.66,0.66,0.66,1.0,0.112,0.5,0.8,0.0
full_eto,001,2010,3,2010-02-07,initial,0.6,0.109,1.58,0.56,0.56,0.56,1.0,0.3,1.7,2.5,0.0
full_eto,001,2010,4,2010-02-08,initial,0.6,0.113,1.74,0.61,0.61,0.61,1.0,0.595,3.2,5.6,0.0
full_eto,001,2010,5,2010-02-09,initial,0.6,0.118,1.68,0.59,0.59,0.59,1.0,0.645,3.7,9.3,0.0
full_eto,001,2010,6,2010-02-10,initial,0.6,0.122,1.67,0.58,0.58,0.58,1.0,0.735,4.4,13.7,0.0
full_eto,001,2010,7,2010-02-11,initial,0.6,0.126,1.94,0.68,0.68,0.68,1.0,0.807,4.8,18.6,0.0
full_eto,001,2010,8,2010-02-12,initial,0.6,0.131,1.73,0.6,0.6,0.6,1.0,0.993,6.6,25.2,0.0
full_eto,001,2010,9,2010-02-13,initial,0.6,0.135,1.94,0.67,0.67,0.67,1.0,1.0,6.8,32.0,0.0
full_eto,001,2010,10,2010-02-14,initial,0.6,0.14,1.82,0.63,0.63,0.63,1.0,1.0,5.9,37.9,0.0
full_eto,001,2010,11,2010-02-15,initial,0.6,0.144,1.83,0.63,0.63,0.63,1.0,1.0,6.1,44.0,0.0
full_eto,001,2010,12,2010-02-16,initial,0.6,0.148,1.62,0.56,0.56,0.56,1.0,1.0,6.9,50.8,0.0
full_eto,001,2010,13,2010-02-17,initial,0.6,0.153,2.0,0.69,0.69,0.69,1.0,1.0,7.7,58.5,0.0
full_eto,001,2010,14,2010-02-18,initial,0.6,0.157,2.03,0.7,0.7,0.7,1.0,1.0,8.0,66.5,0.0
full_eto,001,2010,15,2010-02-19,initial,0.6,0.162,2.55,0.89,0.89,0.89,1.0,1.0,8.6,75.2,0.0
full_eto,001,2010,16,2010-02-20,initial,0.6,0.166,2.24,0.78,0.78,0.78,1.0,1.0,9.0,84.1,0.0
full_eto,001,2010,17,2010-02-21,initial,0.6,0.17,2.12,0.73,0.73,0.73,1.0,1.0,9.5,93.6,0.0
full_eto,001,2010,18,2010-02-22,initial,0.6,0.175,2.37,0.83,0.83,0.83,1.0,0.905,8.0,101.7,0.0
full_eto,001,2010,19,2010-02-23,initial,0.6,0.179,2.46,0.87,0.87,0.88,1.0,0.817,7.7,109.4,0.0
full_eto,001,2010,20,2010-02-24,initial,0.6,0.184,2.26,0.79,0.79,0.79,1.0,0.798,7.4,116.7,0.0
full_eto,001,2010,21,2010-02-25,initial,0.6,0.188,2.17,0.76,0.76,0.83,1.0,0.854,6.5,123.2,0.0
full_eto,001,2010,22,2010-02-26,initial,0.6,0.192,1.97,0.7,0.7,0.77,1.0,0.551,4.5,127.7,0.0
full_eto,001,2010,23,2010-02-27,initial,0.6,0.197,2.03,0.72,0.72,0.72,1.0,0.576,6.3,134.0,0.0
full_eto,001,2010,24,2010-02-28,initial,0.6,0.201,2.68,0.94,0.94,0.94,1.0,0.778,7.1,141.1,0.0
full_eto,001,2010,25,2010-03-01,initial,0.6,0.206,2.59,0.92,0.92,0.94,1.0,0.541,6.2,147.4,0.0
full_eto,001,2010,26,2010-03-02,initial,0.6,0.21,2.3,0.81,0.81,0.81,1.0,0.847,10.3,157.6,0.0
