# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for tomato planted 02-15
#   under openfield (winter-spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 02-15
# CONDITION: openfield
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-15,initial,0.6,0.1,3.47,2.08,2.08,2.08,1.0,1.0,12.1,12.1,0.0
full_eto,001,2010,2,2010-02-16,initial,0.6,0.104,3.35,2.01,2.01,2.01,1.0,1.0,13.8,25.9,0.0
full_eto,001,2010,3,2010-02-17,initial,0.6,0.109,3.91,2.34,2.34,2.34,1.0,1.0,15.7,41.5,0.0
full_eto,001,2010,4,2010-02-18,initial,0.6,0.113,3.98,2.39,2.39,2.39,1.0,1.0,16.6,58.1,0.0
full_eto,001,2010,5,2010-02-19,initial,0.6,0.118,4.56,2.74,2.74,2.74,1.0,1.0,17.9,76.0,0.0
full_eto,001,2010,6,2010-02-20,initial,0.6,0.122,4.2,2.52,2.52,2.52,1.0,1.0,18.9,94.9,0.0
full_eto,001,2010,7,2010-02-21,initial,0.6,0.126,4.17,2.5,2.5,2.5,1.0,1.0,20.1,115.0,0.0
full_eto,001,2010,8,2010-02-22,initial,0.6,0.131,4.01,2.41,2.41,2.41,1.0,1.0,19.0,134.0,0.0
full_eto,001,2010,9,2010-02-23,initial,0.6,0.135,4.13,2.48,2.48,2.49,1.0,1.0,20.3,154.3,0.0
full_eto,001,2010,10,2010-02-24,initial,0.6,0.14,3.92,2.35,2.35,2.35,1.0,1.0,20.1,174.4,0.0
full_eto,001,2010,11,2010-02-25,initial,0.6,0.144,3.68,2.21,2.21,2.36,1.0,1.0,16.7,191.1,0.0
full_eto,001,2010,12,2010-02-26,initial,0.6,0.148,3.18,1.91,1.91,2.0,1.0,0.801,14.3,205.4,0.0
full_eto,001,2010,13,2010-02-27,initial,0.6,0.153,3.62,2.17,2.17,2.17,1.0,0.826,20.0,225.4,0.0
full_eto,001,2010,14,2010-02-28,initial,0.6,0.157,4.38,2.63,2.63,2.63,1.0,1.0,20.4,245.9,0.0
