# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for tomato planted 02-15
#   under underpv_high (winter-spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 02-15
# CONDITION: underpv_high
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-15,initial,0.6,0.1,5.82,2.04,2.04,1.0,1.0,4.2,4.2,0.0
full_eto,001,2010,2,2010-02-16,initial,0.6,0.104,6.66,2.33,2.33,1.0,1.0,4.8,9.1,0.0
full_eto,001,2010,3,2010-02-17,initial,0.6,0.109,6.69,2.34,2.34,1.0,1.0,5.5,14.5,0.0
full_eto,001,2010,4,2010-02-18,initial,0.6,0.113,7.15,2.5,2.5,1.0,1.0,5.8,20.3,0.0
full_eto,001,2010,5,2010-02-19,initial,0.6,0.118,7.15,2.51,2.51,1.0,1.0,6.3,26.6,0.0
full_eto,001,2010,6,2010-02-20,initial,0.6,0.122,7.15,2.51,2.51,1.0,1.0,6.6,33.2,0.0
full_eto,001,2010,7,2010-02-21,initial,0.6,0.126,7.21,2.53,2.53,1.0,1.0,7.0,40.2,0.0
full_eto,001,2010,8,2010-02-22,initial,0.6,0.131,5.53,1.95,1.95,1.0,0.905,6.0,46.2,0.0
full_eto,001,2010,9,2010-02-23,initial,0.6,0.135,5.89,2.08,2.09,1.0,0.817,5.8,52.1,0.0
full_eto,001,2010,10,2010-02-24,initial,0.6,0.14,6.27,2.21,2.21,1.0,0.798,5.6,57.7,0.0
full_eto,001,2010,11,2010-02-25,initial,0.6,0.144,6.61,2.33,2.48,1.0,0.854,5.0,62.6,0.0
full_eto,001,2010,12,2010-02-26,initial,0.6,0.148,4.56,1.62,1.71,1.0,0.551,3.5,66.1,0.0
full_eto,001,2010,13,2010-02-27,initial,0.6,0.153,5.64,2.0,2.0,1.0,0.576,4.9,71.0,0.0
full_eto,001,2010,14,2010-02-28,initial,0.6,0.157,7.22,2.55,2.55,1.0,0.778,5.5,76.5,0.0
full_eto,001,2010,15,2010-03-01,initial,0.6,0.162,6.41,2.28,2.3,1.0,0.541,4.9,81.5,0.0
full_eto,001,2010,16,2010-03-02,initial,0.6,0.166,6.92,2.44,2.44,1.0,0.847,8.1,89.6,0.0
full_eto,001,2010,17,2010-03-03,initial,0.6,0.17,7.29,2.57,2.57,1.0,0.923,8.5,98.0,0.0
full_eto,001,2010,18,2010-03-04,initial,0.6,0.175,7.6,2.68,2.68,1.0,0.782,8.3,106.3,0.0
full_eto,001,2010,19,2010-03-05,initial,0.6,0.179,7.48,2.63,2.63,1.0,1.0,9.7,116.0,0.0
full_eto,001,2010,20,2010-03-06,initial,0.6,0.184,6.92,2.43,2.43,1.0,1.0,10.9,126.9,0.0
full_eto,001,2010,21,2010-03-07,initial,0.6,0.188,7.7,2.71,2.71,1.0,1.0,11.4,138.4,0.0
full_eto,001,2010,22,2010-03-08,initial,0.6,0.192,8.29,2.9,2.9,1.0,1.0,11.5,149.9,0.0
full_eto,001,2010,23,2010-03-09,initial,0.6,0.197,7.66,2.68,2.68,1.0,1.0,10.7,160.6,0.0
full_eto,001,2010,24,2010-03-10,initial,0.6,0.201,7.55,2.64,2.64,1.0,1.0,11.7,172.3,0.0
full_eto,001,2010,25,2010-03-11,initial,0.6,0.206,7.98,2.79,2.79,1.0,1.0,12.7,185.0,0.0
full_eto,001,2010,26,2010-03-12,initial,0.6,0.21,8.37,2.93,2.93,1.0,1.0,13.1,198.1,0.0
full_eto,001,2010,27,2010-03-13,initial,0.6,0.214,7.87,2.76,2.76,1.0,1.0,13.3,211.4,0.0
full_eto,001,2010,28,2010-03-14,initial,0.6,0.219,6.68,2.34,2.34,1.0,1.0,11.2,222.7,0.0
full_eto,001,2010,29,2010-03-15,initial,0.6,0.223,7.0,2.45,2.45,1.0,1.0,10.4,233.0,0.0
full_eto,001,2010,30,2010-03-16,initial,0.6,0.228,6.92,2.44,2.44,1.0,0.921,11.5,244.6,0.0
full_eto,001,2010,31,2010-03-17,development,0.6,0.228,5.8,2.05,2.05,1.0,0.787,10.0,254.6,0.0
full_eto,001,2010,32,2010-03-18,development,0.614,0.243,6.74,2.45,2.45,1.0,0.591,9.2,263.7,0.0
full_eto,001,2010,33,2010-03-19,development,0.628,0.259,8.01,2.98,2.98,1.0,0.528,9.3,273.1,0.0
full_eto,001,2010,34,2010-03-20,development,0.642,0.275,8.58,3.25,3.25,1.0,0.67,12.2,285.3,0.0
full_eto,001,2010,35,2010-03-21,development,0.656,0.291,9.03,3.49,3.49,1.0,0.831,14.9,300.2,0.0
full_eto,001,2010,36,2010-03-22,development,0.671,0.307,9.13,3.59,3.59,1.0,0.953,18.2,318.4,0.0
full_eto,001,2010,37,2010-03-23,development,0.685,0.323,8.2,3.3,3.3,1.0,0.832,17.0,335.4,0.0
full_eto,001,2010,38,2010-03-24,development,0.699,0.339,8.28,3.39,3.39,1.0,0.928,20.2,355.6,0.0
full_eto,001,2010,39,2010-03-25,development,0.713,0.355,7.88,3.3,3.3,1.0,0.932,20.6,376.2,0.0
full_eto,001,2010,40,2010-03-26,development,0.727,0.371,6.64,2.84,2.84,1.0,0.704,16.7,392.9,0.0
full_eto,001,2010,41,2010-03-27,development,0.741,0.387,6.99,3.06,3.09,1.0,0.595,13.4,406.3,0.0
full_eto,001,2010,42,2010-03-28,development,0.755,0.403,7.89,3.51,3.51,1.0,0.804,21.1,427.4,0.0
full_eto,001,2010,43,2010-03-29,development,0.769,0.419,8.38,3.78,3.78,1.0,0.977,26.5,453.9,0.0
full_eto,001,2010,44,2010-03-30,development,0.783,0.435,7.35,3.38,3.38,1.0,0.826,25.4,479.4,0.0
full_eto,001,2010,45,2010-03-31,development,0.797,0.451,8.22,3.85,3.85,1.0,0.809,26.9,506.3,0.0
