# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for tomato planted 02-15
#   under underpv_medium (winter-spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 02-15
# CONDITION: underpv_medium
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-15,initial,0.6,0.1,5.96,2.96,2.96,1.0,1.0,6.1,6.1,0.0
full_eto,001,2010,2,2010-02-16,initial,0.6,0.104,6.82,3.39,3.39,1.0,1.0,6.9,12.9,0.0
full_eto,001,2010,3,2010-02-17,initial,0.6,0.109,6.85,3.41,3.41,1.0,1.0,7.8,20.7,0.0
full_eto,001,2010,4,2010-02-18,initial,0.6,0.113,7.33,3.64,3.64,1.0,1.0,8.3,29.0,0.0
full_eto,001,2010,5,2010-02-19,initial,0.6,0.118,7.33,3.65,3.65,1.0,1.0,9.0,38.0,0.0
full_eto,001,2010,6,2010-02-20,initial,0.6,0.122,7.33,3.65,3.65,1.0,1.0,9.4,47.4,0.0
full_eto,001,2010,7,2010-02-21,initial,0.6,0.126,7.39,3.68,3.68,1.0,1.0,10.0,57.5,0.0
full_eto,001,2010,8,2010-02-22,initial,0.6,0.131,5.68,2.83,2.83,1.0,1.0,9.5,67.0,0.0
full_eto,001,2010,9,2010-02-23,initial,0.6,0.135,6.05,3.02,3.03,1.0,0.917,9.3,76.3,0.0
full_eto,001,2010,10,2010-02-24,initial,0.6,0.14,6.45,3.22,3.22,1.0,0.898,9.0,85.3,0.0
full_eto,001,2010,11,2010-02-25,initial,0.6,0.144,6.79,3.39,3.54,1.0,0.954,8.0,93.3,0.0
full_eto,001,2010,12,2010-02-26,initial,0.6,0.148,4.7,2.35,2.44,1.0,0.651,5.8,99.1,0.0
full_eto,001,2010,13,2010-02-27,initial,0.6,0.153,5.81,2.91,2.91,1.0,0.676,8.2,107.3,0.0
