# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 02-25
#   under underpv_medium (winter-spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 02-25
# CONDITION: underpv_medium
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-25,initial,0.6,0.1,2.74,1.37,1.37,1.5,1.0,0.954,5.5,5.5,0.0
full_eto,001,2010,2,2010-02-26,initial,0.6,0.104,2.42,1.22,1.22,1.31,1.0,0.651,4.1,9.6,0.0
full_eto,001,2010,3,2010-02-27,initial,0.6,0.109,2.57,1.29,1.29,1.29,1.0,0.676,5.8,15.5,0.0
full_eto,001,2010,4,2010-02-28,initial,0.6,0.113,3.37,1.69,1.69,1.69,1.0,0.878,6.5,21.9,0.0
full_eto,001,2010,5,2010-03-01,initial,0.6,0.118,3.23,1.62,1.62,1.64,1.0,0.641,6.0,28.0,0.0
full_eto,001,2010,6,2010-03-02,initial,0.6,0.122,2.94,1.47,1.47,1.47,1.0,0.947,9.5,37.5,0.0
full_eto,001,2010,7,2010-03-03,initial,0.6,0.126,2.92,1.46,1.46,1.46,1.0,1.0,9.7,47.2,0.0
full_eto,001,2010,8,2010-03-04,initial,0.6,0.131,3.67,1.84,1.84,1.84,1.0,0.882,10.0,57.2,0.0
full_eto,001,2010,9,2010-03-05,initial,0.6,0.135,2.82,1.4,1.4,1.4,1.0,1.0,10.5,67.7,0.0
full_eto,001,2010,10,2010-03-06,initial,0.6,0.14,2.92,1.45,1.45,1.45,1.0,1.0,11.8,79.5,0.0
full_eto,001,2010,11,2010-03-07,initial,0.6,0.144,3.31,1.65,1.65,1.65,1.0,1.0,12.5,92.0,0.0
full_eto,001,2010,12,2010-03-08,initial,0.6,0.148,3.09,1.54,1.54,1.54,1.0,1.0,12.7,104.7,0.0
full_eto,001,2010,13,2010-03-09,initial,0.6,0.153,3.41,1.7,1.7,1.7,1.0,1.0,11.8,116.5,0.0
full_eto,001,2010,14,2010-03-10,initial,0.6,0.157,3.22,1.6,1.6,1.6,1.0,1.0,13.1,129.7,0.0
