# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 07-22
#   under openfield (nili season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9000
# CROP: tomato
# PLANTING_DATE: 07-22
# CONDITION: openfield
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-07-22,initial,0.6,0.1,7.53,4.52,4.52,4.52,1.0,0.872,19.8,19.8,0.0
full_eto,001,2010,2,2010-07-23,initial,0.6,0.104,6.98,4.19,4.19,4.19,1.0,0.796,18.5,38.3,0.0
full_eto,001,2010,3,2010-07-24,initial,0.6,0.109,7.05,4.23,4.23,4.23,1.0,0.679,16.4,54.7,0.0
full_eto,001,2010,4,2010-07-25,initial,0.6,0.113,6.72,4.03,4.03,4.03,1.0,0.591,14.7,69.4,0.0
full_eto,001,2010,5,2010-07-26,initial,0.6,0.118,7.07,4.24,4.24,4.24,1.0,0.409,10.6,80.0,0.0
full_eto,001,2010,6,2010-07-27,initial,0.6,0.122,7.69,4.61,4.61,4.61,1.0,0.295,7.9,87.9,0.0
full_eto,001,2010,7,2010-07-28,initial,0.6,0.126,7.57,4.54,4.54,4.54,1.0,0.58,16.4,104.3,0.0
full_eto,001,2010,8,2010-07-29,initial,0.6,0.131,7.12,4.27,4.27,4.27,1.0,0.924,27.2,131.5,0.0
full_eto,001,2010,9,2010-07-30,initial,0.6,0.135,6.79,4.07,4.07,4.07,1.0,0.714,21.2,152.8,0.0
full_eto,001,2010,10,2010-07-31,initial,0.6,0.14,6.25,3.75,3.75,3.75,1.0,0.599,17.1,169.8,0.0
full_eto,001,2010,11,2010-08-01,initial,0.6,0.144,6.93,4.16,4.16,4.16,1.0,0.466,13.2,183.0,0.0
full_eto,001,2010,12,2010-08-02,initial,0.6,0.148,7.82,4.69,4.69,4.69,1.0,0.38,11.6,194.6,0.0
full_eto,001,2010,13,2010-08-03,initial,0.6,0.153,7.76,4.65,4.65,4.65,1.0,0.434,13.9,208.5,0.0
full_eto,001,2010,14,2010-08-04,initial,0.6,0.157,7.43,4.46,4.46,4.46,1.0,0.459,15.5,224.0,0.0
