# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 07-22
#   under underpv_high (nili season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9000
# CROP: tomato
# PLANTING_DATE: 07-22
# CONDITION: underpv_high
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-07-22,initial,0.6,0.1,3.91,1.35,1.35,1.35,1.0,1.0,7.9,7.9,0.0
full_eto,001,2010,2,2010-07-23,initial,0.6,0.104,3.48,1.2,1.2,1.2,1.0,1.0,8.1,16.0,0.0
full_eto,001,2010,3,2010-07-24,initial,0.6,0.109,3.42,1.18,1.18,1.18,1.0,1.0,8.5,24.5,0.0
full_eto,001,2010,4,2010-07-25,initial,0.6,0.113,3.02,1.04,1.04,1.04,1.0,0.949,8.3,32.8,0.0
full_eto,001,2010,5,2010-07-26,initial,0.6,0.118,3.2,1.1,1.1,1.1,1.0,0.766,6.9,39.8,0.0
full_eto,001,2010,6,2010-07-27,initial,0.6,0.122,3.72,1.28,1.28,1.28,1.0,0.652,6.1,45.8,0.0
full_eto,001,2010,7,2010-07-28,initial,0.6,0.126,3.92,1.36,1.36,1.36,1.0,0.937,9.3,55.1,0.0
full_eto,001,2010,8,2010-07-29,initial,0.6,0.131,3.61,1.25,1.25,1.25,1.0,1.0,10.3,65.5,0.0
full_eto,001,2010,9,2010-07-30,initial,0.6,0.135,3.18,1.09,1.09,1.09,1.0,1.0,10.4,75.9,0.0
full_eto,001,2010,10,2010-07-31,initial,0.6,0.14,2.79,0.95,0.95,0.95,1.0,0.956,9.6,85.4,0.0
full_eto,001,2010,11,2010-08-01,initial,0.6,0.144,3.45,1.19,1.19,1.19,1.0,0.823,8.2,93.6,0.0
full_eto,001,2010,12,2010-08-02,initial,0.6,0.148,4.14,1.43,1.43,1.43,1.0,0.737,7.9,101.5,0.0
full_eto,001,2010,13,2010-08-03,initial,0.6,0.153,4.07,1.4,1.4,1.4,1.0,0.791,8.9,110.3,0.0
full_eto,001,2010,14,2010-08-04,initial,0.6,0.157,3.7,1.27,1.27,1.27,1.0,0.816,9.7,120.0,0.0
full_eto,001,2010,15,2010-08-05,initial,0.6,0.162,2.99,1.02,1.02,1.02,1.0,0.577,7.1,127.2,0.0
full_eto,001,2010,16,2010-08-06,initial,0.6,0.166,2.88,0.99,0.99,0.99,1.0,0.511,6.4,133.5,0.0
full_eto,001,2010,17,2010-08-07,initial,0.6,0.17,3.87,1.33,1.33,1.33,1.0,0.469,5.7,139.3,0.0
full_eto,001,2010,18,2010-08-08,initial,0.6,0.175,3.98,1.37,1.37,1.37,1.0,0.687,8.7,148.0,0.0
full_eto,001,2010,19,2010-08-09,initial,0.6,0.179,3.86,1.33,1.33,1.33,1.0,0.88,11.6,159.6,0.0
full_eto,001,2010,20,2010-08-10,initial,0.6,0.184,3.96,1.37,1.37,1.37,1.0,1.0,14.0,173.6,0.0
full_eto,001,2010,21,2010-08-11,initial,0.6,0.188,3.77,1.3,1.3,1.3,1.0,0.97,13.6,187.2,0.0
full_eto,001,2010,22,2010-08-12,initial,0.6,0.192,3.79,1.31,1.31,1.31,1.0,0.978,13.5,200.8,0.0
full_eto,001,2010,23,2010-08-13,initial,0.6,0.197,3.88,1.34,1.34,1.34,1.0,0.929,12.9,213.7,0.0
full_eto,001,2010,24,2010-08-14,initial,0.6,0.201,3.85,1.33,1.33,1.33,1.0,0.919,13.2,226.9,0.0
full_eto,001,2010,25,2010-08-15,initial,0.6,0.206,3.82,1.31,1.31,1.31,1.0,0.738,10.9,237.7,0.0
full_eto,001,2010,26,2010-08-16,initial,0.6,0.21,3.81,1.31,1.31,1.31,1.0,0.759,11.4,249.2,0.0
full_eto,001,2010,27,2010-08-17,initial,0.6,0.214,3.52,1.21,1.21,1.21,1.0,0.641,9.1,258.3,0.0
full_eto,001,2010,28,2010-08-18,initial,0.6,0.219,3.29,1.13,1.13,1.13,1.0,0.597,9.0,267.2,0.0
full_eto,001,2010,29,2010-08-19,initial,0.6,0.223,3.42,1.17,1.17,1.17,1.0,0.616,9.5,276.8,0.0
full_eto,001,2010,30,2010-08-20,initial,0.6,0.228,3.91,1.34,1.34,1.34,1.0,0.536,8.3,285.1,0.0
full_eto,001,2010,31,2010-08-21,development,0.6,0.228,4.06,1.4,1.4,1.4,1.0,0.611,9.8,294.8,0.0
full_eto,001,2010,32,2010-08-22,development,0.614,0.243,3.97,1.4,1.4,1.4,1.0,0.789,13.9,308.7,0.0
full_eto,001,2010,33,2010-08-23,development,0.628,0.259,3.58,1.29,1.29,1.29,1.0,0.875,16.1,324.9,0.0
full_eto,001,2010,34,2010-08-24,development,0.642,0.275,3.56,1.31,1.31,1.31,1.0,0.884,17.2,342.0,0.0
full_eto,001,2010,35,2010-08-25,development,0.656,0.291,3.64,1.38,1.38,1.38,1.0,0.979,20.3,362.3,0.0
full_eto,001,2010,36,2010-08-26,development,0.671,0.307,3.5,1.36,1.36,1.36,1.0,1.0,21.8,384.1,0.0
full_eto,001,2010,37,2010-08-27,development,0.685,0.323,3.11,1.22,1.22,1.22,1.0,1.0,23.4,407.5,0.0
full_eto,001,2010,38,2010-08-28,development,0.699,0.339,3.26,1.31,1.31,1.31,1.0,1.0,23.9,431.5,0.0
full_eto,001,2010,39,2010-08-29,development,0.713,0.355,3.94,1.61,1.61,1.61,1.0,0.861,21.6,453.0,0.0
