# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 07-22
#   under underpv_low (nili season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9000
# CROP: tomato
# PLANTING_DATE: 07-22
# CONDITION: underpv_low
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-07-22,initial,0.6,0.1,5.95,3.1,3.1,3.1,1.0,0.986,14.5,14.5,0.0
full_eto,001,2010,2,2010-07-23,initial,0.6,0.104,5.37,2.79,2.79,2.79,1.0,0.911,13.7,28.3,0.0
full_eto,001,2010,3,2010-07-24,initial,0.6,0.109,5.35,2.78,2.78,2.78,1.0,0.794,12.5,40.8,0.0
full_eto,001,2010,4,2010-07-25,initial,0.6,0.113,4.9,2.54,2.54,2.54,1.0,0.706,11.4,52.2,0.0
full_eto,001,2010,5,2010-07-26,initial,0.6,0.118,5.19,2.7,2.7,2.7,1.0,0.523,8.8,61.0,0.0
full_eto,001,2010,6,2010-07-27,initial,0.6,0.122,5.87,3.05,3.05,3.05,1.0,0.409,7.1,68.1,0.0
full_eto,001,2010,7,2010-07-28,initial,0.6,0.126,5.94,3.09,3.09,3.09,1.0,0.694,12.8,80.9,0.0
full_eto,001,2010,8,2010-07-29,initial,0.6,0.131,5.54,2.88,2.88,2.88,1.0,1.0,19.1,100.0,0.0
full_eto,001,2010,9,2010-07-30,initial,0.6,0.135,5.06,2.63,2.63,2.63,1.0,0.828,16.0,116.0,0.0
full_eto,001,2010,10,2010-07-31,initial,0.6,0.14,4.53,2.35,2.35,2.35,1.0,0.713,13.2,129.2,0.0
full_eto,001,2010,11,2010-08-01,initial,0.6,0.144,5.36,2.78,2.78,2.78,1.0,0.58,10.7,139.9,0.0
full_eto,001,2010,12,2010-08-02,initial,0.6,0.148,6.25,3.25,3.25,3.25,1.0,0.494,9.8,149.7,0.0
full_eto,001,2010,13,2010-08-03,initial,0.6,0.153,6.17,3.21,3.21,3.21,1.0,0.549,11.4,161.1,0.0
full_eto,001,2010,14,2010-08-04,initial,0.6,0.157,5.74,2.98,2.98,2.98,1.0,0.573,12.6,173.7,0.0
full_eto,001,2010,15,2010-08-05,initial,0.6,0.162,4.99,2.59,2.59,2.59,1.0,0.334,7.7,181.3,0.0
full_eto,001,2010,16,2010-08-06,initial,0.6,0.166,4.85,2.51,2.51,2.51,1.0,0.268,6.2,187.6,0.0
full_eto,001,2010,17,2010-08-07,initial,0.6,0.17,6.07,3.15,3.15,3.15,1.0,0.226,5.1,192.7,0.0
full_eto,001,2010,18,2010-08-08,initial,0.6,0.175,6.1,3.17,3.17,3.17,1.0,0.444,10.4,203.1,0.0
full_eto,001,2010,19,2010-08-09,initial,0.6,0.179,5.86,3.05,3.05,3.05,1.0,0.637,15.7,218.8,0.0
full_eto,001,2010,20,2010-08-10,initial,0.6,0.184,5.97,3.11,3.11,3.11,1.0,0.763,19.8,238.6,0.0
full_eto,001,2010,21,2010-08-11,initial,0.6,0.188,5.76,3.0,3.0,3.0,1.0,0.727,18.9,257.6,0.0
full_eto,001,2010,22,2010-08-12,initial,0.6,0.192,5.75,2.99,2.99,2.99,1.0,0.735,18.9,276.5,0.0
full_eto,001,2010,23,2010-08-13,initial,0.6,0.197,5.85,3.04,3.04,3.04,1.0,0.686,17.8,294.2,0.0
full_eto,001,2010,24,2010-08-14,initial,0.6,0.201,5.82,3.02,3.02,3.02,1.0,0.676,18.0,312.2,0.0
full_eto,001,2010,25,2010-08-15,initial,0.6,0.206,5.91,3.07,3.07,3.07,1.0,0.495,13.6,325.8,0.0
full_eto,001,2010,26,2010-08-16,initial,0.6,0.21,5.89,3.06,3.06,3.06,1.0,0.516,14.4,340.2,0.0
full_eto,001,2010,27,2010-08-17,initial,0.6,0.214,5.44,2.83,2.83,2.83,1.0,0.398,10.4,350.6,0.0
full_eto,001,2010,28,2010-08-18,initial,0.6,0.219,5.24,2.72,2.72,2.72,1.0,0.354,9.9,360.5,0.0
full_eto,001,2010,29,2010-08-19,initial,0.6,0.223,5.41,2.81,2.81,2.81,1.0,0.374,10.7,371.3,0.0
full_eto,001,2010,30,2010-08-20,initial,0.6,0.228,6.04,3.13,3.13,3.13,1.0,0.294,8.4,379.7,0.0
full_eto,001,2010,31,2010-08-21,development,0.6,0.228,6.16,3.2,3.2,3.2,1.0,0.369,11.0,390.6,0.0
full_eto,001,2010,32,2010-08-22,development,0.614,0.243,6.01,3.2,3.2,3.2,1.0,0.546,17.9,408.5,0.0
full_eto,001,2010,33,2010-08-23,development,0.628,0.259,5.49,2.99,2.99,2.99,1.0,0.632,21.6,430.1,0.0
