# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 07-22
#   under underpv_medium (nili season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9000
# CROP: tomato
# PLANTING_DATE: 07-22
# CONDITION: underpv_medium
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-07-22,initial,0.6,0.1,5.11,2.53,2.53,2.53,1.0,1.0,11.3,11.3,0.0
full_eto,001,2010,2,2010-07-23,initial,0.6,0.104,4.56,2.26,2.26,2.26,1.0,1.0,11.6,22.9,0.0
full_eto,001,2010,3,2010-07-24,initial,0.6,0.109,4.52,2.24,2.24,2.24,1.0,0.894,10.8,33.8,0.0
full_eto,001,2010,4,2010-07-25,initial,0.6,0.113,4.04,2.0,2.0,2.0,1.0,0.806,10.0,43.8,0.0
full_eto,001,2010,5,2010-07-26,initial,0.6,0.118,4.29,2.12,2.12,2.12,1.0,0.623,8.1,51.9,0.0
full_eto,001,2010,6,2010-07-27,initial,0.6,0.122,4.95,2.45,2.45,2.45,1.0,0.509,6.8,58.7,0.0
full_eto,001,2010,7,2010-07-28,initial,0.6,0.126,5.1,2.53,2.53,2.53,1.0,0.794,11.3,70.0,0.0
full_eto,001,2010,8,2010-07-29,initial,0.6,0.131,4.72,2.34,2.34,2.34,1.0,1.0,14.7,84.7,0.0
full_eto,001,2010,9,2010-07-30,initial,0.6,0.135,4.23,2.09,2.09,2.09,1.0,0.928,13.8,98.5,0.0
full_eto,001,2010,10,2010-07-31,initial,0.6,0.14,3.73,1.84,1.84,1.84,1.0,0.813,11.6,110.1,0.0
full_eto,001,2010,11,2010-08-01,initial,0.6,0.144,4.55,2.25,2.25,2.25,1.0,0.68,9.6,119.7,0.0
full_eto,001,2010,12,2010-08-02,initial,0.6,0.148,5.39,2.67,2.67,2.67,1.0,0.594,9.1,128.8,0.0
full_eto,001,2010,13,2010-08-03,initial,0.6,0.153,5.31,2.63,2.63,2.63,1.0,0.649,10.4,139.1,0.0
full_eto,001,2010,14,2010-08-04,initial,0.6,0.157,4.88,2.41,2.41,2.41,1.0,0.673,11.4,150.5,0.0
