# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 03-22
#   under openfield (spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 03-22
# CONDITION: openfield
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-22,initial,0.6,0.1,5.07,3.04,3.04,3.04,1.0,1.0,17.8,17.8,0.0
full_eto,001,2010,2,2010-03-23,initial,0.6,0.104,4.88,2.93,2.93,2.93,1.0,1.0,18.9,36.7,0.0
full_eto,001,2010,3,2010-03-24,initial,0.6,0.109,4.44,2.67,2.67,2.67,1.0,1.0,19.9,56.6,0.0
full_eto,001,2010,4,2010-03-25,initial,0.6,0.113,5.18,3.11,3.11,3.11,1.0,1.0,20.1,76.7,0.0
full_eto,001,2010,5,2010-03-26,initial,0.6,0.118,4.42,2.65,2.65,2.65,1.0,0.955,20.4,97.2,0.0
full_eto,001,2010,6,2010-03-27,initial,0.6,0.122,4.28,2.57,2.57,2.6,1.0,0.845,17.1,114.2,0.0
full_eto,001,2010,7,2010-03-28,initial,0.6,0.126,4.27,2.56,2.56,2.56,1.0,1.0,23.5,137.8,0.0
full_eto,001,2010,8,2010-03-29,initial,0.6,0.131,4.6,2.76,2.76,2.76,1.0,1.0,24.2,162.0,0.0
full_eto,001,2010,9,2010-03-30,initial,0.6,0.135,5.04,3.03,3.03,3.03,1.0,1.0,27.4,189.3,0.0
full_eto,001,2010,10,2010-03-31,initial,0.6,0.14,5.14,3.08,3.08,3.08,1.0,1.0,29.4,218.8,0.0
full_eto,001,2010,11,2010-04-01,initial,0.6,0.144,5.94,3.56,3.56,3.56,1.0,1.0,30.2,249.0,0.0
full_eto,001,2010,12,2010-04-02,initial,0.6,0.148,6.32,3.79,3.79,3.79,1.0,1.0,30.2,279.1,0.0
full_eto,001,2010,13,2010-04-03,initial,0.6,0.153,6.13,3.68,3.68,3.68,1.0,0.904,25.7,304.9,0.0
full_eto,001,2010,14,2010-04-04,initial,0.6,0.157,5.54,3.32,3.32,3.32,1.0,1.0,27.9,332.8,0.0
