# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 03-22
#   under underpv_high (spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 03-22
# CONDITION: underpv_high
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-22,initial,0.6,0.1,2.78,0.97,0.97,0.97,1.0,0.953,5.9,5.9,0.0
full_eto,001,2010,2,2010-03-23,initial,0.6,0.104,2.72,0.95,0.95,0.95,1.0,0.832,5.5,11.4,0.0
full_eto,001,2010,3,2010-03-24,initial,0.6,0.109,2.2,0.77,0.77,0.77,1.0,0.928,6.5,17.9,0.0
full_eto,001,2010,4,2010-03-25,initial,0.6,0.113,3.06,1.08,1.08,1.08,1.0,0.932,6.6,24.5,0.0
full_eto,001,2010,5,2010-03-26,initial,0.6,0.118,2.51,0.89,0.89,0.89,1.0,0.704,5.3,29.8,0.0
full_eto,001,2010,6,2010-03-27,initial,0.6,0.122,2.5,0.88,0.88,0.91,1.0,0.595,4.2,34.0,0.0
full_eto,001,2010,7,2010-03-28,initial,0.6,0.126,2.09,0.73,0.73,0.73,1.0,0.804,6.6,40.6,0.0
full_eto,001,2010,8,2010-03-29,initial,0.6,0.131,2.28,0.79,0.79,0.79,1.0,0.977,8.3,48.9,0.0
full_eto,001,2010,9,2010-03-30,initial,0.6,0.135,2.85,1.01,1.01,1.01,1.0,0.826,7.9,56.8,0.0
full_eto,001,2010,10,2010-03-31,initial,0.6,0.14,2.66,0.93,0.93,0.93,1.0,0.809,8.3,65.1,0.0
full_eto,001,2010,11,2010-04-01,initial,0.6,0.144,3.07,1.07,1.07,1.07,1.0,1.0,10.5,75.7,0.0
full_eto,001,2010,12,2010-04-02,initial,0.6,0.148,3.19,1.1,1.1,1.1,1.0,1.0,10.6,86.2,0.0
full_eto,001,2010,13,2010-04-03,initial,0.6,0.153,3.09,1.06,1.06,1.06,1.0,1.0,10.0,96.2,0.0
full_eto,001,2010,14,2010-04-04,initial,0.6,0.157,2.9,1.0,1.0,1.0,1.0,1.0,9.8,106.0,0.0
