# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 03-22
#   under underpv_low (spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 03-22
# CONDITION: underpv_low
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-22,initial,0.6,0.1,4.11,2.14,2.14,2.14,1.0,1.0,11.6,11.6,0.0
full_eto,001,2010,2,2010-03-23,initial,0.6,0.104,3.98,2.08,2.08,2.08,1.0,1.0,12.3,23.9,0.0
full_eto,001,2010,3,2010-03-24,initial,0.6,0.109,3.39,1.76,1.76,1.76,1.0,1.0,13.0,36.8,0.0
full_eto,001,2010,4,2010-03-25,initial,0.6,0.113,4.33,2.27,2.27,2.27,1.0,1.0,13.0,49.9,0.0
full_eto,001,2010,5,2010-03-26,initial,0.6,0.118,3.6,1.88,1.88,1.88,1.0,0.875,12.2,62.0,0.0
full_eto,001,2010,6,2010-03-27,initial,0.6,0.122,3.54,1.85,1.85,1.88,1.0,0.766,10.0,72.1,0.0
full_eto,001,2010,7,2010-03-28,initial,0.6,0.126,3.22,1.68,1.68,1.68,1.0,0.974,14.9,87.0,0.0
full_eto,001,2010,8,2010-03-29,initial,0.6,0.131,3.51,1.83,1.83,1.83,1.0,1.0,15.8,102.7,0.0
full_eto,001,2010,9,2010-03-30,initial,0.6,0.135,4.09,2.14,2.14,2.14,1.0,0.996,17.7,120.4,0.0
full_eto,001,2010,10,2010-03-31,initial,0.6,0.14,3.98,2.08,2.08,2.08,1.0,0.979,18.7,139.2,0.0
full_eto,001,2010,11,2010-04-01,initial,0.6,0.144,4.67,2.43,2.43,2.43,1.0,1.0,19.6,158.8,0.0
full_eto,001,2010,12,2010-04-02,initial,0.6,0.148,4.94,2.56,2.56,2.56,1.0,1.0,19.6,178.4,0.0
full_eto,001,2010,13,2010-04-03,initial,0.6,0.153,4.79,2.49,2.49,2.49,1.0,1.0,18.5,196.9,0.0
full_eto,001,2010,14,2010-04-04,initial,0.6,0.157,4.39,2.28,2.28,2.28,1.0,1.0,18.1,215.0,0.0
full_eto,001,2010,15,2010-04-05,initial,0.6,0.162,4.83,2.52,2.52,2.52,1.0,1.0,20.9,235.9,0.0
full_eto,001,2010,16,2010-04-06,initial,0.6,0.166,4.58,2.4,2.4,2.4,1.0,1.0,22.1,258.0,0.0
full_eto,001,2010,17,2010-04-07,initial,0.6,0.17,4.59,2.4,2.4,2.4,1.0,1.0,22.6,280.5,0.0
full_eto,001,2010,18,2010-04-08,initial,0.6,0.175,4.35,2.28,2.28,2.28,1.0,1.0,23.1,303.6,0.0
full_eto,001,2010,19,2010-04-09,initial,0.6,0.179,4.53,2.36,2.36,2.36,1.0,1.0,23.5,327.1,0.0
full_eto,001,2010,20,2010-04-10,initial,0.6,0.184,3.89,2.02,2.02,2.02,1.0,1.0,22.4,349.5,0.0
full_eto,001,2010,21,2010-04-11,initial,0.6,0.188,4.35,2.26,2.26,2.26,1.0,1.0,22.0,371.5,0.0
full_eto,001,2010,22,2010-04-12,initial,0.6,0.192,4.19,2.19,2.19,2.19,1.0,1.0,24.9,396.4,0.0
full_eto,001,2010,23,2010-04-13,initial,0.6,0.197,4.22,2.21,2.21,2.21,1.0,0.952,26.2,422.6,0.0
full_eto,001,2010,24,2010-04-14,initial,0.6,0.201,4.7,2.45,2.45,2.45,1.0,1.0,27.6,450.2,0.0
full_eto,001,2010,25,2010-04-15,initial,0.6,0.206,4.07,2.11,2.11,2.11,1.0,1.0,27.4,477.6,0.0
full_eto,001,2010,26,2010-04-16,initial,0.6,0.21,4.09,2.13,2.13,2.13,1.0,1.0,28.7,506.3,0.0
full_eto,001,2010,27,2010-04-17,initial,0.6,0.214,5.16,2.69,2.69,2.69,1.0,1.0,30.2,536.5,0.0
full_eto,001,2010,28,2010-04-18,initial,0.6,0.219,5.02,2.61,2.61,2.61,1.0,1.0,29.7,566.2,0.0
full_eto,001,2010,29,2010-04-19,initial,0.6,0.223,5.13,2.66,2.66,2.66,1.0,1.0,30.5,596.7,0.0
full_eto,001,2010,30,2010-04-20,initial,0.6,0.228,4.85,2.52,2.52,2.52,1.0,1.0,30.3,627.0,0.0
full_eto,001,2010,31,2010-04-21,development,0.6,0.228,4.65,2.42,2.42,2.42,1.0,1.0,27.1,654.2,0.0
full_eto,001,2010,32,2010-04-22,development,0.614,0.243,4.11,2.2,2.2,2.2,1.0,1.0,35.3,689.5,0.0
full_eto,001,2010,33,2010-04-23,development,0.628,0.259,4.27,2.33,2.33,2.33,1.0,1.0,35.0,724.5,0.0
full_eto,001,2010,34,2010-04-24,development,0.642,0.275,4.5,2.51,2.51,2.51,1.0,1.0,40.0,764.5,0.0
full_eto,001,2010,35,2010-04-25,development,0.656,0.291,4.65,2.64,2.64,2.64,1.0,1.0,40.2,804.7,0.0
full_eto,001,2010,36,2010-04-26,development,0.671,0.307,5.4,3.14,3.14,3.14,1.0,1.0,43.2,848.0,0.0
full_eto,001,2010,37,2010-04-27,development,0.685,0.323,4.53,2.69,2.69,2.69,1.0,1.0,46.1,894.1,0.0
full_eto,001,2010,38,2010-04-28,development,0.699,0.339,4.55,2.76,2.76,2.76,1.0,1.0,44.6,938.8,0.0
full_eto,001,2010,39,2010-04-29,development,0.713,0.355,3.76,2.33,2.33,2.33,1.0,1.0,40.9,979.6,0.0
full_eto,001,2010,40,2010-04-30,development,0.727,0.371,3.28,2.07,2.07,2.09,1.0,1.0,27.2,1006.8,0.0
full_eto,001,2010,41,2010-05-01,development,0.741,0.387,3.58,2.3,2.3,2.4,1.0,1.0,40.4,1047.1,0.0
full_eto,001,2010,42,2010-05-02,development,0.755,0.403,4.39,2.89,2.89,2.89,1.0,1.0,60.2,1107.3,0.0
full_eto,001,2010,43,2010-05-03,development,0.769,0.419,4.6,3.07,3.07,3.07,1.0,1.0,63.4,1170.7,0.0
full_eto,001,2010,44,2010-05-04,development,0.783,0.435,4.67,3.18,3.18,3.18,1.0,1.0,65.3,1236.0,0.0
full_eto,001,2010,45,2010-05-05,development,0.797,0.451,5.02,3.47,3.47,3.47,1.0,1.0,68.3,1304.3,0.0
full_eto,001,2010,46,2010-05-06,development,0.812,0.467,5.31,3.74,3.74,3.74,1.0,1.0,71.0,1375.3,0.0
full_eto,001,2010,47,2010-05-07,development,0.826,0.483,4.82,3.45,3.45,3.45,1.0,1.0,71.6,1446.9,0.0
full_eto,001,2010,48,2010-05-08,development,0.84,0.499,4.97,3.61,3.61,3.61,1.0,0.766,54.3,1501.2,0.0
full_eto,001,2010,49,2010-05-09,development,0.854,0.515,4.78,3.53,3.53,3.53,1.0,0.699,46.2,1547.4,0.0
full_eto,001,2010,50,2010-05-10,development,0.868,0.531,5.18,3.89,3.89,3.89,1.0,0.871,58.9,1606.3,0.0
full_eto,001,2010,51,2010-05-11,development,0.882,0.547,4.94,3.79,3.79,3.79,1.0,1.0,77.1,1683.4,0.0
full_eto,001,2010,52,2010-05-12,development,0.896,0.563,5.15,4.0,4.0,4.0,1.0,1.0,83.7,1767.1,0.0
full_eto,001,2010,53,2010-05-13,development,0.91,0.579,5.61,4.43,4.43,4.43,1.0,1.0,87.5,1854.6,0.0
full_eto,001,2010,54,2010-05-14,development,0.924,0.595,6.54,5.24,5.24,5.24,1.0,0.949,85.6,1940.2,0.0
full_eto,001,2010,55,2010-05-15,development,0.938,0.611,5.72,4.64,4.64,4.64,1.0,0.799,71.0,2011.2,0.0
full_eto,001,2010,56,2010-05-16,development,0.953,0.627,5.51,4.53,4.53,4.53,1.0,0.484,41.8,2053.0,0.0
full_eto,001,2010,57,2010-05-17,development,0.967,0.642,5.14,4.29,4.29,4.29,1.0,0.584,44.9,2097.8,0.0
full_eto,001,2010,58,2010-05-18,development,0.981,0.658,4.93,4.2,4.2,4.2,1.0,1.0,84.1,2181.9,0.0
full_eto,001,2010,59,2010-05-19,development,0.995,0.674,5.62,4.87,4.87,4.87,1.0,1.0,97.3,2279.3,0.0
full_eto,001,2010,60,2010-05-20,development,1.009,0.69,5.82,5.1,5.1,5.1,1.0,1.0,100.8,2380.1,0.0
full_eto,001,2010,61,2010-05-21,development,1.023,0.706,5.51,4.89,4.89,4.89,1.0,1.0,105.7,2485.7,0.0
full_eto,001,2010,62,2010-05-22,development,1.037,0.722,5.65,5.08,5.08,5.08,1.0,1.0,104.8,2590.6,0.0
full_eto,001,2010,63,2010-05-23,development,1.051,0.738,5.26,4.81,4.81,4.81,1.0,1.0,110.0,2700.6,0.0
full_eto,001,2010,64,2010-05-24,development,1.065,0.754,5.4,5.0,5.0,5.0,1.0,1.0,113.6,2814.2,0.0
full_eto,001,2010,65,2010-05-25,development,1.079,0.77,5.55,5.2,5.2,5.2,1.0,1.0,115.2,2929.4,0.0
full_eto,001,2010,66,2010-05-26,development,1.094,0.786,5.89,5.57,5.57,5.57,1.0,1.0,117.4,3046.8,0.0
full_eto,001,2010,67,2010-05-27,development,1.108,0.802,5.33,5.12,5.12,5.12,1.0,0.922,95.9,3142.7,0.0
full_eto,001,2010,68,2010-05-28,development,1.122,0.818,5.12,5.0,5.0,5.0,1.0,1.0,118.5,3261.2,0.0
full_eto,001,2010,69,2010-05-29,development,1.136,0.834,5.62,5.54,5.54,5.54,1.0,1.0,126.1,3387.4,0.0
full_eto,001,2010,70,2010-05-30,development,1.15,0.85,5.37,5.35,5.35,5.35,1.0,1.0,127.6,3515.0,0.0
full_eto,001,2010,71,2010-05-31,mid,1.15,0.85,5.29,5.26,5.26,5.26,1.0,0.991,127.0,3642.0,0.0
full_eto,001,2010,72,2010-06-01,mid,1.15,0.85,5.04,5.01,5.01,5.01,1.0,0.691,83.4,3725.3,0.0
full_eto,001,2010,73,2010-06-02,mid,1.15,0.85,5.37,5.35,5.35,5.35,1.0,0.905,111.7,3837.0,0.0
full_eto,001,2010,74,2010-06-03,mid,1.15,0.85,5.15,5.13,5.13,5.13,1.0,1.0,114.9,3951.9,0.0
full_eto,001,2010,75,2010-06-04,mid,1.15,0.85,5.6,5.59,5.59,5.59,1.0,1.0,125.0,4076.9,0.0
full_eto,001,2010,76,2010-06-05,mid,1.15,0.85,5.74,5.73,5.73,5.73,1.0,1.0,129.3,4206.2,0.0
full_eto,001,2010,77,2010-06-06,mid,1.15,0.85,6.27,6.23,6.23,6.23,1.0,0.711,88.9,4295.1,0.0
full_eto,001,2010,78,2010-06-07,mid,1.15,0.85,5.02,4.98,4.98,4.98,1.0,0.492,61.3,4356.4,0.0
full_eto,001,2010,79,2010-06-08,mid,1.15,0.85,5.78,5.77,5.77,5.77,1.0,1.0,121.3,4477.7,0.0
full_eto,001,2010,80,2010-06-09,mid,1.15,0.85,5.8,5.8,5.8,5.8,1.0,1.0,130.7,4608.3,0.0
full_eto,001,2010,81,2010-06-10,mid,1.15,0.85,5.8,5.78,5.78,5.78,1.0,1.0,131.1,4739.5,0.0
