# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for tomato planted 11-01
#   under openfield (fall-winter season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9755
# CROP: tomato
# PLANTING_DATE: 11-01
# CONDITION: openfield
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-01,initial,0.6,0.1,6.14,3.68,3.68,1.0,1.0,14.2,14.2,0.0
full_eto,001,2010,2,2010-11-02,initial,0.6,0.104,7.05,4.23,4.23,1.0,1.0,14.7,28.8,0.0
full_eto,001,2010,3,2010-11-03,initial,0.6,0.109,7.46,4.48,4.48,1.0,1.0,14.6,43.5,0.0
full_eto,001,2010,4,2010-11-04,initial,0.6,0.113,7.54,4.52,4.52,1.0,1.0,14.5,57.9,0.0
full_eto,001,2010,5,2010-11-05,initial,0.6,0.118,6.74,4.04,4.04,1.0,1.0,15.0,72.9,0.0
full_eto,001,2010,6,2010-11-06,initial,0.6,0.122,6.42,3.85,3.85,1.0,1.0,14.8,87.7,0.0
full_eto,001,2010,7,2010-11-07,initial,0.6,0.126,5.56,3.34,3.34,1.0,1.0,16.0,103.7,0.0
full_eto,001,2010,8,2010-11-08,initial,0.6,0.131,5.94,3.56,3.56,1.0,1.0,17.2,120.9,0.0
full_eto,001,2010,9,2010-11-09,initial,0.6,0.135,6.31,3.78,3.78,1.0,1.0,14.4,135.3,0.0
full_eto,001,2010,10,2010-11-10,initial,0.6,0.14,6.57,3.94,3.94,1.0,1.0,17.2,152.5,0.0
full_eto,001,2010,11,2010-11-11,initial,0.6,0.144,6.2,3.72,3.72,1.0,1.0,17.8,170.3,0.0
full_eto,001,2010,12,2010-11-12,initial,0.6,0.148,6.34,3.81,3.81,1.0,1.0,18.4,188.7,0.0
full_eto,001,2010,13,2010-11-13,initial,0.6,0.153,6.08,3.65,3.65,1.0,1.0,14.4,203.1,0.0
full_eto,001,2010,14,2010-11-14,initial,0.6,0.157,6.64,3.98,3.98,1.0,1.0,18.9,222.1,0.0
full_eto,001,2010,15,2010-11-15,initial,0.6,0.162,5.82,3.49,3.49,1.0,1.0,14.0,236.1,0.0
full_eto,001,2010,16,2010-11-16,initial,0.6,0.166,5.09,3.05,3.08,1.0,1.0,18.2,254.3,0.0
full_eto,001,2010,17,2010-11-17,initial,0.6,0.17,5.53,3.32,3.32,1.0,1.0,19.5,273.8,0.0
full_eto,001,2010,18,2010-11-18,initial,0.6,0.175,6.38,3.83,3.83,1.0,1.0,20.7,294.6,0.0
full_eto,001,2010,19,2010-11-19,initial,0.6,0.179,6.67,4.0,4.0,1.0,1.0,21.6,316.2,0.0
full_eto,001,2010,20,2010-11-20,initial,0.6,0.184,6.51,3.91,3.91,1.0,1.0,21.7,337.9,0.0
full_eto,001,2010,21,2010-11-21,initial,0.6,0.188,5.38,3.23,3.23,1.0,1.0,22.4,360.3,0.0
full_eto,001,2010,22,2010-11-22,initial,0.6,0.192,5.26,3.15,3.15,1.0,1.0,23.2,383.5,0.0
full_eto,001,2010,23,2010-11-23,initial,0.6,0.197,5.34,3.2,3.2,1.0,1.0,23.8,407.3,0.0
full_eto,001,2010,24,2010-11-24,initial,0.6,0.201,5.42,3.25,3.25,1.0,1.0,20.5,427.7,0.0
full_eto,001,2010,25,2010-11-25,initial,0.6,0.206,5.69,3.42,3.42,1.0,1.0,23.1,450.8,0.0
full_eto,001,2010,26,2010-11-26,initial,0.6,0.21,5.84,3.5,3.5,1.0,1.0,23.6,474.4,0.0
full_eto,001,2010,27,2010-11-27,initial,0.6,0.214,6.19,3.71,3.71,1.0,1.0,23.9,498.3,0.0
full_eto,001,2010,28,2010-11-28,initial,0.6,0.219,6.42,3.85,3.85,1.0,1.0,24.8,523.1,0.0
full_eto,001,2010,29,2010-11-29,initial,0.6,0.223,5.61,3.37,3.37,1.0,1.0,26.5,549.6,0.0
full_eto,001,2010,30,2010-11-30,initial,0.6,0.228,5.74,3.45,3.45,1.0,1.0,27.5,577.1,0.0
full_eto,001,2010,31,2010-12-01,development,0.6,0.228,5.9,3.54,3.54,1.0,1.0,27.7,604.9,0.0
full_eto,001,2010,32,2010-12-02,development,0.614,0.243,6.03,3.7,3.7,1.0,1.0,29.8,634.7,0.0
full_eto,001,2010,33,2010-12-03,development,0.628,0.259,5.95,3.74,3.74,1.0,1.0,29.9,664.6,0.0
full_eto,001,2010,34,2010-12-04,development,0.642,0.275,5.97,3.83,3.83,1.0,1.0,31.8,696.4,0.0
full_eto,001,2010,35,2010-12-05,development,0.656,0.291,5.43,3.57,3.57,1.0,1.0,33.8,730.2,0.0
full_eto,001,2010,36,2010-12-06,development,0.671,0.307,4.82,3.23,3.23,1.0,1.0,34.9,765.1,0.0
full_eto,001,2010,37,2010-12-07,development,0.685,0.323,4.66,3.19,3.19,1.0,0.979,36.3,801.4,0.0
full_eto,001,2010,38,2010-12-08,development,0.699,0.339,4.34,3.04,3.04,1.0,0.996,35.6,837.0,0.0
full_eto,001,2010,39,2010-12-09,development,0.713,0.355,4.94,3.52,3.52,1.0,1.0,36.8,873.8,0.0
full_eto,001,2010,40,2010-12-10,development,0.727,0.371,4.26,3.09,3.11,1.0,1.0,40.5,914.3,0.0
full_eto,001,2010,41,2010-12-11,development,0.741,0.387,5.04,3.73,3.77,1.0,1.0,32.6,947.0,0.0
full_eto,001,2010,42,2010-12-12,development,0.755,0.403,3.4,2.56,2.56,1.0,0.523,18.6,965.6,0.0
full_eto,001,2010,43,2010-12-13,development,0.769,0.419,3.56,2.74,2.74,1.0,0.449,18.8,984.4,0.0
full_eto,001,2010,44,2010-12-14,development,0.783,0.435,3.47,2.72,2.72,1.0,0.682,30.5,1014.9,0.0
full_eto,001,2010,45,2010-12-15,development,0.797,0.451,4.56,3.63,3.63,1.0,0.855,32.5,1047.5,0.0
full_eto,001,2010,46,2010-12-16,development,0.812,0.467,4.43,3.59,3.59,1.0,1.0,50.9,1098.3,0.0
full_eto,001,2010,47,2010-12-17,development,0.826,0.483,4.82,3.98,3.98,1.0,1.0,52.9,1151.2,0.0
full_eto,001,2010,48,2010-12-18,development,0.84,0.499,3.83,3.22,3.22,1.0,0.87,46.4,1197.6,0.0
full_eto,001,2010,49,2010-12-19,development,0.854,0.515,4.29,3.66,3.66,1.0,0.708,40.3,1237.9,0.0
full_eto,001,2010,50,2010-12-20,development,0.868,0.531,5.4,4.68,4.68,1.0,0.959,53.3,1291.2,0.0
full_eto,001,2010,51,2010-12-21,development,0.882,0.547,4.99,4.4,4.4,1.0,1.0,56.8,1348.1,0.0
full_eto,001,2010,52,2010-12-22,development,0.896,0.563,4.69,4.21,4.21,1.0,1.0,55.4,1403.5,0.0
full_eto,001,2010,53,2010-12-23,development,0.91,0.579,5.55,5.05,5.05,1.0,1.0,56.2,1459.6,0.0
full_eto,001,2010,54,2010-12-24,development,0.924,0.595,5.87,5.42,5.42,1.0,1.0,67.1,1526.7,0.0
