# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for tomato planted 11-01
#   under underpv_high (fall-winter season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9755
# CROP: tomato
# PLANTING_DATE: 11-01
# CONDITION: underpv_high
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-01,initial,0.6,0.1,5.77,2.02,2.02,1.0,1.0,4.9,4.9,0.0
full_eto,001,2010,2,2010-11-02,initial,0.6,0.104,6.64,2.33,2.33,1.0,1.0,5.1,10.1,0.0
full_eto,001,2010,3,2010-11-03,initial,0.6,0.109,7.04,2.46,2.46,1.0,1.0,5.1,15.2,0.0
full_eto,001,2010,4,2010-11-04,initial,0.6,0.113,7.12,2.49,2.49,1.0,1.0,5.1,20.3,0.0
full_eto,001,2010,5,2010-11-05,initial,0.6,0.118,6.37,2.22,2.22,1.0,1.0,5.2,25.5,0.0
full_eto,001,2010,6,2010-11-06,initial,0.6,0.122,6.06,2.12,2.12,1.0,1.0,5.2,30.7,0.0
full_eto,001,2010,7,2010-11-07,initial,0.6,0.126,5.23,1.84,1.84,1.0,1.0,5.6,36.3,0.0
full_eto,001,2010,8,2010-11-08,initial,0.6,0.131,5.58,1.96,1.96,1.0,1.0,6.0,42.3,0.0
full_eto,001,2010,9,2010-11-09,initial,0.6,0.135,5.94,2.08,2.08,1.0,1.0,5.0,47.4,0.0
full_eto,001,2010,10,2010-11-10,initial,0.6,0.14,6.19,2.17,2.17,1.0,1.0,6.0,53.4,0.0
full_eto,001,2010,11,2010-11-11,initial,0.6,0.144,5.84,2.04,2.04,1.0,1.0,6.2,59.6,0.0
full_eto,001,2010,12,2010-11-12,initial,0.6,0.148,5.99,2.09,2.09,1.0,1.0,6.4,66.0,0.0
full_eto,001,2010,13,2010-11-13,initial,0.6,0.153,5.74,2.01,2.01,1.0,1.0,5.1,71.1,0.0
full_eto,001,2010,14,2010-11-14,initial,0.6,0.157,6.27,2.19,2.19,1.0,1.0,6.6,77.8,0.0
full_eto,001,2010,15,2010-11-15,initial,0.6,0.162,5.49,1.92,1.92,1.0,1.0,4.9,82.7,0.0
full_eto,001,2010,16,2010-11-16,initial,0.6,0.166,4.79,1.68,1.71,1.0,1.0,6.4,89.0,0.0
full_eto,001,2010,17,2010-11-17,initial,0.6,0.17,5.21,1.83,1.83,1.0,1.0,6.8,95.9,0.0
full_eto,001,2010,18,2010-11-18,initial,0.6,0.175,6.02,2.11,2.11,1.0,1.0,7.2,103.1,0.0
full_eto,001,2010,19,2010-11-19,initial,0.6,0.179,6.3,2.2,2.2,1.0,1.0,7.6,110.7,0.0
full_eto,001,2010,20,2010-11-20,initial,0.6,0.184,6.14,2.15,2.15,1.0,1.0,7.6,118.3,0.0
full_eto,001,2010,21,2010-11-21,initial,0.6,0.188,5.06,1.77,1.77,1.0,1.0,7.8,126.2,0.0
full_eto,001,2010,22,2010-11-22,initial,0.6,0.192,4.94,1.74,1.74,1.0,1.0,8.1,134.3,0.0
full_eto,001,2010,23,2010-11-23,initial,0.6,0.197,5.02,1.76,1.76,1.0,1.0,8.3,142.6,0.0
full_eto,001,2010,24,2010-11-24,initial,0.6,0.201,5.1,1.79,1.79,1.0,1.0,7.2,149.8,0.0
full_eto,001,2010,25,2010-11-25,initial,0.6,0.206,5.36,1.88,1.88,1.0,1.0,8.1,157.9,0.0
full_eto,001,2010,26,2010-11-26,initial,0.6,0.21,5.5,1.93,1.93,1.0,1.0,8.2,166.1,0.0
full_eto,001,2010,27,2010-11-27,initial,0.6,0.214,5.83,2.04,2.04,1.0,1.0,8.4,174.5,0.0
full_eto,001,2010,28,2010-11-28,initial,0.6,0.219,6.05,2.12,2.12,1.0,1.0,8.6,183.1,0.0
full_eto,001,2010,29,2010-11-29,initial,0.6,0.223,5.29,1.85,1.85,1.0,1.0,9.3,192.4,0.0
