# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for tomato planted 11-01
#   under underpv_low (fall-winter season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9755
# CROP: tomato
# PLANTING_DATE: 11-01
# CONDITION: underpv_low
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-01,initial,0.6,0.1,6.02,3.13,3.13,1.0,1.0,9.2,9.2,0.0
full_eto,001,2010,2,2010-11-02,initial,0.6,0.104,6.92,3.6,3.6,1.0,1.0,9.5,18.7,0.0
full_eto,001,2010,3,2010-11-03,initial,0.6,0.109,7.32,3.8,3.8,1.0,1.0,9.5,28.3,0.0
full_eto,001,2010,4,2010-11-04,initial,0.6,0.113,7.4,3.84,3.84,1.0,1.0,9.4,37.7,0.0
full_eto,001,2010,5,2010-11-05,initial,0.6,0.118,6.62,3.44,3.44,1.0,1.0,9.7,47.4,0.0
full_eto,001,2010,6,2010-11-06,initial,0.6,0.122,6.3,3.27,3.27,1.0,1.0,9.6,57.0,0.0
full_eto,001,2010,7,2010-11-07,initial,0.6,0.126,5.46,2.84,2.84,1.0,1.0,10.4,67.4,0.0
full_eto,001,2010,8,2010-11-08,initial,0.6,0.131,5.82,3.03,3.03,1.0,1.0,11.2,78.5,0.0
full_eto,001,2010,9,2010-11-09,initial,0.6,0.135,6.19,3.22,3.22,1.0,1.0,9.4,87.9,0.0
full_eto,001,2010,10,2010-11-10,initial,0.6,0.14,6.45,3.35,3.35,1.0,1.0,11.2,99.1,0.0
full_eto,001,2010,11,2010-11-11,initial,0.6,0.144,6.08,3.16,3.16,1.0,1.0,11.6,110.7,0.0
full_eto,001,2010,12,2010-11-12,initial,0.6,0.148,6.23,3.24,3.24,1.0,1.0,11.9,122.6,0.0
full_eto,001,2010,13,2010-11-13,initial,0.6,0.153,5.97,3.1,3.1,1.0,1.0,9.4,132.0,0.0
full_eto,001,2010,14,2010-11-14,initial,0.6,0.157,6.52,3.39,3.39,1.0,1.0,12.3,144.3,0.0
full_eto,001,2010,15,2010-11-15,initial,0.6,0.162,5.71,2.97,2.97,1.0,1.0,9.1,153.4,0.0
full_eto,001,2010,16,2010-11-16,initial,0.6,0.166,4.99,2.59,2.62,1.0,1.0,11.8,165.2,0.0
full_eto,001,2010,17,2010-11-17,initial,0.6,0.17,5.43,2.82,2.82,1.0,1.0,12.7,178.0,0.0
full_eto,001,2010,18,2010-11-18,initial,0.6,0.175,6.27,3.25,3.25,1.0,1.0,13.5,191.4,0.0
full_eto,001,2010,19,2010-11-19,initial,0.6,0.179,6.55,3.4,3.4,1.0,1.0,14.0,205.5,0.0
full_eto,001,2010,20,2010-11-20,initial,0.6,0.184,6.39,3.32,3.32,1.0,1.0,14.1,219.6,0.0
full_eto,001,2010,21,2010-11-21,initial,0.6,0.188,5.27,2.74,2.74,1.0,1.0,14.5,234.1,0.0
full_eto,001,2010,22,2010-11-22,initial,0.6,0.192,5.16,2.68,2.68,1.0,1.0,15.1,249.2,0.0
full_eto,001,2010,23,2010-11-23,initial,0.6,0.197,5.24,2.72,2.72,1.0,1.0,15.4,264.7,0.0
full_eto,001,2010,24,2010-11-24,initial,0.6,0.201,5.32,2.76,2.76,1.0,1.0,13.3,278.0,0.0
full_eto,001,2010,25,2010-11-25,initial,0.6,0.206,5.59,2.9,2.9,1.0,1.0,15.0,293.0,0.0
full_eto,001,2010,26,2010-11-26,initial,0.6,0.21,5.73,2.98,2.98,1.0,1.0,15.4,308.3,0.0
full_eto,001,2010,27,2010-11-27,initial,0.6,0.214,6.08,3.16,3.16,1.0,1.0,15.5,323.9,0.0
full_eto,001,2010,28,2010-11-28,initial,0.6,0.219,6.3,3.27,3.27,1.0,1.0,16.1,339.9,0.0
full_eto,001,2010,29,2010-11-29,initial,0.6,0.223,5.51,2.86,2.86,1.0,1.0,17.2,357.2,0.0
full_eto,001,2010,30,2010-11-30,initial,0.6,0.228,5.64,2.93,2.93,1.0,1.0,17.9,375.1,0.0
full_eto,001,2010,31,2010-12-01,development,0.6,0.228,5.79,3.01,3.01,1.0,1.0,18.1,393.1,0.0
full_eto,001,2010,32,2010-12-02,development,0.614,0.243,5.92,3.15,3.15,1.0,1.0,19.4,412.5,0.0
full_eto,001,2010,33,2010-12-03,development,0.628,0.259,5.84,3.18,3.18,1.0,1.0,19.4,432.0,0.0
full_eto,001,2010,34,2010-12-04,development,0.642,0.275,5.86,3.26,3.26,1.0,1.0,20.7,452.7,0.0
full_eto,001,2010,35,2010-12-05,development,0.656,0.291,5.33,3.03,3.03,1.0,1.0,21.9,474.6,0.0
full_eto,001,2010,36,2010-12-06,development,0.671,0.307,4.72,2.75,2.75,1.0,1.0,22.7,497.3,0.0
full_eto,001,2010,37,2010-12-07,development,0.685,0.323,4.56,2.71,2.71,1.0,0.898,21.7,518.9,0.0
full_eto,001,2010,38,2010-12-08,development,0.699,0.339,4.25,2.58,2.58,1.0,0.916,21.3,540.3,0.0
full_eto,001,2010,39,2010-12-09,development,0.713,0.355,4.84,2.99,2.99,1.0,1.0,24.0,564.2,0.0
full_eto,001,2010,40,2010-12-10,development,0.727,0.371,4.17,2.63,2.65,1.0,0.959,25.3,589.5,0.0
full_eto,001,2010,41,2010-12-11,development,0.741,0.387,4.93,3.17,3.21,1.0,0.948,20.1,609.6,0.0
full_eto,001,2010,42,2010-12-12,development,0.755,0.403,3.31,2.18,2.18,1.0,0.443,10.2,619.8,0.0
full_eto,001,2010,43,2010-12-13,development,0.769,0.419,3.47,2.33,2.33,1.0,0.369,10.0,629.9,0.0
full_eto,001,2010,44,2010-12-14,development,0.783,0.435,3.39,2.31,2.31,1.0,0.602,17.5,647.4,0.0
full_eto,001,2010,45,2010-12-15,development,0.797,0.451,4.46,3.09,3.09,1.0,0.775,19.1,666.6,0.0
