# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for tomato planted 11-01
#   under underpv_medium (fall-winter season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9755
# CROP: tomato
# PLANTING_DATE: 11-01
# CONDITION: underpv_medium
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-01,initial,0.6,0.1,5.92,2.95,2.95,1.0,1.0,7.1,7.1,0.0
full_eto,001,2010,2,2010-11-02,initial,0.6,0.104,6.8,3.39,3.39,1.0,1.0,7.3,14.4,0.0
full_eto,001,2010,3,2010-11-03,initial,0.6,0.109,7.21,3.58,3.58,1.0,1.0,7.3,21.7,0.0
full_eto,001,2010,4,2010-11-04,initial,0.6,0.113,7.29,3.62,3.62,1.0,1.0,7.2,29.0,0.0
full_eto,001,2010,5,2010-11-05,initial,0.6,0.118,6.52,3.24,3.24,1.0,1.0,7.5,36.5,0.0
full_eto,001,2010,6,2010-11-06,initial,0.6,0.122,6.2,3.08,3.08,1.0,1.0,7.4,43.8,0.0
full_eto,001,2010,7,2010-11-07,initial,0.6,0.126,5.36,2.67,2.67,1.0,1.0,8.0,51.8,0.0
full_eto,001,2010,8,2010-11-08,initial,0.6,0.131,5.73,2.85,2.85,1.0,1.0,8.6,60.4,0.0
full_eto,001,2010,9,2010-11-09,initial,0.6,0.135,6.09,3.03,3.03,1.0,1.0,7.2,67.6,0.0
full_eto,001,2010,10,2010-11-10,initial,0.6,0.14,6.34,3.15,3.15,1.0,1.0,8.6,76.2,0.0
full_eto,001,2010,11,2010-11-11,initial,0.6,0.144,5.98,2.97,2.97,1.0,1.0,8.9,85.1,0.0
full_eto,001,2010,12,2010-11-12,initial,0.6,0.148,6.13,3.05,3.05,1.0,1.0,9.2,94.3,0.0
full_eto,001,2010,13,2010-11-13,initial,0.6,0.153,5.87,2.92,2.92,1.0,1.0,7.2,101.6,0.0
full_eto,001,2010,14,2010-11-14,initial,0.6,0.157,6.42,3.19,3.19,1.0,1.0,9.5,111.0,0.0
full_eto,001,2010,15,2010-11-15,initial,0.6,0.162,5.62,2.79,2.79,1.0,1.0,7.0,118.0,0.0
full_eto,001,2010,16,2010-11-16,initial,0.6,0.166,4.91,2.44,2.47,1.0,1.0,9.1,127.1,0.0
full_eto,001,2010,17,2010-11-17,initial,0.6,0.17,5.34,2.66,2.66,1.0,1.0,9.8,136.9,0.0
full_eto,001,2010,18,2010-11-18,initial,0.6,0.175,6.17,3.06,3.06,1.0,1.0,10.3,147.3,0.0
