# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 11-11
#   under underpv_high (fall-winter season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9705
# CROP: tomato
# PLANTING_DATE: 11-11
# CONDITION: underpv_high
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-11,initial,0.6,0.1,2.06,0.71,0.71,0.71,1.0,1.0,4.3,4.3,0.0
full_eto,001,2010,2,2010-11-12,initial,0.6,0.104,1.82,0.63,0.63,0.63,1.0,1.0,4.5,8.8,0.0
full_eto,001,2010,3,2010-11-13,initial,0.6,0.109,1.56,0.53,0.53,0.53,1.0,1.0,3.6,12.5,0.0
full_eto,001,2010,4,2010-11-14,initial,0.6,0.113,1.86,0.64,0.64,0.64,1.0,1.0,4.8,17.2,0.0
full_eto,001,2010,5,2010-11-15,initial,0.6,0.118,1.64,0.56,0.56,0.56,1.0,1.0,3.6,20.8,0.0
full_eto,001,2010,6,2010-11-16,initial,0.6,0.122,1.99,0.69,0.69,0.72,1.0,1.0,4.7,25.5,0.0
full_eto,001,2010,7,2010-11-17,initial,0.6,0.126,1.83,0.63,0.63,0.63,1.0,1.0,5.1,30.6,0.0
full_eto,001,2010,8,2010-11-18,initial,0.6,0.131,1.81,0.63,0.63,0.63,1.0,1.0,5.4,36.0,0.0
full_eto,001,2010,9,2010-11-19,initial,0.6,0.135,1.99,0.69,0.69,0.69,1.0,1.0,5.7,41.7,0.0
full_eto,001,2010,10,2010-11-20,initial,0.6,0.14,2.14,0.74,0.74,0.74,1.0,1.0,5.8,47.5,0.0
full_eto,001,2010,11,2010-11-21,initial,0.6,0.144,2.13,0.74,0.74,0.74,1.0,1.0,6.0,53.5,0.0
full_eto,001,2010,12,2010-11-22,initial,0.6,0.148,2.19,0.77,0.77,0.77,1.0,1.0,6.3,59.8,0.0
full_eto,001,2010,13,2010-11-23,initial,0.6,0.153,1.81,0.63,0.63,0.63,1.0,1.0,6.5,66.3,0.0
full_eto,001,2010,14,2010-11-24,initial,0.6,0.157,1.67,0.58,0.58,0.58,1.0,1.0,5.6,71.9,0.0
full_eto,001,2010,15,2010-11-25,initial,0.6,0.162,1.86,0.64,0.64,0.64,1.0,1.0,6.3,78.2,0.0
full_eto,001,2010,16,2010-11-26,initial,0.6,0.166,1.89,0.66,0.66,0.66,1.0,1.0,6.5,84.7,0.0
full_eto,001,2010,17,2010-11-27,initial,0.6,0.17,1.98,0.69,0.69,0.69,1.0,1.0,6.6,91.4,0.0
full_eto,001,2010,18,2010-11-28,initial,0.6,0.175,1.7,0.59,0.59,0.59,1.0,1.0,6.9,98.3,0.0
full_eto,001,2010,19,2010-11-29,initial,0.6,0.179,1.8,0.62,0.62,0.62,1.0,1.0,7.4,105.7,0.0
full_eto,001,2010,20,2010-11-30,initial,0.6,0.184,1.59,0.55,0.55,0.55,1.0,1.0,7.8,113.5,0.0
full_eto,001,2010,21,2010-12-01,initial,0.6,0.188,1.71,0.59,0.59,0.59,1.0,1.0,8.0,121.5,0.0
full_eto,001,2010,22,2010-12-02,initial,0.6,0.192,1.78,0.62,0.62,0.62,1.0,1.0,8.2,129.7,0.0
full_eto,001,2010,23,2010-12-03,initial,0.6,0.197,1.69,0.58,0.58,0.58,1.0,1.0,7.9,137.6,0.0
full_eto,001,2010,24,2010-12-04,initial,0.6,0.201,1.71,0.59,0.59,0.59,1.0,1.0,8.1,145.8,0.0
full_eto,001,2010,25,2010-12-05,initial,0.6,0.206,1.71,0.59,0.59,0.59,1.0,1.0,8.4,154.1,0.0
full_eto,001,2010,26,2010-12-06,initial,0.6,0.21,2.33,0.82,0.82,0.82,1.0,0.877,7.3,161.4,0.0
full_eto,001,2010,27,2010-12-07,initial,0.6,0.214,1.86,0.65,0.65,0.65,1.0,0.729,6.3,167.7,0.0
full_eto,001,2010,28,2010-12-08,initial,0.6,0.219,1.59,0.56,0.56,0.56,1.0,0.746,6.0,173.7,0.0
full_eto,001,2010,29,2010-12-09,initial,0.6,0.223,1.95,0.68,0.68,0.68,1.0,0.892,7.2,180.9,0.0
full_eto,001,2010,30,2010-12-10,initial,0.6,0.228,1.84,0.64,0.64,0.66,1.0,0.789,6.9,187.8,0.0
full_eto,001,2010,31,2010-12-11,development,0.6,0.228,2.12,0.74,0.74,0.78,1.0,0.778,5.2,193.0,0.0
full_eto,001,2010,32,2010-12-12,development,0.614,0.243,1.79,0.66,0.66,0.66,1.0,0.273,2.1,195.1,0.0
full_eto,001,2010,33,2010-12-13,development,0.628,0.259,1.54,0.57,0.57,0.57,1.0,0.199,1.8,196.9,0.0
full_eto,001,2010,34,2010-12-14,development,0.642,0.275,0.98,0.37,0.37,0.37,1.0,0.432,4.3,201.2,0.0
full_eto,001,2010,35,2010-12-15,development,0.656,0.291,1.26,0.48,0.48,0.48,1.0,0.605,5.2,206.4,0.0
full_eto,001,2010,36,2010-12-16,development,0.671,0.307,1.3,0.5,0.5,0.5,1.0,0.943,11.1,217.4,0.0
full_eto,001,2010,37,2010-12-17,development,0.685,0.323,1.37,0.54,0.54,0.54,1.0,0.962,12.0,229.4,0.0
full_eto,001,2010,38,2010-12-18,development,0.699,0.339,1.84,0.76,0.76,0.76,1.0,0.62,7.9,237.2,0.0
full_eto,001,2010,39,2010-12-19,development,0.713,0.355,1.83,0.77,0.77,0.77,1.0,0.458,6.3,243.5,0.0
full_eto,001,2010,40,2010-12-20,development,0.727,0.371,1.83,0.78,0.78,0.78,1.0,0.709,9.7,253.2,0.0
full_eto,001,2010,41,2010-12-21,development,0.741,0.387,1.73,0.74,0.74,0.74,1.0,0.817,11.5,264.7,0.0
full_eto,001,2010,42,2010-12-22,development,0.755,0.403,1.81,0.79,0.79,0.79,1.0,0.887,12.4,277.1,0.0
full_eto,001,2010,43,2010-12-23,development,0.769,0.419,2.27,1.02,1.02,1.02,1.0,0.871,12.4,289.5,0.0
full_eto,001,2010,44,2010-12-24,development,0.783,0.435,1.96,0.89,0.89,0.89,1.0,0.81,13.9,303.5,0.0
full_eto,001,2010,45,2010-12-25,development,0.797,0.451,1.6,0.74,0.74,0.74,1.0,0.775,14.0,317.5,0.0
full_eto,001,2010,46,2010-12-26,development,0.812,0.467,1.39,0.66,0.66,0.66,1.0,0.869,16.1,333.6,0.0
full_eto,001,2010,47,2010-12-27,development,0.826,0.483,1.75,0.84,0.84,0.84,1.0,0.871,16.6,350.2,0.0
full_eto,001,2010,48,2010-12-28,development,0.84,0.499,1.97,0.96,0.96,0.96,1.0,0.931,18.2,368.5,0.0
full_eto,001,2010,49,2010-12-29,development,0.854,0.515,1.93,0.95,0.95,1.05,1.0,0.906,6.4,374.9,0.0
full_eto,001,2010,50,2010-12-30,development,0.868,0.531,1.73,0.88,0.88,0.97,1.0,0.662,7.7,382.6,0.0
full_eto,001,2010,51,2010-12-31,development,0.882,0.547,1.7,0.89,0.89,0.95,1.0,0.495,9.3,391.9,0.0
full_eto,001,2010,52,2011-01-01,development,0.896,0.563,1.44,0.76,0.76,0.76,1.0,0.478,10.3,402.2,0.0
full_eto,001,2010,53,2011-01-02,development,0.91,0.579,1.23,0.65,0.65,0.65,1.0,0.607,13.4,415.6,0.0
full_eto,001,2010,54,2011-01-03,development,0.924,0.595,1.18,0.64,0.64,0.64,1.0,0.582,9.9,425.6,0.0
full_eto,001,2010,55,2011-01-04,development,0.938,0.611,1.8,0.99,0.99,0.99,1.0,0.482,11.6,437.1,0.0
full_eto,001,2010,56,2011-01-05,development,0.953,0.627,1.83,1.03,1.03,1.03,1.0,0.442,11.2,448.3,0.0
full_eto,001,2010,57,2011-01-06,development,0.967,0.642,1.84,1.05,1.05,1.05,1.0,0.492,12.7,461.0,0.0
