# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 11-11
#   under underpv_low (fall-winter season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9705
# CROP: tomato
# PLANTING_DATE: 11-11
# CONDITION: underpv_low
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-11,initial,0.6,0.1,3.04,1.58,1.58,1.58,1.0,1.0,8.0,8.0,0.0
full_eto,001,2010,2,2010-11-12,initial,0.6,0.104,2.73,1.42,1.42,1.42,1.0,1.0,8.4,16.4,0.0
full_eto,001,2010,3,2010-11-13,initial,0.6,0.109,2.3,1.19,1.19,1.19,1.0,1.0,6.7,23.1,0.0
full_eto,001,2010,4,2010-11-14,initial,0.6,0.113,2.79,1.45,1.45,1.45,1.0,1.0,8.9,32.0,0.0
full_eto,001,2010,5,2010-11-15,initial,0.6,0.118,2.39,1.24,1.24,1.24,1.0,1.0,6.6,38.6,0.0
full_eto,001,2010,6,2010-11-16,initial,0.6,0.122,2.87,1.5,1.5,1.53,1.0,1.0,8.7,47.3,0.0
full_eto,001,2010,7,2010-11-17,initial,0.6,0.126,2.68,1.4,1.4,1.4,1.0,1.0,9.4,56.7,0.0
full_eto,001,2010,8,2010-11-18,initial,0.6,0.131,2.71,1.41,1.41,1.41,1.0,1.0,10.1,66.8,0.0
full_eto,001,2010,9,2010-11-19,initial,0.6,0.135,2.94,1.53,1.53,1.53,1.0,1.0,10.6,77.4,0.0
full_eto,001,2010,10,2010-11-20,initial,0.6,0.14,3.12,1.62,1.62,1.62,1.0,1.0,10.7,88.1,0.0
full_eto,001,2010,11,2010-11-21,initial,0.6,0.144,3.05,1.59,1.59,1.59,1.0,1.0,11.1,99.3,0.0
full_eto,001,2010,12,2010-11-22,initial,0.6,0.148,3.11,1.62,1.62,1.62,1.0,1.0,11.6,110.9,0.0
full_eto,001,2010,13,2010-11-23,initial,0.6,0.153,2.63,1.37,1.37,1.37,1.0,1.0,12.0,122.9,0.0
full_eto,001,2010,14,2010-11-24,initial,0.6,0.157,2.41,1.25,1.25,1.25,1.0,1.0,10.4,133.3,0.0
