# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 10-22
#   under openfield (fall-winter season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9805
# CROP: tomato
# PLANTING_DATE: 10-22
# CONDITION: openfield
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-22,initial,0.6,0.1,5.1,3.06,3.06,3.06,1.0,0.873,12.5,12.5,0.0
full_eto,001,2010,2,2010-10-23,initial,0.6,0.104,4.9,2.94,2.94,2.94,1.0,1.0,15.2,27.7,0.0
full_eto,001,2010,3,2010-10-24,initial,0.6,0.109,4.83,2.9,2.9,2.9,1.0,1.0,15.7,43.4,0.0
full_eto,001,2010,4,2010-10-25,initial,0.6,0.113,5.02,3.01,3.01,3.01,1.0,1.0,16.6,60.0,0.0
full_eto,001,2010,5,2010-10-26,initial,0.6,0.118,4.44,2.66,2.66,2.66,1.0,1.0,17.4,77.4,0.0
full_eto,001,2010,6,2010-10-27,initial,0.6,0.122,4.48,2.69,2.69,2.69,1.0,0.986,17.8,95.3,0.0
full_eto,001,2010,7,2010-10-28,initial,0.6,0.126,4.26,2.55,2.55,2.55,1.0,0.763,13.8,109.1,0.0
full_eto,001,2010,8,2010-10-29,initial,0.6,0.131,4.29,2.57,2.57,2.57,1.0,1.0,17.7,126.8,0.0
full_eto,001,2010,9,2010-10-30,initial,0.6,0.135,3.93,2.36,2.36,2.36,1.0,1.0,18.3,145.1,0.0
full_eto,001,2010,10,2010-10-31,initial,0.6,0.14,3.85,2.31,2.31,2.31,1.0,1.0,19.1,164.2,0.0
full_eto,001,2010,11,2010-11-01,initial,0.6,0.144,4.19,2.51,2.51,2.51,1.0,1.0,20.4,184.6,0.0
full_eto,001,2010,12,2010-11-02,initial,0.6,0.148,3.94,2.36,2.36,2.36,1.0,1.0,20.8,205.4,0.0
full_eto,001,2010,13,2010-11-03,initial,0.6,0.153,4.26,2.55,2.55,2.55,1.0,1.0,20.6,226.0,0.0
full_eto,001,2010,14,2010-11-04,initial,0.6,0.157,3.68,2.21,2.21,2.21,1.0,1.0,20.1,246.1,0.0
full_eto,001,2010,15,2010-11-05,initial,0.6,0.162,4.08,2.45,2.45,2.45,1.0,1.0,20.5,266.6,0.0
full_eto,001,2010,16,2010-11-06,initial,0.6,0.166,4.1,2.46,2.46,2.46,1.0,1.0,20.1,286.7,0.0
full_eto,001,2010,17,2010-11-07,initial,0.6,0.17,3.9,2.34,2.34,2.34,1.0,1.0,21.5,308.3,0.0
full_eto,001,2010,18,2010-11-08,initial,0.6,0.175,3.75,2.25,2.25,2.25,1.0,1.0,23.0,331.3,0.0
full_eto,001,2010,19,2010-11-09,initial,0.6,0.179,3.31,1.99,1.99,1.99,1.0,1.0,19.1,350.4,0.0
full_eto,001,2010,20,2010-11-10,initial,0.6,0.184,3.6,2.16,2.16,2.16,1.0,1.0,22.6,373.0,0.0
full_eto,001,2010,21,2010-11-11,initial,0.6,0.188,3.73,2.24,2.24,2.24,1.0,1.0,23.2,396.2,0.0
full_eto,001,2010,22,2010-11-12,initial,0.6,0.192,3.45,2.07,2.07,2.07,1.0,1.0,23.8,420.1,0.0
full_eto,001,2010,23,2010-11-13,initial,0.6,0.197,2.87,1.72,1.72,1.72,1.0,1.0,18.6,438.7,0.0
full_eto,001,2010,24,2010-11-14,initial,0.6,0.201,3.52,2.11,2.11,2.11,1.0,1.0,24.2,462.9,0.0
full_eto,001,2010,25,2010-11-15,initial,0.6,0.206,2.92,1.75,1.75,1.75,1.0,1.0,17.8,480.7,0.0
full_eto,001,2010,26,2010-11-16,initial,0.6,0.21,3.46,2.07,2.07,2.1,1.0,1.0,23.0,503.8,0.0
full_eto,001,2010,27,2010-11-17,initial,0.6,0.214,3.31,1.98,1.98,1.98,1.0,1.0,24.6,528.4,0.0
full_eto,001,2010,28,2010-11-18,initial,0.6,0.219,3.38,2.03,2.03,2.03,1.0,1.0,25.9,554.3,0.0
full_eto,001,2010,29,2010-11-19,initial,0.6,0.223,3.61,2.16,2.16,2.16,1.0,1.0,26.9,581.2,0.0
full_eto,001,2010,30,2010-11-20,initial,0.6,0.228,3.75,2.25,2.25,2.25,1.0,1.0,26.9,608.1,0.0
full_eto,001,2010,31,2010-11-21,development,0.6,0.228,3.63,2.18,2.18,2.18,1.0,1.0,27.1,635.2,0.0
full_eto,001,2010,32,2010-11-22,development,0.614,0.243,3.65,2.24,2.24,2.24,1.0,1.0,29.4,664.7,0.0
full_eto,001,2010,33,2010-11-23,development,0.628,0.259,3.19,2.0,2.0,2.0,1.0,1.0,31.3,696.0,0.0
full_eto,001,2010,34,2010-11-24,development,0.642,0.275,2.91,1.87,1.87,1.87,1.0,1.0,28.0,724.0,0.0
full_eto,001,2010,35,2010-11-25,development,0.656,0.291,3.27,2.14,2.14,2.14,1.0,1.0,32.7,756.7,0.0
full_eto,001,2010,36,2010-11-26,development,0.671,0.307,3.33,2.23,2.23,2.23,1.0,1.0,34.6,791.3,0.0
full_eto,001,2010,37,2010-11-27,development,0.685,0.323,3.46,2.37,2.37,2.37,1.0,1.0,36.0,827.3,0.0
full_eto,001,2010,38,2010-11-28,development,0.699,0.339,3.1,2.17,2.17,2.17,1.0,1.0,38.5,865.8,0.0
full_eto,001,2010,39,2010-11-29,development,0.713,0.355,3.27,2.33,2.33,2.33,1.0,1.0,42.1,907.9,0.0
full_eto,001,2010,40,2010-11-30,development,0.727,0.371,2.96,2.15,2.15,2.15,1.0,1.0,44.9,952.9,0.0
full_eto,001,2010,41,2010-12-01,development,0.741,0.387,3.08,2.28,2.28,2.28,1.0,1.0,47.2,1000.1,0.0
full_eto,001,2010,42,2010-12-02,development,0.755,0.403,3.17,2.39,2.39,2.39,1.0,1.0,49.4,1049.4,0.0
full_eto,001,2010,43,2010-12-03,development,0.769,0.419,2.99,2.3,2.3,2.3,1.0,1.0,48.3,1097.7,0.0
full_eto,001,2010,44,2010-12-04,development,0.783,0.435,3.06,2.39,2.39,2.39,1.0,1.0,50.3,1148.0,0.0
full_eto,001,2010,45,2010-12-05,development,0.797,0.451,3.04,2.43,2.43,2.43,1.0,1.0,52.2,1200.3,0.0
full_eto,001,2010,46,2010-12-06,development,0.812,0.467,3.62,2.94,2.94,2.94,1.0,1.0,53.1,1253.3,0.0
full_eto,001,2010,47,2010-12-07,development,0.826,0.483,3.0,2.48,2.48,2.48,1.0,0.979,54.2,1307.5,0.0
full_eto,001,2010,48,2010-12-08,development,0.84,0.499,2.62,2.2,2.2,2.2,1.0,0.996,52.4,1359.9,0.0
full_eto,001,2010,49,2010-12-09,development,0.854,0.515,3.14,2.68,2.68,2.68,1.0,1.0,53.4,1413.3,0.0
full_eto,001,2010,50,2010-12-10,development,0.868,0.531,2.95,2.56,2.56,2.58,1.0,1.0,58.0,1471.2,0.0
full_eto,001,2010,51,2010-12-11,development,0.882,0.547,3.24,2.86,2.86,2.9,1.0,1.0,46.1,1517.3,0.0
full_eto,001,2010,52,2010-12-12,development,0.896,0.563,2.59,2.32,2.32,2.32,1.0,0.523,26.0,1543.3,0.0
full_eto,001,2010,53,2010-12-13,development,0.91,0.579,2.34,2.13,2.13,2.13,1.0,0.449,26.0,1569.3,0.0
full_eto,001,2010,54,2010-12-14,development,0.924,0.595,1.7,1.57,1.57,1.57,1.0,0.682,41.7,1611.0,0.0
full_eto,001,2010,55,2010-12-15,development,0.938,0.611,2.04,1.92,1.92,1.92,1.0,0.855,44.0,1655.0,0.0
full_eto,001,2010,56,2010-12-16,development,0.953,0.627,2.32,2.21,2.21,2.21,1.0,1.0,68.3,1723.3,0.0
full_eto,001,2010,57,2010-12-17,development,0.967,0.642,2.42,2.34,2.34,2.34,1.0,1.0,70.3,1793.6,0.0
full_eto,001,2010,58,2010-12-18,development,0.981,0.658,2.85,2.79,2.79,2.79,1.0,0.87,61.3,1854.9,0.0
full_eto,001,2010,59,2010-12-19,development,0.995,0.674,2.84,2.82,2.82,2.82,1.0,0.708,52.8,1907.7,0.0
full_eto,001,2010,60,2010-12-20,development,1.009,0.69,2.94,2.97,2.97,2.97,1.0,0.959,69.4,1977.1,0.0
full_eto,001,2010,61,2010-12-21,development,1.023,0.706,2.82,2.88,2.88,2.88,1.0,1.0,73.4,2050.5,0.0
full_eto,001,2010,62,2010-12-22,development,1.037,0.722,2.92,3.03,3.03,3.03,1.0,1.0,71.1,2121.6,0.0
full_eto,001,2010,63,2010-12-23,development,1.051,0.738,3.55,3.73,3.73,3.73,1.0,1.0,71.6,2193.3,0.0
full_eto,001,2010,64,2010-12-24,development,1.065,0.754,3.18,3.39,3.39,3.39,1.0,1.0,85.1,2278.3,0.0
full_eto,001,2010,65,2010-12-25,development,1.079,0.77,2.69,2.9,2.9,2.9,1.0,1.0,87.9,2366.3,0.0
full_eto,001,2010,66,2010-12-26,development,1.094,0.786,2.44,2.67,2.67,2.67,1.0,1.0,89.6,2455.8,0.0
full_eto,001,2010,67,2010-12-27,development,1.108,0.802,2.92,3.23,3.23,3.23,1.0,1.0,90.5,2546.3,0.0
full_eto,001,2010,68,2010-12-28,development,1.122,0.818,3.24,3.63,3.63,3.63,1.0,1.0,91.6,2637.9,0.0
full_eto,001,2010,69,2010-12-29,development,1.136,0.834,2.84,3.22,3.22,3.55,1.0,1.0,33.2,2671.1,0.0
full_eto,001,2010,70,2010-12-30,development,1.15,0.85,2.54,2.93,2.93,3.22,1.0,0.912,48.4,2719.6,0.0
full_eto,001,2010,71,2010-12-31,mid,1.15,0.85,2.6,2.99,2.99,3.05,1.0,0.745,62.2,2781.7,0.0
full_eto,001,2010,72,2011-01-01,mid,1.15,0.85,2.35,2.7,2.7,2.7,1.0,0.728,67.7,2849.5,0.0
full_eto,001,2010,73,2011-01-02,mid,1.15,0.85,2.12,2.44,2.44,2.44,1.0,0.857,79.2,2928.6,0.0
full_eto,001,2010,74,2011-01-03,mid,1.15,0.85,1.93,2.22,2.22,2.22,1.0,0.832,58.2,2986.8,0.0
full_eto,001,2010,75,2011-01-04,mid,1.15,0.85,2.81,3.23,3.23,3.23,1.0,0.732,69.7,3056.6,0.0
full_eto,001,2010,76,2011-01-05,mid,1.15,0.85,2.87,3.3,3.3,3.3,1.0,0.692,68.0,3124.5,0.0
full_eto,001,2010,77,2011-01-06,mid,1.15,0.85,2.93,3.37,3.37,3.37,1.0,0.742,72.4,3196.9,0.0
full_eto,001,2010,78,2011-01-07,mid,1.15,0.85,3.29,3.78,3.78,3.78,1.0,0.781,75.4,3272.3,0.0
full_eto,001,2010,79,2011-01-08,mid,1.15,0.85,2.96,3.41,3.41,3.41,1.0,0.584,58.8,3331.2,0.0
