# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 10-22
#   under underpv_low (fall-winter season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9805
# CROP: tomato
# PLANTING_DATE: 10-22
# CONDITION: underpv_low
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-22,initial,0.6,0.1,4.17,2.17,2.17,2.17,1.0,0.987,9.1,9.1,0.0
full_eto,001,2010,2,2010-10-23,initial,0.6,0.104,4.03,2.1,2.1,2.1,1.0,1.0,9.9,19.0,0.0
full_eto,001,2010,3,2010-10-24,initial,0.6,0.109,4.02,2.09,2.09,2.09,1.0,1.0,10.2,29.2,0.0
full_eto,001,2010,4,2010-10-25,initial,0.6,0.113,4.22,2.2,2.2,2.2,1.0,1.0,10.8,40.0,0.0
full_eto,001,2010,5,2010-10-26,initial,0.6,0.118,3.57,1.86,1.86,1.86,1.0,1.0,11.3,51.4,0.0
full_eto,001,2010,6,2010-10-27,initial,0.6,0.122,3.54,1.84,1.84,1.84,1.0,1.0,11.7,63.1,0.0
full_eto,001,2010,7,2010-10-28,initial,0.6,0.126,3.24,1.69,1.69,1.69,1.0,0.877,10.3,73.4,0.0
full_eto,001,2010,8,2010-10-29,initial,0.6,0.131,3.58,1.87,1.87,1.87,1.0,1.0,11.5,84.9,0.0
full_eto,001,2010,9,2010-10-30,initial,0.6,0.135,3.27,1.71,1.71,1.71,1.0,1.0,11.9,96.8,0.0
full_eto,001,2010,10,2010-10-31,initial,0.6,0.14,3.15,1.65,1.65,1.65,1.0,1.0,12.4,109.3,0.0
full_eto,001,2010,11,2010-11-01,initial,0.6,0.144,3.5,1.83,1.83,1.83,1.0,1.0,13.3,122.5,0.0
full_eto,001,2010,12,2010-11-02,initial,0.6,0.148,3.19,1.66,1.66,1.66,1.0,1.0,13.5,136.1,0.0
full_eto,001,2010,13,2010-11-03,initial,0.6,0.153,3.5,1.82,1.82,1.82,1.0,1.0,13.4,149.4,0.0
full_eto,001,2010,14,2010-11-04,initial,0.6,0.157,2.91,1.51,1.51,1.51,1.0,1.0,13.0,162.5,0.0
