# SOURCE: Egyptian Ministry of Agriculture crop calendars; FAO Crop Calendar Platform
#   - FAO Crop Calendar: https://cropcalendar.apps.fao.org/
#   - FAO Crop Water Requirements: https://www.fao.org/4/s2022e/s2022e07.htm
#   - FAO Crop Information (tomato, potato): https://www.fao.org/land-water/databases-and-software/crop-information/
#   - Gaara Seeds Egypt (tomato seasons): https://gaaraseeds.com/en/blog/tomato-varieties-in-egypt/
#   - PotatoPro Egypt: https://www.potatopro.com/potato-markets/egypt
#   - Tridge Egypt (onion): https://www.tridge.com/intelligences/onion/EG/season
#   - Middle East J. Agriculture Research (onion): https://www.curresweb.com/index.php/MEJAR1/article/view/584/563
#   - HEIA Egypt Crop Calendar: https://heiaegypt.org/egypt-crop-calendar/
# DATE: 2026-02-06
# DESCRIPTION: Planting windows for 5 crops in Sinai Peninsula hot arid climate (~28N, 34E).
#   Dates are transplanting/field dates (not nursery sowing dates). Multiple windows per crop
#   reflect year-round irrigation capability and Egyptian three-season agriculture
#   (winter/shitawi, summer/seifi, nili). Agri-PV shading noted where it extends viability.
#   Offset dates (±10 days from primary/secondary windows) added for planting schedule
#   optimization — same season length and agronomic conditions as parent window.
# UNITS:
#   - planting_date_mmdd: Planting date in MM-DD format (year set by simulation)
#   - expected_season_length_days: Days from planting to final harvest
# LOGIC: Windows selected from Egyptian agricultural practice for warm arid regions (Upper Egypt,
#   Sinai). Summer plantings (Jun-Aug) excluded for heat-sensitive crops. Potato excluded from
#   Apr-Jun due to tuber inhibition above 30C. Onion aligned with Egyptian short-day variety
#   production calendar (Oct nursery -> Dec transplant). Kale spring window requires agri-PV shade.
# DEPENDENCIES: crop_coefficients-research.csv (season lengths should be consistent)
# ASSUMPTIONS: Drip irrigation available year-round; brackish groundwater desalination; agri-PV
#   fixed-tilt 28 degrees provides partial shading for secondary windows
crop,planting_date_mmdd,season_label,window_type,expected_season_length_days,notes
tomato,02-05,winter-spring,offset,135,Offset -10d from 02-15; early winter-spring planting
tomato,02-15,winter-spring,primary,135,Early-maturing varieties; highest quality window; warm region timing
tomato,02-25,winter-spring,offset,135,Offset +10d from 02-15; late winter-spring planting
tomato,03-22,spring,offset,135,Offset -10d from 04-01; early spring planting
tomato,04-01,spring,primary,135,Main national production season; optimal temperatures for fruit set
tomato,04-11,spring,offset,135,Offset +10d from 04-01; late spring planting
tomato,07-22,nili,offset,120,Offset -10d from 08-01; early nili planting
tomato,08-01,nili,secondary,120,Heat-resistant varieties required; reduced yields 10-15%; ensures winter supply
tomato,08-11,nili,offset,120,Offset +10d from 08-01; late nili planting
tomato,10-22,fall-winter,offset,135,Offset -10d from 11-01; early fall-winter planting
tomato,11-01,fall-winter,primary,135,Warm arid regions; cold-tolerant varieties needed for late-season growth
tomato,11-11,fall-winter,offset,135,Offset +10d from 11-01; late fall-winter planting
potato,01-05,winter-spring,offset,110,Offset -10d from 01-15; early winter-spring planting
potato,01-15,winter-spring,secondary,110,Domestic market; good yields; risk of late-season heat stress on tubers
potato,01-25,winter-spring,offset,110,Offset +10d from 01-15; late winter-spring planting
potato,09-05,fall,offset,120,Offset -10d from 09-15; early fall planting
potato,09-15,fall,primary,120,Export-quality nili season; tuber formation in cooling temps; Sep-Jan harvest
potato,09-25,fall,offset,120,Offset +10d from 09-15; late fall planting
potato,11-05,winter,offset,120,Offset -10d from 11-15; early winter planting
potato,11-15,winter,primary,120,Second winter planting wave; harvest Mar-Apr; reliable yields
potato,11-25,winter,offset,120,Offset +10d from 11-15; late winter planting
onion,01-05,winter,offset,150,Offset -10d from 01-15; early winter transplant
onion,01-15,winter,primary,150,Second transplanting wave from Nov nursery; harvest Jun; reliable yields
onion,01-25,winter,offset,150,Offset +10d from 01-15; late winter transplant
onion,03-22,spring,offset,130,Offset -10d from 04-01; early spring planting
